Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:46;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.09 - 08:46;1.73 km északra;Áll északra;; ;;;243042933;;;
08.09 - 09:22;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.09 - 09:22;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 17:31;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 17:31;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 17:32;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 17:32;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 17:54;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 17:54;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 18:00;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 18:00;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 18:04;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 18:04;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 18:32;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 18:32;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 18:56;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 18:56;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 19:05;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 19:05;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 19:19;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 19:19;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 19:32;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 19:32;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 19:36;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 19:36;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 19:42;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 19:42;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 19:44;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 19:44;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 19:46;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 19:46;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 19:49;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 19:49;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 20:01;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 20:01;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 20:09;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 20:09;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 20:28;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 20:28;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 20:29;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 20:29;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 20:32;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 20:32;1.73 km északra;Áll északra;;;;None;243042933;;None;None
08.11 - 21:05;1.73 km északra;Áll északra;; ;;;243042933;;;
08.11 - 21:05;1.73 km északra;Áll északra;;;;None;243042933;;None;None
