Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.14 - 07:34;1.68 km északra;Áll északra;; ;;;243070117;;;
08.14 - 07:34;1.68 km északra;Áll északra;;;;None;243070117;;None;None
08.14 - 07:54;1.68 km északra;Áll északra;; ;;;243070117;;;
08.14 - 07:54;1.68 km északra;Áll északra;;;;None;243070117;;None;None
08.19 - 19:01;1.67 km északra;Áll északra;; ;;;243070117;;;
08.19 - 19:01;1.67 km északra;Áll északra;;;;None;243070117;;None;None
08.19 - 19:02;1.66 km északra;Áll északra;; ;;;243070117;;;
08.19 - 19:02;1.66 km északra;Áll északra;;;;None;243070117;;None;None
08.19 - 19:03;1.68 km északra;Áll északra;; ;;;243070117;;;
08.19 - 19:03;1.68 km északra;Áll északra;;;;None;243070117;;None;None
