Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 21:44;1.45 km északra;észak felé halad;6.5 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:44;1.45 km északra;észak felé halad;6.5 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:44;1.48 km északra;észak felé halad;5.4 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:44;1.48 km északra;észak felé halad;5.4 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:45;1.5 km északra;észak felé halad;5.7 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:45;1.5 km északra;észak felé halad;5.7 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:45;1.57 km északra;észak felé halad;5.7 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:45;1.57 km északra;észak felé halad;5.7 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:45;1.65 km északra;észak felé halad;5.7 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:45;1.65 km északra;észak felé halad;5.7 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:46;1.78 km északra;észak felé halad;4.0 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:46;1.78 km északra;észak felé halad;4.0 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:46;1.8 km északra;észak felé halad;3.9 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:46;1.8 km északra;észak felé halad;3.9 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:47;1.86 km északra;észak felé halad;3.4 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:47;1.86 km északra;észak felé halad;3.4 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:48;1.93 km északra;észak felé halad;0.7 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.11 - 21:48;1.93 km északra;észak felé halad;0.7 csomó;BUDAPEST 07.31 23:00;HGFP;1.4;243070616;60;38;7
08.18 - 20:48;0.99 km északra;észak felé halad;5.7 csomó; ;;;243070616;;;
08.18 - 20:48;0.99 km északra;észak felé halad;5.7 csomó;;;None;243070616;;None;None
08.18 - 20:48;1.02 km északra;észak felé halad;5.6 csomó; ;;;243070616;;;
08.18 - 20:48;1.02 km északra;észak felé halad;5.6 csomó;;;None;243070616;;None;None
08.18 - 20:51;1.48 km északra;észak felé halad;5.3 csomó; ;;;243070616;;;
08.18 - 20:51;1.48 km északra;észak felé halad;5.3 csomó;;;None;243070616;;None;None
08.18 - 20:52;1.63 km északra;észak felé halad;3.3 csomó; ;;;243070616;;;
08.18 - 20:52;1.63 km északra;észak felé halad;3.3 csomó;;;None;243070616;;None;None
08.18 - 20:53;1.75 km északra;észak felé halad;3.4 csomó; ;;;243070616;;;
08.18 - 20:53;1.75 km északra;észak felé halad;3.4 csomó;;;None;243070616;;None;None
08.18 - 20:53;1.77 km északra;észak felé halad;3.4 csomó; ;;;243070616;;;
08.18 - 20:53;1.77 km északra;észak felé halad;3.4 csomó;;;None;243070616;;None;None
08.18 - 20:54;1.82 km északra;észak felé halad;2.7 csomó; ;;;243070616;;;
08.18 - 20:54;1.82 km északra;észak felé halad;2.7 csomó;;;None;243070616;;None;None
08.18 - 20:54;1.86 km északra;észak felé halad;2.2 csomó; ;;;243070616;;;
08.18 - 20:54;1.86 km északra;észak felé halad;2.2 csomó;;;None;243070616;;None;None
08.18 - 20:55;1.87 km északra;észak felé halad;2.2 csomó; ;;;243070616;;;
08.18 - 20:55;1.87 km északra;észak felé halad;2.2 csomó;;;None;243070616;;None;None
08.18 - 20:55;1.88 km északra;észak felé halad;2.0 csomó; ;;;243070616;;;
08.18 - 20:55;1.88 km északra;észak felé halad;2.0 csomó;;;None;243070616;;None;None
08.18 - 20:55;1.89 km északra;észak felé halad;1.8 csomó; ;;;243070616;;;
08.18 - 20:55;1.89 km északra;észak felé halad;1.8 csomó;;;None;243070616;;None;None
08.18 - 20:56;1.92 km északra;észak felé halad;0.7 csomó; ;;;243070616;;;
08.18 - 20:56;1.92 km északra;észak felé halad;0.7 csomó;;;None;243070616;;None;None
08.18 - 20:57;1.93 km északra;Áll északra;; ;;;243070616;;;
08.18 - 20:57;1.93 km északra;Áll északra;;;;None;243070616;;None;None
08.18 - 21:04;1.94 km északra;észak felé halad;0.5 csomó; ;;;243070616;;;
08.18 - 21:04;1.94 km északra;észak felé halad;0.5 csomó;;;None;243070616;;None;None
08.18 - 21:05;1.99 km északra;észak felé halad;2.7 csomó; ;;;243070616;;;
08.18 - 21:05;1.99 km északra;észak felé halad;2.7 csomó;;;None;243070616;;None;None
08.18 - 21:06;2.0 km északra;észak felé halad;3.4 csomó; ;;;243070616;;;
08.18 - 21:06;2.0 km északra;észak felé halad;3.4 csomó;;;None;243070616;;None;None
08.18 - 21:06;1.98 km északra;dél felé halad;5.6 csomó; ;;;243070616;;;
08.18 - 21:06;1.98 km északra;dél felé halad;5.6 csomó;;;None;243070616;;None;None
08.18 - 21:06;1.96 km északra;dél felé halad;6.7 csomó; ;;;243070616;;;
08.18 - 21:06;1.96 km északra;dél felé halad;6.7 csomó;;;None;243070616;;None;None
08.18 - 21:07;1.86 km északra;dél felé halad;7.1 csomó; ;;;243070616;;;
08.18 - 21:07;1.86 km északra;dél felé halad;7.1 csomó;;;None;243070616;;None;None
08.18 - 21:08;1.63 km északra;dél felé halad;7.3 csomó; ;;;243070616;;;
08.18 - 21:08;1.63 km északra;dél felé halad;7.3 csomó;;;None;243070616;;None;None
08.18 - 21:08;1.52 km északra;dél felé halad;7.1 csomó; ;;;243070616;;;
08.18 - 21:08;1.52 km északra;dél felé halad;7.1 csomó;;;None;243070616;;None;None
08.18 - 21:08;1.48 km északra;dél felé halad;7.2 csomó; ;;;243070616;;;
08.18 - 21:08;1.48 km északra;dél felé halad;7.2 csomó;;;None;243070616;;None;None
08.18 - 21:09;1.18 km északra;dél felé halad;9.6 csomó; ;;;243070616;;;
08.18 - 21:09;1.18 km északra;dél felé halad;9.6 csomó;;;None;243070616;;None;None
08.18 - 21:11;0.7 km északra;dél felé halad;10.4 csomó; ;;;243070616;;;
08.18 - 21:11;0.7 km északra;dél felé halad;10.4 csomó;;;None;243070616;;None;None
08.18 - 21:11;0.59 km északra;dél felé halad;9.8 csomó; ;;;243070616;;;
08.18 - 21:11;0.59 km északra;dél felé halad;9.8 csomó;;;None;243070616;;None;None
08.18 - 21:48;0.71 km északra;észak felé halad;6.1 csomó; ;;;243070616;;;
08.18 - 21:48;0.71 km északra;észak felé halad;6.1 csomó;;;None;243070616;;None;None
08.18 - 21:48;0.74 km északra;észak felé halad;6.0 csomó; ;;;243070616;;;
08.18 - 21:48;0.74 km északra;észak felé halad;6.0 csomó;;;None;243070616;;None;None
08.18 - 21:49;0.83 km északra;észak felé halad;5.6 csomó; ;;;243070616;;;
08.18 - 21:49;0.83 km északra;észak felé halad;5.6 csomó;;;None;243070616;;None;None
08.18 - 21:50;1.0 km északra;észak felé halad;5.5 csomó; ;;;243070616;;;
08.18 - 21:50;1.0 km északra;észak felé halad;5.5 csomó;;;None;243070616;;None;None
08.18 - 21:52;1.37 km északra;észak felé halad;4.5 csomó; ;;;243070616;;;
08.18 - 21:52;1.37 km északra;észak felé halad;4.5 csomó;;;None;243070616;;None;None
08.18 - 21:53;1.44 km északra;észak felé halad;4.6 csomó; ;;;243070616;;;
