Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;1.89 km északra;Áll északra;;;;None;243042440;;None;None
08.09 - 08:56;1.89 km északra;Áll északra;; ;;;243042440;;;
08.09 - 09:21;1.89 km északra;Áll északra;; ;;;243042440;;;
08.09 - 09:21;1.89 km északra;Áll északra;;;;None;243042440;;None;None
08.09 - 09:22;1.89 km északra;Áll északra;;;;None;243042440;;None;None
08.09 - 09:22;1.89 km északra;Áll északra;; ;;;243042440;;;
08.11 - 17:53;0.36 km délre;Áll délre;; ;;;243042440;;;
08.11 - 17:53;0.36 km délre;Áll délre;;;;None;243042440;;None;None
08.11 - 18:05;0.68 km északra;észak felé halad;5.8 csomó; ;;;243042440;;;
08.11 - 18:05;0.68 km északra;észak felé halad;5.8 csomó;;;None;243042440;;None;None
08.11 - 18:05;0.74 km északra;észak felé halad;5.7 csomó;;;None;243042440;;None;None
08.11 - 18:05;0.74 km északra;észak felé halad;5.7 csomó; ;;;243042440;;;
08.11 - 18:06;0.83 km északra;észak felé halad;5.4 csomó; ;;;243042440;;;
08.11 - 18:06;0.83 km északra;észak felé halad;5.4 csomó;;;None;243042440;;None;None
08.11 - 18:06;0.96 km északra;észak felé halad;5.7 csomó; ;;;243042440;;;
08.11 - 18:06;0.96 km északra;észak felé halad;5.7 csomó;;;None;243042440;;None;None
08.11 - 18:07;1.12 km északra;észak felé halad;5.3 csomó; ;;;243042440;;;
08.11 - 18:07;1.12 km északra;észak felé halad;5.3 csomó;;;None;243042440;;None;None
08.11 - 18:08;1.13 km északra;dél felé halad;5.4 csomó;;;None;243042440;;None;None
08.11 - 18:08;1.13 km északra;dél felé halad;5.4 csomó; ;;;243042440;;;
08.11 - 18:08;1.12 km északra;dél felé halad;5.8 csomó;;;None;243042440;;None;None
08.11 - 18:08;1.12 km északra;dél felé halad;5.8 csomó; ;;;243042440;;;
08.11 - 18:08;1.07 km északra;dél felé halad;6.1 csomó; ;;;243042440;;;
08.11 - 18:08;1.07 km északra;dél felé halad;6.1 csomó;;;None;243042440;;None;None
08.11 - 18:09;1.0 km északra;dél felé halad;7.3 csomó; ;;;243042440;;;
08.11 - 18:09;1.0 km északra;dél felé halad;7.3 csomó;;;None;243042440;;None;None
08.11 - 18:10;0.74 km északra;dél felé halad;8.8 csomó; ;;;243042440;;;
08.11 - 18:10;0.74 km északra;dél felé halad;8.8 csomó;;;None;243042440;;None;None
08.11 - 18:10;0.65 km északra;dél felé halad;9.1 csomó;;;None;243042440;;None;None
08.11 - 18:10;0.65 km északra;dél felé halad;9.1 csomó; ;;;243042440;;;
08.11 - 18:10;0.61 km északra;dél felé halad;9.1 csomó;;;None;243042440;;None;None
08.11 - 18:10;0.61 km északra;dél felé halad;9.1 csomó; ;;;243042440;;;
08.11 - 18:10;0.56 km északra;dél felé halad;9.1 csomó;;;None;243042440;;None;None
08.11 - 18:10;0.56 km északra;dél felé halad;9.1 csomó; ;;;243042440;;;
08.11 - 18:12;0.21 km északra;dél felé halad;8.9 csomó; ;;;243042440;;;
08.11 - 18:12;0.21 km északra;dél felé halad;8.9 csomó;;;None;243042440;;None;None
08.11 - 18:14;0.55 km délre;dél felé halad;9.4 csomó;;;None;243042440;;None;None
08.11 - 18:14;0.55 km délre;dél felé halad;9.4 csomó; ;;;243042440;;;
08.11 - 18:42;0.82 km délre;észak felé halad;4.0 csomó;;;None;243042440;;None;None
08.11 - 18:42;0.82 km délre;észak felé halad;4.0 csomó; ;;;243042440;;;
08.11 - 18:44;0.58 km délre;észak felé halad;3.4 csomó; ;;;243042440;;;
08.11 - 18:52;0.36 km délre;Áll délre;;;;None;243042440;;None;None
08.11 - 18:52;0.36 km délre;Áll délre;; ;;;243042440;;;
08.11 - 19:05;0.33 km délre;Áll délre;;;;None;243042440;;None;None
08.11 - 19:05;0.33 km délre;Áll délre;; ;;;243042440;;;
08.11 - 20:03;0.34 km északra;észak felé halad;4.8 csomó;;;None;243042440;;None;None
08.11 - 20:03;0.34 km északra;észak felé halad;4.8 csomó; ;;;243042440;;;
08.11 - 20:09;0.97 km északra;dél felé halad;7.0 csomó; ;;;243042440;;;
08.11 - 20:09;0.97 km északra;dél felé halad;7.0 csomó;;;None;243042440;;None;None
08.11 - 20:09;0.89 km északra;dél felé halad;7.7 csomó;;;None;243042440;;None;None
08.11 - 20:09;0.89 km északra;dél felé halad;7.7 csomó; ;;;243042440;;;
08.11 - 20:10;0.8 km északra;dél felé halad;8.4 csomó; ;;;243042440;;;
08.11 - 20:10;0.8 km északra;dél felé halad;8.4 csomó;;;None;243042440;;None;None
08.11 - 20:10;0.77 km északra;dél felé halad;8.6 csomó;;;None;243042440;;None;None
08.11 - 20:10;0.77 km északra;dél felé halad;8.6 csomó; ;;;243042440;;;
08.11 - 20:10;0.67 km északra;dél felé halad;9.0 csomó;;;None;243042440;;None;None
08.11 - 20:10;0.67 km északra;dél felé halad;9.0 csomó; ;;;243042440;;;
08.11 - 20:10;0.62 km északra;dél felé halad;9.1 csomó;;;None;243042440;;None;None
08.11 - 20:10;0.62 km északra;dél felé halad;9.1 csomó; ;;;243042440;;;
08.11 - 20:10;0.58 km északra;dél felé halad;9.2 csomó;;;None;243042440;;None;None
08.11 - 20:10;0.58 km északra;dél felé halad;9.2 csomó; ;;;243042440;;;
08.11 - 20:11;0.53 km északra;dél felé halad;9.2 csomó;;;None;243042440;;None;None
08.11 - 20:11;0.53 km északra;dél felé halad;9.2 csomó; ;;;243042440;;;
08.11 - 20:11;0.49 km északra;dél felé halad;9.3 csomó; ;;;243042440;;;
08.11 - 20:11;0.49 km északra;dél felé halad;9.3 csomó;;;None;243042440;;None;None
08.11 - 20:11;0.44 km északra;dél felé halad;9.2 csomó; ;;;243042440;;;
08.11 - 20:11;0.44 km északra;dél felé halad;9.2 csomó;;;None;243042440;;None;None
08.11 - 20:11;0.4 km északra;dél felé halad;9.1 csomó;;;None;243042440;;None;None
08.11 - 20:11;0.4 km északra;dél felé halad;9.1 csomó; ;;;243042440;;;
08.11 - 20:15;0.86 km délre;dél felé halad;9.4 csomó;;;None;243042440;;None;None
08.11 - 20:15;0.86 km délre;dél felé halad;9.4 csomó; ;;;243042440;;;
08.11 - 21:05;0.37 km délre;Áll délre;; ;;;243042440;;;
