Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.19 - 20:17;1.26 km északra;dél felé halad;4.6 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:17;1.26 km északra;dél felé halad;4.6 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:17;1.24 km északra;dél felé halad;5.4 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:17;1.24 km északra;dél felé halad;5.4 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:18;1.21 km északra;dél felé halad;5.8 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:18;1.21 km északra;dél felé halad;5.8 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:18;1.18 km északra;dél felé halad;6.4 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:18;1.18 km északra;dél felé halad;6.4 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:18;1.15 km északra;dél felé halad;6.8 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:18;1.15 km északra;dél felé halad;6.8 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:18;1.11 km északra;dél felé halad;7.1 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:18;1.11 km északra;dél felé halad;7.1 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:18;1.03 km északra;dél felé halad;7.5 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:18;1.03 km északra;dél felé halad;7.5 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:19;1.0 km északra;dél felé halad;7.6 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:19;1.0 km északra;dél felé halad;7.6 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:19;0.96 km északra;dél felé halad;7.7 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
08.19 - 20:19;0.96 km északra;dél felé halad;7.7 csomó;BUDAPEST 09.13 19:00;HGBD;1.1;243070204;60;39;7
