Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:58;2.83 km északra;Áll északra;; ;;;243070516;;;
08.09 - 08:58;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.09 - 09:22;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.09 - 09:22;2.83 km északra;Áll északra;; ;;;243070516;;;
08.11 - 17:54;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.11 - 17:54;2.83 km északra;Áll északra;; ;;;243070516;;;
08.11 - 18:06;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.11 - 18:06;2.83 km északra;Áll északra;; ;;;243070516;;;
08.11 - 18:59;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.11 - 18:59;2.83 km északra;Áll északra;; ;;;243070516;;;
08.11 - 19:22;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.11 - 19:22;2.83 km északra;Áll északra;; ;;;243070516;;;
08.11 - 20:09;2.83 km északra;Áll északra;;HELYISZOLGALAT 00.00 24:60;HGEP;1.0;243070516;60;26;5
08.11 - 20:09;2.83 km északra;Áll északra;;HELYISZOLGALAT 00.00 24:60;HGEP;1.0;243070516;60;26;5
08.11 - 20:33;2.83 km északra;Áll északra;;HELYISZOLGALAT 00.00 24:60;HGEP;1.0;243070516;60;26;5
08.11 - 20:33;2.83 km északra;Áll északra;;HELYISZOLGALAT 00.00 24:60;HGEP;1.0;243070516;60;26;5
08.11 - 21:06;2.83 km északra;Áll északra;; ;;;243070516;;;
08.11 - 21:06;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.11 - 21:39;2.83 km északra;Áll északra;; ;;;243070516;;;
08.11 - 21:39;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.11 - 22:00;2.83 km északra;Áll északra;; ;;;243070516;;;
08.11 - 22:00;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.11 - 22:24;2.83 km északra;Áll északra;; ;;;243070516;;;
08.11 - 22:24;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.12 - 18:10;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.12 - 18:10;2.83 km északra;Áll északra;; ;;;243070516;;;
08.14 - 07:33;2.83 km északra;Áll északra;;HELYISZOLGALAT 00.00 24:60;HGEP;1.0;243070516;60;26;5
08.14 - 07:33;2.83 km északra;Áll északra;;HELYISZOLGALAT 00.00 24:60;HGEP;1.0;243070516;60;26;5
08.19 - 19:26;2.83 km északra;Áll északra;; ;;;243070516;;;
08.19 - 19:26;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.19 - 19:56;2.83 km északra;észak felé halad;1.1 csomó; ;;;243070516;;;
08.19 - 19:56;2.83 km északra;észak felé halad;1.1 csomó;;;None;243070516;;None;None
08.20 - 04:40;2.83 km északra;Áll északra;; ;;;243070516;;;
08.20 - 04:40;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.20 - 04:55;2.83 km északra;Áll északra;; ;;;243070516;;;
08.20 - 04:55;2.83 km északra;Áll északra;;;;None;243070516;;None;None
08.20 - 05:04;2.83 km északra;Áll északra;;HELYISZOLGALAT 00.00 24:60;HGEP;1.0;243070516;60;26;5
08.20 - 05:04;2.83 km északra;Áll északra;;HELYISZOLGALAT 00.00 24:60;HGEP;1.0;243070516;60;26;5
