Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 18:57;0.39 km északra;dél felé halad;6.7 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 19:31;1.31 km délre;Áll délre;;;;None;243042678;;None;None
08.11 - 19:31;1.31 km délre;Áll délre;; ;;;243042678;;;
08.11 - 19:38;1.31 km délre;Áll délre;;;;None;243042678;;None;None
08.11 - 19:38;1.31 km délre;Áll délre;; ;;;243042678;;;
08.11 - 19:44;1.32 km délre;Áll délre;;;;None;243042678;;None;None
08.11 - 19:44;1.32 km délre;Áll délre;; ;;;243042678;;;
08.11 - 19:47;1.31 km délre;Áll délre;;;;None;243042678;;None;None
08.11 - 19:47;1.31 km délre;Áll délre;; ;;;243042678;;;
08.11 - 19:48;1.31 km délre;Áll délre;; ;;;243042678;;;
08.11 - 19:48;1.31 km délre;Áll délre;;;;None;243042678;;None;None
08.11 - 20:32;0.42 km délre;észak felé halad;4.1 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:32;0.42 km délre;észak felé halad;4.1 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:34;0.3 km délre;észak felé halad;4.1 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:34;0.3 km délre;észak felé halad;4.1 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:35;0.27 km délre;észak felé halad;4.0 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:35;0.27 km délre;észak felé halad;4.0 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:35;0.26 km északra;észak felé halad;4.1 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:35;0.26 km északra;észak felé halad;4.1 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:36;0.27 km északra;észak felé halad;4.1 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:36;0.27 km északra;észak felé halad;4.1 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:38;0.51 km északra;észak felé halad;4.3 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:38;0.51 km északra;észak felé halad;4.3 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:40;0.69 km északra;észak felé halad;4.3 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:40;0.69 km északra;észak felé halad;4.3 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:40;0.7 km északra;észak felé halad;4.3 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:40;0.7 km északra;észak felé halad;4.3 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:40;0.72 km északra;észak felé halad;4.1 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:40;0.72 km északra;észak felé halad;4.1 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:40;0.77 km északra;észak felé halad;3.9 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:40;0.77 km északra;észak felé halad;3.9 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:41;0.84 km északra;észak felé halad;3.8 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:41;0.84 km északra;észak felé halad;3.8 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:41;0.88 km északra;észak felé halad;3.9 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:41;0.88 km északra;észak felé halad;3.9 csomó;;;None;243042678;;None;None
08.11 - 20:41;0.88 km északra;észak felé halad;3.9 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:41;0.88 km északra;észak felé halad;3.9 csomó; ;;;243042678;;;
08.11 - 20:42;0.9 km északra;észak felé halad;3.9 csomó;BUDAPEST 09.26 17:34;HGD2678;0.8;243042678;69;27;6
08.11 - 20:42;0.9 km északra;észak felé halad;3.9 csomó;;;None;243042678;;None;None
08.11 - 20:42;0.9 km északra;észak felé halad;3.9 csomó; ;;;243042678;;;
08.11 - 21:05;1.31 km délre;Áll délre;; ;;;243042678;;;
08.11 - 21:05;1.31 km délre;Áll délre;;;;None;243042678;;None;None
08.11 - 21:20;1.32 km délre;Áll délre;; ;;;243042678;;;
08.11 - 21:20;1.32 km délre;Áll délre;;;;None;243042678;;None;None
08.11 - 21:20;1.31 km délre;Áll délre;; ;;;243042678;;;
08.11 - 21:20;1.31 km délre;Áll délre;;;;None;243042678;;None;None
08.11 - 21:40;0.48 km délre;észak felé halad;3.6 csomó; ;;;243042678;;;
08.11 - 21:40;0.48 km délre;észak felé halad;3.6 csomó;;;None;243042678;;None;None
08.11 - 21:41;0.39 km délre;észak felé halad;3.7 csomó; ;;;243042678;;;
08.11 - 21:41;0.39 km délre;észak felé halad;3.7 csomó;;;None;243042678;;None;None
08.11 - 21:43;0.29 km északra;észak felé halad;3.8 csomó; ;;;243042678;;;
08.11 - 21:43;0.29 km északra;észak felé halad;3.8 csomó;;;None;243042678;;None;None
08.11 - 21:44;0.35 km északra;észak felé halad;4.1 csomó; ;;;243042678;;;
08.11 - 21:44;0.35 km északra;észak felé halad;4.1 csomó;;;None;243042678;;None;None
08.11 - 21:45;0.44 km északra;észak felé halad;4.0 csomó; ;;;243042678;;;
08.11 - 21:45;0.44 km északra;észak felé halad;4.0 csomó;;;None;243042678;;None;None
08.11 - 21:46;0.5 km északra;észak felé halad;4.0 csomó; ;;;243042678;;;
08.11 - 21:46;0.5 km északra;észak felé halad;4.0 csomó;;;None;243042678;;None;None
08.11 - 21:47;0.58 km északra;észak felé halad;4.1 csomó; ;;;243042678;;;
08.11 - 21:47;0.58 km északra;észak felé halad;4.1 csomó;;;None;243042678;;None;None
08.12 - 18:08;0.81 km északra;Áll északra;;;;None;243042678;;None;None
08.12 - 18:08;0.81 km északra;Áll északra;; ;;;243042678;;;
08.12 - 18:08;0.81 km északra;észak felé halad;0.6 csomó; ;;;243042678;;;
08.12 - 18:08;0.81 km északra;észak felé halad;0.6 csomó;;;None;243042678;;None;None
08.12 - 18:08;0.81 km északra;észak felé halad;0.7 csomó; ;;;243042678;;;
08.12 - 18:08;0.81 km északra;észak felé halad;0.7 csomó;;;None;243042678;;None;None
08.12 - 18:09;0.79 km északra;észak felé halad;0.8 csomó; ;;;243042678;;;
08.12 - 18:09;0.79 km északra;észak felé halad;0.8 csomó;;;None;243042678;;None;None
08.12 - 18:10;0.77 km északra;észak felé halad;1.0 csomó; ;;;243042678;;;
08.12 - 18:10;0.77 km északra;észak felé halad;1.0 csomó;;;None;243042678;;None;None
08.12 - 18:10;0.76 km északra;észak felé halad;1.0 csomó; ;;;243042678;;;
08.12 - 18:10;0.76 km északra;észak felé halad;1.0 csomó;;;None;243042678;;None;None
08.12 - 18:13;0.7 km északra;Áll északra;; ;;;243042678;;;
08.12 - 18:13;0.7 km északra;Áll északra;;;;None;243042678;;None;None
08.12 - 18:15;0.68 km északra;Áll északra;; ;;;243042678;;;
08.12 - 18:15;0.68 km északra;Áll északra;;;;None;243042678;;None;None
08.12 - 18:48;0.78 km északra;észak felé halad;4.3 csomó; ;;;243042678;;;
