Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 19:04;1.85 km északra;észak felé halad;3.6 csomó; ;;;243042666;;;
08.11 - 19:04;1.86 km északra;észak felé halad;3.3 csomó; ;;;243042666;;;
08.11 - 19:04;1.86 km északra;észak felé halad;3.3 csomó;;;None;243042666;;None;None
08.11 - 19:05;1.87 km északra;dél felé halad;3.6 csomó; ;;;243042666;;;
08.11 - 19:05;1.87 km északra;dél felé halad;3.6 csomó;;;None;243042666;;None;None
08.11 - 19:05;1.85 km északra;dél felé halad;4.4 csomó;;;None;243042666;;None;None
08.11 - 19:05;1.85 km északra;dél felé halad;4.4 csomó; ;;;243042666;;;
08.11 - 19:05;1.83 km északra;dél felé halad;5.9 csomó;;;None;243042666;;None;None
08.11 - 19:05;1.83 km északra;dél felé halad;5.9 csomó; ;;;243042666;;;
08.11 - 19:05;1.8 km északra;dél felé halad;6.9 csomó; ;;;243042666;;;
08.11 - 19:05;1.8 km északra;dél felé halad;6.9 csomó;;;None;243042666;;None;None
08.11 - 19:05;1.77 km északra;dél felé halad;7.6 csomó; ;;;243042666;;;
08.11 - 19:05;1.77 km északra;dél felé halad;7.6 csomó;;;None;243042666;;None;None
08.11 - 19:05;1.73 km északra;dél felé halad;8.1 csomó;;;None;243042666;;None;None
08.11 - 19:05;1.73 km északra;dél felé halad;8.1 csomó; ;;;243042666;;;
08.11 - 19:06;1.69 km északra;dél felé halad;8.3 csomó;;;None;243042666;;None;None
08.11 - 19:06;1.69 km északra;dél felé halad;8.3 csomó; ;;;243042666;;;
08.11 - 19:06;1.64 km északra;dél felé halad;8.3 csomó;;;None;243042666;;None;None
08.11 - 19:06;1.64 km északra;dél felé halad;8.3 csomó; ;;;243042666;;;
08.11 - 19:06;1.6 km északra;dél felé halad;8.4 csomó;;;None;243042666;;None;None
08.11 - 19:06;1.6 km északra;dél felé halad;8.4 csomó; ;;;243042666;;;
08.11 - 19:06;1.56 km északra;dél felé halad;8.4 csomó;;;None;243042666;;None;None
08.11 - 19:06;1.56 km északra;dél felé halad;8.4 csomó; ;;;243042666;;;
08.11 - 19:06;1.52 km északra;dél felé halad;8.4 csomó;;;None;243042666;;None;None
08.11 - 19:06;1.52 km északra;dél felé halad;8.4 csomó; ;;;243042666;;;
08.11 - 19:06;1.47 km északra;dél felé halad;8.4 csomó;;;None;243042666;;None;None
08.11 - 19:06;1.47 km északra;dél felé halad;8.4 csomó; ;;;243042666;;;
08.11 - 19:07;1.43 km északra;dél felé halad;8.4 csomó;;;None;243042666;;None;None
08.11 - 19:07;1.43 km északra;dél felé halad;8.4 csomó; ;;;243042666;;;
08.11 - 19:07;1.39 km északra;dél felé halad;8.7 csomó;;;None;243042666;;None;None
08.11 - 19:07;1.39 km északra;dél felé halad;8.7 csomó; ;;;243042666;;;
08.11 - 19:07;1.34 km északra;dél felé halad;8.7 csomó;;;None;243042666;;None;None
08.11 - 19:07;1.34 km északra;dél felé halad;8.7 csomó; ;;;243042666;;;
08.11 - 19:07;1.3 km északra;dél felé halad;8.8 csomó; ;;;243042666;;;
08.11 - 19:07;1.3 km északra;dél felé halad;8.8 csomó;;;None;243042666;;None;None
08.11 - 19:07;1.26 km északra;dél felé halad;8.5 csomó;;;None;243042666;;None;None
08.11 - 19:07;1.26 km északra;dél felé halad;8.5 csomó; ;;;243042666;;;
08.11 - 19:07;1.21 km északra;dél felé halad;8.3 csomó;;;None;243042666;;None;None
08.11 - 19:07;1.21 km északra;dél felé halad;8.3 csomó; ;;;243042666;;;
08.11 - 19:08;0.99 km északra;dél felé halad;8.6 csomó; ;;;243042666;;;
08.11 - 19:08;0.99 km északra;dél felé halad;8.6 csomó;;;None;243042666;;None;None
08.11 - 19:09;0.91 km északra;dél felé halad;8.8 csomó; ;;;243042666;;;
08.11 - 19:09;0.91 km északra;dél felé halad;8.8 csomó;;;None;243042666;;None;None
08.11 - 19:09;0.86 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 19:09;0.86 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 19:09;0.81 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 19:09;0.81 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 19:09;0.77 km északra;dél felé halad;8.8 csomó; ;;;243042666;;;
08.11 - 19:09;0.77 km északra;dél felé halad;8.8 csomó;;;None;243042666;;None;None
08.11 - 19:09;0.68 km északra;dél felé halad;8.8 csomó; ;;;243042666;;;
08.11 - 19:09;0.68 km északra;dél felé halad;8.8 csomó;;;None;243042666;;None;None
08.11 - 19:10;0.64 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 19:10;0.64 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 19:10;0.45 km északra;dél felé halad;8.7 csomó; ;;;243042666;;;
08.11 - 19:10;0.45 km északra;dél felé halad;8.7 csomó;;;None;243042666;;None;None
08.11 - 19:10;0.41 km északra;dél felé halad;8.8 csomó;;;None;243042666;;None;None
08.11 - 19:10;0.41 km északra;dél felé halad;8.8 csomó; ;;;243042666;;;
08.11 - 19:11;0.38 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 19:11;0.38 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 19:46;0.37 km északra;észak felé halad;4.7 csomó; ;;;243042666;;;
08.11 - 19:46;0.37 km északra;észak felé halad;4.7 csomó;;;None;243042666;;None;None
08.11 - 20:06;1.78 km északra;Áll északra;;;;None;243042666;;None;None
08.11 - 20:06;1.78 km északra;Áll északra;; ;;;243042666;;;
08.11 - 20:09;1.46 km északra;dél felé halad;8.4 csomó; ;;;243042666;;;
08.11 - 20:09;1.46 km északra;dél felé halad;8.4 csomó;;;None;243042666;;None;None
08.11 - 20:09;1.4 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 20:09;1.4 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 20:09;1.26 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 20:09;1.26 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 20:10;1.22 km északra;dél felé halad;8.7 csomó;;;None;243042666;;None;None
08.11 - 20:10;1.22 km északra;dél felé halad;8.7 csomó; ;;;243042666;;;
08.11 - 20:10;1.04 km északra;dél felé halad;8.6 csomó;;;None;243042666;;None;None
08.11 - 20:10;1.04 km északra;dél felé halad;8.6 csomó; ;;;243042666;;;
08.11 - 20:10;0.99 km északra;dél felé halad;8.6 csomó;;;None;243042666;;None;None
08.11 - 20:10;0.99 km északra;dél felé halad;8.6 csomó; ;;;243042666;;;
08.11 - 20:11;0.9 km északra;dél felé halad;8.7 csomó; ;;;243042666;;;
08.11 - 20:11;0.9 km északra;dél felé halad;8.7 csomó;;;None;243042666;;None;None
08.11 - 20:11;0.86 km északra;dél felé halad;8.7 csomó; ;;;243042666;;;
08.11 - 20:11;0.86 km északra;dél felé halad;8.7 csomó;;;None;243042666;;None;None
08.11 - 20:11;0.81 km északra;dél felé halad;8.8 csomó; ;;;243042666;;;
08.11 - 20:11;0.81 km északra;dél felé halad;8.8 csomó;;;None;243042666;;None;None
08.11 - 20:12;0.68 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 20:12;0.68 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 20:12;0.63 km északra;dél felé halad;9.0 csomó;;;None;243042666;;None;None
08.11 - 20:12;0.63 km északra;dél felé halad;9.0 csomó; ;;;243042666;;;
08.11 - 20:12;0.59 km északra;dél felé halad;9.0 csomó; ;;;243042666;;;
08.11 - 20:12;0.59 km északra;dél felé halad;9.0 csomó;;;None;243042666;;None;None
08.11 - 20:12;0.54 km északra;dél felé halad;9.0 csomó;;;None;243042666;;None;None
08.11 - 20:12;0.54 km északra;dél felé halad;9.0 csomó; ;;;243042666;;;
08.11 - 20:12;0.5 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 20:12;0.5 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 20:13;0.37 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 20:13;0.37 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 20:16;0.61 km délre;dél felé halad;9.1 csomó;;;None;243042666;;None;None
08.11 - 20:16;0.61 km délre;dél felé halad;9.1 csomó; ;;;243042666;;;
08.11 - 20:16;0.65 km délre;dél felé halad;9.1 csomó; ;;;243042666;;;
08.11 - 20:16;0.65 km délre;dél felé halad;9.1 csomó;;;None;243042666;;None;None
08.11 - 21:05;1.78 km északra;Áll északra;; ;;;243042666;;;
08.11 - 21:05;1.78 km északra;Áll északra;;;;None;243042666;;None;None
08.11 - 21:08;1.79 km északra;észak felé halad;2.6 csomó; ;;;243042666;;;
08.11 - 21:08;1.79 km északra;észak felé halad;2.6 csomó;;;None;243042666;;None;None
08.11 - 21:08;1.81 km északra;észak felé halad;3.5 csomó; ;;;243042666;;;
08.11 - 21:08;1.81 km északra;észak felé halad;3.5 csomó;;;None;243042666;;None;None
08.11 - 21:08;1.83 km északra;észak felé halad;3.8 csomó; ;;;243042666;;;
08.11 - 21:08;1.83 km északra;észak felé halad;3.8 csomó;;;None;243042666;;None;None
08.11 - 21:08;1.83 km északra;észak felé halad;4.0 csomó;;;None;243042666;;None;None
08.11 - 21:08;1.83 km északra;észak felé halad;4.0 csomó; ;;;243042666;;;
08.11 - 21:08;1.83 km északra;dél felé halad;4.5 csomó; ;;;243042666;;;
08.11 - 21:08;1.83 km északra;dél felé halad;4.5 csomó;;;None;243042666;;None;None
08.11 - 21:08;1.81 km északra;dél felé halad;5.5 csomó; ;;;243042666;;;
08.11 - 21:08;1.81 km északra;dél felé halad;5.5 csomó;;;None;243042666;;None;None
08.11 - 21:09;1.79 km északra;dél felé halad;6.8 csomó; ;;;243042666;;;
08.11 - 21:09;1.79 km északra;dél felé halad;6.8 csomó;;;None;243042666;;None;None
08.11 - 21:09;1.75 km északra;dél felé halad;7.9 csomó; ;;;243042666;;;
08.11 - 21:09;1.75 km északra;dél felé halad;7.9 csomó;;;None;243042666;;None;None
08.11 - 21:09;1.71 km északra;dél felé halad;8.5 csomó; ;;;243042666;;;
08.11 - 21:09;1.71 km északra;dél felé halad;8.5 csomó;;;None;243042666;;None;None
08.11 - 21:09;1.67 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 21:09;1.67 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 21:09;1.62 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 21:09;1.62 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 21:10;1.53 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 21:10;1.53 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 21:10;1.49 km északra;dél felé halad;8.9 csomó; ;;;243042666;;;
08.11 - 21:10;1.49 km északra;dél felé halad;8.9 csomó;;;None;243042666;;None;None
08.11 - 21:10;1.45 km északra;dél felé halad;8.8 csomó; ;;;243042666;;;
08.11 - 21:10;1.45 km északra;dél felé halad;8.8 csomó;;;None;243042666;;None;None
08.11 - 21:10;1.39 km északra;dél felé halad;9.3 csomó; ;;;243042666;;;
08.11 - 21:10;1.39 km északra;dél felé halad;9.3 csomó;;;None;243042666;;None;None
08.11 - 21:10;1.3 km északra;dél felé halad;9.4 csomó; ;;;243042666;;;
08.11 - 21:10;1.3 km északra;dél felé halad;9.4 csomó;;;None;243042666;;None;None
08.11 - 21:11;1.11 km északra;dél felé halad;9.2 csomó; ;;;243042666;;;
08.11 - 21:11;1.11 km északra;dél felé halad;9.2 csomó;;;None;243042666;;None;None
08.11 - 21:11;1.01 km északra;dél felé halad;9.2 csomó; ;;;243042666;;;
08.11 - 21:11;1.01 km északra;dél felé halad;9.2 csomó;;;None;243042666;;None;None
08.11 - 21:12;0.97 km északra;dél felé halad;9.1 csomó; ;;;243042666;;;
08.11 - 21:12;0.97 km északra;dél felé halad;9.1 csomó;;;None;243042666;;None;None
08.11 - 21:12;0.92 km északra;dél felé halad;9.0 csomó; ;;;243042666;;;
08.11 - 21:12;0.92 km északra;dél felé halad;9.0 csomó;;;None;243042666;;None;None
08.11 - 21:12;0.78 km északra;dél felé halad;9.1 csomó; ;;;243042666;;;
08.11 - 21:12;0.78 km északra;dél felé halad;9.1 csomó;;;None;243042666;;None;None
08.11 - 21:12;0.73 km északra;dél felé halad;9.1 csomó;;;None;243042666;;None;None
08.11 - 21:12;0.73 km északra;dél felé halad;9.1 csomó; ;;;243042666;;;
08.11 - 21:13;0.69 km északra;dél felé halad;9.1 csomó; ;;;243042666;;;
08.11 - 21:13;0.69 km északra;dél felé halad;9.1 csomó;;;None;243042666;;None;None
08.11 - 21:13;0.64 km északra;dél felé halad;9.1 csomó; ;;;243042666;;;
08.11 - 21:13;0.64 km északra;dél felé halad;9.1 csomó;;;None;243042666;;None;None
08.11 - 21:13;0.6 km északra;dél felé halad;9.2 csomó; ;;;243042666;;;
08.11 - 21:13;0.6 km északra;dél felé halad;9.2 csomó;;;None;243042666;;None;None
08.11 - 21:13;0.55 km északra;dél felé halad;9.2 csomó; ;;;243042666;;;
08.11 - 21:13;0.55 km északra;dél felé halad;9.2 csomó;;;None;243042666;;None;None
08.11 - 21:13;0.46 km északra;dél felé halad;9.2 csomó; ;;;243042666;;;
08.11 - 21:13;0.46 km északra;dél felé halad;9.2 csomó;;;None;243042666;;None;None
08.11 - 21:14;0.37 km északra;dél felé halad;9.1 csomó; ;;;243042666;;;
08.11 - 21:14;0.37 km északra;dél felé halad;9.1 csomó;;;None;243042666;;None;None
08.11 - 21:14;0.32 km északra;dél felé halad;9.2 csomó; ;;;243042666;;;
08.11 - 21:14;0.32 km északra;dél felé halad;9.2 csomó;;;None;243042666;;None;None
08.11 - 21:14;0.28 km északra;dél felé halad;8.8 csomó; ;;;243042666;;;
08.11 - 21:14;0.28 km északra;dél felé halad;8.8 csomó;;;None;243042666;;None;None
08.11 - 21:15;0.2 km délre;dél felé halad;9.0 csomó; ;;;243042666;;;
08.11 - 21:15;0.2 km délre;dél felé halad;9.0 csomó;;;None;243042666;;None;None
08.11 - 21:48;0.38 km északra;észak felé halad;5.2 csomó; ;;;243042666;;;
08.11 - 21:48;0.38 km északra;észak felé halad;5.2 csomó;;;None;243042666;;None;None
08.11 - 21:48;0.4 km északra;észak felé halad;5.2 csomó; ;;;243042666;;;
08.11 - 21:48;0.4 km északra;észak felé halad;5.2 csomó;;;None;243042666;;None;None
08.11 - 21:58;1.78 km északra;észak felé halad;0.5 csomó; ;;;243042666;;;
08.11 - 21:58;1.78 km északra;észak felé halad;0.5 csomó;;;None;243042666;;None;None
08.12 - 19:13;1.78 km északra;Áll északra;; ;;;243042666;;;
08.12 - 19:13;1.78 km északra;Áll északra;;;;None;243042666;;None;None
08.18 - 21:13;0.35 km északra;észak felé halad;5.4 csomó; ;;;243042666;;;
08.18 - 21:13;0.35 km északra;észak felé halad;5.4 csomó;;;None;243042666;;None;None
08.18 - 21:13;0.37 km északra;észak felé halad;5.4 csomó; ;;;243042666;;;
08.18 - 21:13;0.37 km északra;észak felé halad;5.4 csomó;;;None;243042666;;None;None
08.18 - 21:16;0.74 km északra;észak felé halad;5.5 csomó; ;;;243042666;;;
08.18 - 21:16;0.74 km északra;észak felé halad;5.5 csomó;;;None;243042666;;None;None
08.18 - 21:16;0.82 km északra;észak felé halad;5.2 csomó; ;;;243042666;;;
08.18 - 21:16;0.82 km északra;észak felé halad;5.2 csomó;;;None;243042666;;None;None
08.18 - 21:18;1.01 km északra;észak felé halad;5.5 csomó; ;;;243042666;;;
08.18 - 21:18;1.01 km északra;észak felé halad;5.5 csomó;;;None;243042666;;None;None
08.18 - 21:19;1.31 km északra;észak felé halad;5.2 csomó; ;;;243042666;;;
