Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;0.92 km északra;Áll északra;; ;;;243070322;;;
08.09 - 08:56;0.92 km északra;Áll északra;;;;None;243070322;;None;None
08.09 - 09:19;0.92 km északra;Áll északra;;;;None;243070322;;None;None
08.09 - 09:19;0.92 km északra;Áll északra;; ;;;243070322;;;
08.09 - 09:22;0.92 km északra;Áll északra;; ;;;243070322;;;
08.09 - 09:22;0.92 km északra;Áll északra;;;;None;243070322;;None;None
08.11 - 17:31;0.85 km északra;Áll északra;;;;None;243070322;;None;None
08.11 - 17:31;0.85 km északra;Áll északra;; ;;;243070322;;;
08.11 - 17:32;0.85 km északra;Áll északra;; ;;;243070322;;;
08.11 - 17:32;0.85 km északra;Áll északra;;;;None;243070322;;None;None
08.11 - 17:39;0.85 km északra;Áll északra;;;;None;243070322;;None;None
08.11 - 17:39;0.85 km északra;Áll északra;; ;;;243070322;;;
08.11 - 17:53;0.85 km északra;Áll északra;; ;;;243070322;;;
08.11 - 17:53;0.85 km északra;Áll északra;;;;None;243070322;;None;None
08.11 - 17:59;0.85 km északra;Áll északra;;;;None;243070322;;None;None
08.11 - 17:59;0.85 km északra;Áll északra;; ;;;243070322;;;
08.11 - 18:01;0.85 km északra;Áll északra;;;;None;243070322;;None;None
08.11 - 18:01;0.85 km északra;Áll északra;; ;;;243070322;;;
08.11 - 18:02;0.85 km északra;Áll északra;; ;;;243070322;;;
08.11 - 18:02;0.85 km északra;Áll északra;;;;None;243070322;;None;None
08.11 - 18:04;0.85 km északra;Áll északra;; ;;;243070322;;;
08.11 - 18:04;0.85 km északra;Áll északra;;;;None;243070322;;None;None
08.11 - 18:28;0.85 km északra;Áll északra;; ;;;243070322;;;
08.11 - 18:28;0.85 km északra;Áll északra;;;;None;243070322;;None;None
08.11 - 18:30;0.85 km északra;Áll északra;;;;None;243070322;;None;None
08.11 - 18:30;0.85 km északra;Áll északra;; ;;;243070322;;;
08.11 - 18:32;0.85 km északra;Áll északra;; ;;;243070322;;;
08.11 - 18:32;0.85 km északra;Áll északra;;;;None;243070322;;None;None
08.11 - 18:44;0.85 km északra;Áll északra;; ;;;243070322;;;
08.11 - 18:44;0.85 km északra;Áll északra;;;;None;243070322;;None;None
