Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 18:11;6.37 km északra;dél felé halad;5.8 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:11;6.37 km északra;dél felé halad;5.8 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:11;6.35 km északra;dél felé halad;5.8 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:11;6.35 km északra;dél felé halad;5.8 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:11;6.31 km északra;dél felé halad;5.8 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:11;6.31 km északra;dél felé halad;5.8 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:11;6.29 km északra;dél felé halad;5.9 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:11;6.29 km északra;dél felé halad;5.9 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:11;6.26 km északra;dél felé halad;5.8 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:11;6.26 km északra;dél felé halad;5.8 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:12;6.17 km északra;dél felé halad;5.8 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:12;6.17 km északra;dél felé halad;5.8 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:12;6.11 km északra;dél felé halad;5.7 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:12;6.11 km északra;dél felé halad;5.7 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:12;6.08 km északra;dél felé halad;5.6 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:12;6.08 km északra;dél felé halad;5.6 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:12;6.05 km északra;dél felé halad;5.6 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:12;6.05 km északra;dél felé halad;5.6 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:13;6.02 km északra;dél felé halad;5.6 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:13;6.02 km északra;dél felé halad;5.6 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:13;5.97 km északra;dél felé halad;5.5 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:13;5.97 km északra;dél felé halad;5.5 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:13;5.92 km északra;dél felé halad;5.2 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:13;5.92 km északra;dél felé halad;5.2 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:13;5.89 km északra;dél felé halad;5.1 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:13;5.89 km északra;dél felé halad;5.1 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:14;5.79 km északra;dél felé halad;4.1 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:14;5.79 km északra;dél felé halad;4.1 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:15;5.73 km északra;dél felé halad;4.0 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
08.11 - 18:15;5.73 km északra;dél felé halad;4.0 csomó;BUDAPEST 04.14 14:00;HGD2770;0.5;243042770;40;11;3
