Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;0.81 km délre;Áll délre;; ;;;243042880;;;
08.09 - 08:56;0.81 km délre;Áll délre;;;;None;243042880;;None;None
08.09 - 09:22;0.81 km délre;Áll délre;;;;None;243042880;;None;None
08.09 - 09:22;0.81 km délre;Áll délre;; ;;;243042880;;;
08.11 - 18:07;0.81 km délre;Áll délre;;BUDAPEST 02.20 21:00;HGD2880;1.3;243042880;69;38;8
08.11 - 18:07;0.81 km délre;Áll délre;;BUDAPEST 02.20 21:00;HGD2880;1.3;243042880;69;38;8
08.11 - 19:00;0.81 km délre;Áll délre;;;;None;243042880;;None;None
08.11 - 19:00;0.81 km délre;Áll délre;; ;;;243042880;;;
08.11 - 19:21;0.81 km délre;Áll délre;;;;None;243042880;;None;None
08.11 - 19:21;0.81 km délre;Áll délre;; ;;;243042880;;;
08.11 - 19:36;0.81 km délre;észak felé halad;0.8 csomó;;;None;243042880;;None;None
08.11 - 19:36;0.81 km délre;észak felé halad;0.8 csomó; ;;;243042880;;;
08.11 - 20:39;0.95 km délre;észak felé halad;4.1 csomó;;;None;243042880;;None;None
08.11 - 20:39;0.95 km délre;észak felé halad;4.1 csomó; ;;;243042880;;;
08.11 - 20:41;0.66 km délre;észak felé halad;4.7 csomó;;;None;243042880;;None;None
08.11 - 20:41;0.66 km délre;észak felé halad;4.7 csomó;;;None;243042880;;None;None
08.11 - 20:41;0.66 km délre;észak felé halad;4.7 csomó; ;;;243042880;;;
08.11 - 20:41;0.66 km délre;észak felé halad;4.7 csomó; ;;;243042880;;;
08.11 - 20:46;0.26 km északra;észak felé halad;4.8 csomó; ;;;243042880;;;
08.11 - 20:46;0.26 km északra;észak felé halad;4.8 csomó;;;None;243042880;;None;None
08.11 - 21:23;1.37 km délre;észak felé halad;5.3 csomó; ;;;243042880;;;
08.11 - 21:23;1.37 km délre;észak felé halad;5.3 csomó;;;None;243042880;;None;None
08.14 - 07:34;0.81 km délre;Áll délre;;;;None;243042880;;None;None
08.14 - 07:34;0.81 km délre;Áll délre;; ;;;243042880;;;
08.14 - 07:54;0.81 km délre;Áll délre;; ;;;243042880;;;
08.14 - 07:54;0.81 km délre;Áll délre;;;;None;243042880;;None;None
08.14 - 08:04;0.81 km délre;Áll délre;; ;;;243042880;;;
08.14 - 08:04;0.81 km délre;Áll délre;;;;None;243042880;;None;None
08.18 - 20:49;0.4 km északra;észak felé halad;4.6 csomó; ;;;243042880;;;
08.18 - 20:49;0.4 km északra;észak felé halad;4.6 csomó;;;None;243042880;;None;None
08.18 - 20:50;0.53 km északra;észak felé halad;4.6 csomó; ;;;243042880;;;
08.18 - 20:50;0.53 km északra;észak felé halad;4.6 csomó;;;None;243042880;;None;None
08.18 - 20:51;0.6 km északra;észak felé halad;4.7 csomó; ;;;243042880;;;
08.18 - 20:51;0.6 km északra;észak felé halad;4.7 csomó;;;None;243042880;;None;None
08.18 - 20:52;0.75 km északra;észak felé halad;4.3 csomó; ;;;243042880;;;
08.18 - 20:52;0.75 km északra;észak felé halad;4.3 csomó;;;None;243042880;;None;None
08.18 - 20:52;0.79 km északra;észak felé halad;4.1 csomó; ;;;243042880;;;
08.18 - 20:52;0.79 km északra;észak felé halad;4.1 csomó;;;None;243042880;;None;None
08.18 - 20:53;0.84 km északra;észak felé halad;3.7 csomó; ;;;243042880;;;
08.18 - 20:53;0.84 km északra;észak felé halad;3.7 csomó;;;None;243042880;;None;None
08.18 - 20:53;0.83 km északra;észak felé halad;3.7 csomó; ;;;243042880;;;
08.18 - 20:53;0.83 km északra;észak felé halad;3.7 csomó;;;None;243042880;;None;None
08.18 - 20:53;0.81 km északra;dél felé halad;4.1 csomó; ;;;243042880;;;
08.18 - 20:53;0.81 km északra;dél felé halad;4.1 csomó;;;None;243042880;;None;None
08.18 - 20:54;0.79 km északra;dél felé halad;4.4 csomó; ;;;243042880;;;
08.18 - 20:54;0.79 km északra;dél felé halad;4.4 csomó;;;None;243042880;;None;None
08.18 - 20:54;0.72 km északra;dél felé halad;5.4 csomó; ;;;243042880;;;
08.18 - 20:54;0.72 km északra;dél felé halad;5.4 csomó;;;None;243042880;;None;None
08.18 - 20:54;0.69 km északra;dél felé halad;5.7 csomó; ;;;243042880;;;
08.18 - 20:54;0.69 km északra;dél felé halad;5.7 csomó;;;None;243042880;;None;None
08.18 - 20:55;0.54 km északra;dél felé halad;6.5 csomó; ;;;243042880;;;
08.18 - 20:55;0.54 km északra;dél felé halad;6.5 csomó;;;None;243042880;;None;None
08.18 - 20:59;0.33 km délre;dél felé halad;6.2 csomó; ;;;243042880;;;
08.18 - 20:59;0.33 km délre;dél felé halad;6.2 csomó;;;None;243042880;;None;None
08.18 - 21:00;0.44 km délre;dél felé halad;6.5 csomó; ;;;243042880;;;
08.18 - 21:00;0.44 km délre;dél felé halad;6.5 csomó;;;None;243042880;;None;None
08.18 - 21:52;0.64 km délre;észak felé halad;4.4 csomó; ;;;243042880;;;
08.18 - 21:52;0.64 km délre;észak felé halad;4.4 csomó;;;None;243042880;;None;None
08.19 - 19:28;0.9 km délre;dél felé halad;2.8 csomó; ;;;243042880;;;
08.19 - 19:28;0.9 km délre;dél felé halad;2.8 csomó;;;None;243042880;;None;None
08.20 - 04:40;0.81 km délre;Áll délre;; ;;;243042880;;;
08.20 - 04:40;0.81 km délre;Áll délre;;;;None;243042880;;None;None
08.20 - 04:54;0.81 km délre;Áll délre;; ;;;243042880;;;
08.20 - 04:54;0.81 km délre;Áll délre;;;;None;243042880;;None;None
08.20 - 05:03;0.81 km délre;Áll délre;; ;;;243042880;;;
08.20 - 05:03;0.81 km délre;Áll délre;;;;None;243042880;;None;None
