Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.09 - 08:56;0.96 km északra;Áll északra;; ;;;243070419;;;
08.09 - 09:21;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.09 - 09:21;0.96 km északra;Áll északra;; ;;;243070419;;;
08.09 - 09:22;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.09 - 09:22;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 17:30;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 17:30;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 17:32;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 17:32;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 17:39;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 17:39;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 17:53;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 17:53;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 17:59;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 17:59;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 18:02;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 18:02;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 18:04;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 18:04;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 18:28;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 18:28;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 18:29;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 18:29;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 18:32;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 18:32;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 18:44;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 18:44;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 18:45;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 18:45;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 18:46;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 18:46;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 18:50;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 18:50;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 18:52;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 18:52;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 19:02;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 19:02;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 19:04;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 19:04;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 19:15;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 19:15;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 19:15;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 19:15;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 19:17;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 19:17;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 19:33;0.96 km északra;Áll északra;;BUDAPEST 07.10 19:20;HGDS;1.2;243070419;60;39;7
08.11 - 19:36;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 19:36;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 19:38;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 19:38;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 19:39;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 19:39;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 19:41;0.96 km északra;Áll északra;;;;None;243070419;;None;None
08.11 - 19:41;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 19:42;0.96 km északra;Áll északra;; ;;;243070419;;;
08.11 - 19:42;0.96 km északra;Áll északra;;;;None;243070419;;None;None
