Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;0.85 km északra;Áll északra;; ;;;243072205;;;
08.09 - 08:56;0.85 km északra;Áll északra;;;;None;243072205;;None;None
08.09 - 09:22;0.85 km északra;Áll északra;; ;;;243072205;;;
08.09 - 09:22;0.85 km északra;Áll északra;;;;None;243072205;;None;None
08.11 - 17:59;0.91 km északra;Áll északra;;;;None;243072205;;None;None
08.11 - 17:59;0.91 km északra;Áll északra;; ;;;243072205;;;
08.11 - 18:37;0.91 km északra;Áll északra;; ;;;243072205;;;
08.11 - 18:37;0.91 km északra;Áll északra;;;;None;243072205;;None;None
08.11 - 19:02;0.91 km északra;Áll északra;; ;;;243072205;;;
08.11 - 19:22;0.92 km északra;Áll északra;;;;None;243072205;;None;None
08.11 - 19:22;0.92 km északra;Áll északra;; ;;;243072205;;;
08.11 - 19:30;0.91 km északra;Áll északra;; ;;;243072205;;;
08.11 - 19:30;0.91 km északra;Áll északra;;;;None;243072205;;None;None
08.11 - 20:09;0.43 km délre;dél felé halad;9.4 csomó;;;None;243072205;;None;None
08.11 - 20:09;0.43 km délre;dél felé halad;9.4 csomó; ;;;243072205;;;
08.11 - 20:33;0.71 km északra;észak felé halad;5.2 csomó;;;None;243072205;;None;None
08.11 - 20:33;0.71 km északra;észak felé halad;5.2 csomó; ;;;243072205;;;
08.11 - 20:33;0.78 km északra;észak felé halad;5.0 csomó; ;;;243072205;;;
08.11 - 20:33;0.78 km északra;észak felé halad;5.0 csomó;;;None;243072205;;None;None
08.11 - 20:34;0.91 km északra;észak felé halad;5.1 csomó; ;;;243072205;;;
08.11 - 20:34;0.91 km északra;észak felé halad;5.1 csomó;;;None;243072205;;None;None
08.11 - 20:36;1.01 km északra;dél felé halad;5.4 csomó; ;;;243072205;;;
08.11 - 20:36;1.01 km északra;dél felé halad;5.4 csomó;;;None;243072205;;None;None
08.11 - 20:36;0.98 km északra;dél felé halad;6.1 csomó;;;None;243072205;;None;None
08.11 - 20:36;0.98 km északra;dél felé halad;6.1 csomó; ;;;243072205;;;
08.11 - 20:36;0.92 km északra;dél felé halad;6.0 csomó;;;None;243072205;;None;None
08.11 - 20:36;0.92 km északra;dél felé halad;6.0 csomó; ;;;243072205;;;
08.11 - 20:37;0.89 km északra;dél felé halad;6.5 csomó;;;None;243072205;;None;None
08.11 - 20:37;0.89 km északra;dél felé halad;6.5 csomó; ;;;243072205;;;
08.11 - 20:37;0.74 km északra;dél felé halad;7.3 csomó;;;None;243072205;;None;None
08.11 - 20:37;0.74 km északra;dél felé halad;7.3 csomó; ;;;243072205;;;
08.11 - 20:37;0.7 km északra;dél felé halad;7.3 csomó;;;None;243072205;;None;None
08.11 - 20:37;0.7 km északra;dél felé halad;7.3 csomó; ;;;243072205;;;
08.11 - 20:38;0.63 km északra;dél felé halad;7.4 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.11 - 20:38;0.63 km északra;dél felé halad;7.4 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.11 - 20:38;0.59 km északra;dél felé halad;7.4 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.11 - 20:38;0.59 km északra;dél felé halad;7.4 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.11 - 20:38;0.56 km északra;dél felé halad;7.5 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.11 - 20:38;0.56 km északra;dél felé halad;7.5 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.11 - 20:39;0.44 km északra;dél felé halad;7.6 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.11 - 20:39;0.44 km északra;dél felé halad;7.6 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.11 - 20:39;0.41 km északra;dél felé halad;7.6 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.11 - 20:39;0.41 km északra;dél felé halad;7.6 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.11 - 20:39;0.34 km északra;dél felé halad;7.5 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.11 - 20:39;0.34 km északra;dél felé halad;7.5 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.11 - 21:37;0.27 km délre;észak felé halad;4.6 csomó; ;;;243072205;;;
08.11 - 21:37;0.27 km délre;észak felé halad;4.6 csomó;;;None;243072205;;None;None
08.11 - 21:44;0.89 km északra;észak felé halad;4.4 csomó; ;;;243072205;;;
08.11 - 21:44;0.89 km északra;észak felé halad;4.4 csomó;;;None;243072205;;None;None
08.11 - 21:45;1.12 km északra;észak felé halad;5.0 csomó; ;;;243072205;;;
08.11 - 21:45;1.12 km északra;észak felé halad;5.0 csomó;;;None;243072205;;None;None
08.11 - 21:47;1.12 km északra;dél felé halad;5.1 csomó; ;;;243072205;;;
08.11 - 21:47;1.12 km északra;dél felé halad;5.1 csomó;;;None;243072205;;None;None
08.11 - 21:47;1.09 km északra;dél felé halad;5.8 csomó; ;;;243072205;;;
08.11 - 21:47;1.09 km északra;dél felé halad;5.8 csomó;;;None;243072205;;None;None
08.11 - 21:47;1.07 km északra;dél felé halad;6.5 csomó; ;;;243072205;;;
08.11 - 21:47;1.07 km északra;dél felé halad;6.5 csomó;;;None;243072205;;None;None
08.11 - 21:48;0.84 km északra;dél felé halad;7.7 csomó; ;;;243072205;;;
08.11 - 21:48;0.84 km északra;dél felé halad;7.7 csomó;;;None;243072205;;None;None
08.11 - 21:48;0.75 km északra;dél felé halad;7.8 csomó; ;;;243072205;;;
08.11 - 21:48;0.75 km északra;dél felé halad;7.8 csomó;;;None;243072205;;None;None
08.11 - 21:48;0.72 km északra;dél felé halad;7.9 csomó; ;;;243072205;;;
08.11 - 21:48;0.72 km északra;dél felé halad;7.9 csomó;;;None;243072205;;None;None
08.11 - 22:33;0.47 km északra;észak felé halad;7.9 csomó; ;;;243072205;;;
08.11 - 22:33;0.47 km északra;észak felé halad;7.9 csomó;;;None;243072205;;None;None
08.18 - 21:39;0.87 km északra;észak felé halad;5.1 csomó; ;;;243072205;;;
08.18 - 21:39;0.87 km északra;észak felé halad;5.1 csomó;;;None;243072205;;None;None
08.18 - 21:43;1.14 km északra;dél felé halad;6.1 csomó; ;;;243072205;;;
08.18 - 21:43;1.14 km északra;dél felé halad;6.1 csomó;;;None;243072205;;None;None
08.18 - 21:43;1.1 km északra;dél felé halad;6.8 csomó; ;;;243072205;;;
08.18 - 21:43;1.1 km északra;dél felé halad;6.8 csomó;;;None;243072205;;None;None
08.18 - 21:44;0.87 km északra;dél felé halad;8.2 csomó; ;;;243072205;;;
08.18 - 21:44;0.87 km északra;dél felé halad;8.2 csomó;;;None;243072205;;None;None
08.18 - 21:45;0.7 km északra;dél felé halad;8.1 csomó; ;;;243072205;;;
08.18 - 21:45;0.7 km északra;dél felé halad;8.1 csomó;;;None;243072205;;None;None
08.18 - 21:46;0.43 km északra;dél felé halad;7.6 csomó; ;;;243072205;;;
08.18 - 21:46;0.43 km északra;dél felé halad;7.6 csomó;;;None;243072205;;None;None
08.18 - 22:18;0.93 km délre;Áll délre;; ;;;243072205;;;
08.18 - 22:18;0.93 km délre;Áll délre;;;;None;243072205;;None;None
08.19 - 19:09;0.93 km délre;Áll délre;;;;None;243072205;;None;None
08.19 - 19:09;0.93 km délre;Áll délre;; ;;;243072205;;;
08.19 - 19:16;0.65 km délre;észak felé halad;4.7 csomó; ;;;243072205;;;
08.19 - 19:16;0.65 km délre;észak felé halad;4.7 csomó;;;None;243072205;;None;None
08.19 - 19:17;0.49 km délre;észak felé halad;4.6 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.19 - 19:17;0.49 km délre;észak felé halad;4.6 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.19 - 19:19;0.29 km délre;észak felé halad;4.7 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.19 - 19:19;0.29 km délre;észak felé halad;4.7 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.19 - 19:19;0.28 km északra;észak felé halad;4.7 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.19 - 19:19;0.28 km északra;észak felé halad;4.7 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.19 - 19:20;0.28 km északra;észak felé halad;4.8 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.19 - 19:20;0.28 km északra;észak felé halad;4.8 csomó;VISEGRAD 06.12 17:45;HGVE;1.2;243072205;60;39;7
08.19 - 19:22;0.56 km északra;észak felé halad;5.0 csomó; ;;;243072205;;;
08.19 - 19:22;0.56 km északra;észak felé halad;5.0 csomó;;;None;243072205;;None;None
08.19 - 19:23;0.6 km északra;észak felé halad;5.0 csomó; ;;;243072205;;;
08.19 - 19:23;0.6 km északra;észak felé halad;5.0 csomó;;;None;243072205;;None;None
08.19 - 19:24;0.82 km északra;észak felé halad;4.5 csomó; ;;;243072205;;;
08.19 - 19:24;0.82 km északra;észak felé halad;4.5 csomó;;;None;243072205;;None;None
08.19 - 19:25;0.99 km északra;észak felé halad;4.7 csomó; ;;;243072205;;;
08.19 - 19:25;0.99 km északra;észak felé halad;4.7 csomó;;;None;243072205;;None;None
08.19 - 19:26;1.01 km északra;észak felé halad;4.6 csomó; ;;;243072205;;;
08.19 - 19:26;1.01 km északra;észak felé halad;4.6 csomó;;;None;243072205;;None;None
08.19 - 19:26;1.05 km északra;észak felé halad;4.6 csomó; ;;;243072205;;;
08.19 - 19:26;1.05 km északra;észak felé halad;4.6 csomó;;;None;243072205;;None;None
08.19 - 19:27;1.16 km északra;észak felé halad;4.9 csomó; ;;;243072205;;;
08.19 - 19:27;1.16 km északra;észak felé halad;4.9 csomó;;;None;243072205;;None;None
08.19 - 19:27;1.21 km északra;észak felé halad;4.8 csomó; ;;;243072205;;;
08.19 - 19:27;1.21 km északra;észak felé halad;4.8 csomó;;;None;243072205;;None;None
08.19 - 19:28;1.27 km északra;észak felé halad;3.7 csomó; ;;;243072205;;;
08.19 - 19:28;1.27 km északra;észak felé halad;3.7 csomó;;;None;243072205;;None;None
08.19 - 19:28;1.27 km északra;dél felé halad;3.4 csomó; ;;;243072205;;;
08.19 - 19:28;1.27 km északra;dél felé halad;3.4 csomó;;;None;243072205;;None;None
08.19 - 19:35;0.37 km délre;dél felé halad;7.3 csomó; ;;;243072205;;;
08.19 - 19:35;0.37 km délre;dél felé halad;7.3 csomó;;;None;243072205;;None;None
08.19 - 19:36;0.52 km délre;dél felé halad;7.6 csomó; ;;;243072205;;;
08.19 - 19:36;0.52 km délre;dél felé halad;7.6 csomó;;;None;243072205;;None;None
