Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 21:18;0.49 km északra;észak felé halad;4.4 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:18;0.49 km északra;észak felé halad;4.4 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:18;0.56 km északra;észak felé halad;4.6 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:18;0.56 km északra;észak felé halad;4.6 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:19;0.67 km északra;észak felé halad;4.7 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:19;0.67 km északra;észak felé halad;4.7 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:20;0.81 km északra;észak felé halad;4.5 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:20;0.81 km északra;észak felé halad;4.5 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:20;0.85 km északra;észak felé halad;4.3 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:20;0.85 km északra;észak felé halad;4.3 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:21;0.9 km északra;észak felé halad;4.5 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:21;0.9 km északra;észak felé halad;4.5 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:21;1.01 km északra;észak felé halad;4.8 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:21;1.01 km északra;észak felé halad;4.8 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:22;1.14 km északra;észak felé halad;4.7 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
08.11 - 21:22;1.14 km északra;észak felé halad;4.7 csomó;BUDAPEST 12.06 21:00;HGDR;1.2;243070418;60;32;7
