Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 18:44;0.85 km északra;Áll északra;;;;None;243070519;;None;None
08.11 - 18:44;0.85 km északra;Áll északra;; ;;;243070519;;;
08.11 - 18:49;0.85 km északra;Áll északra;; ;;;243070519;;;
08.11 - 18:49;0.85 km északra;Áll északra;;;;None;243070519;;None;None
08.11 - 18:50;0.85 km északra;észak felé halad;1.2 csomó; ;;;243070519;;;
08.11 - 18:50;0.85 km északra;észak felé halad;1.2 csomó;;;None;243070519;;None;None
08.11 - 18:52;0.91 km északra;Áll északra;; ;;;243070519;;;
08.11 - 18:52;0.91 km északra;Áll északra;;;;None;243070519;;None;None
08.11 - 19:07;0.91 km északra;Áll északra;;;;None;243070519;;None;None
08.11 - 19:07;0.91 km északra;Áll északra;; ;;;243070519;;;
08.11 - 19:25;0.91 km északra;Áll északra;; ;;;243070519;;;
08.11 - 19:25;0.91 km északra;Áll északra;;;;None;243070519;;None;None
08.11 - 19:48;0.91 km északra;Áll északra;;;;None;243070519;;None;None
08.11 - 19:48;0.91 km északra;Áll északra;; ;;;243070519;;;
08.11 - 20:09;0.22 km délre;dél felé halad;5.0 csomó; ;;;243070519;;;
08.11 - 20:09;0.22 km délre;dél felé halad;5.0 csomó;;;None;243070519;;None;None
08.11 - 20:09;0.26 km délre;dél felé halad;5.4 csomó;;;None;243070519;;None;None
08.11 - 20:09;0.26 km délre;dél felé halad;5.4 csomó; ;;;243070519;;;
08.11 - 20:38;0.35 km délre;észak felé halad;3.6 csomó; ;;;243070519;;;
08.11 - 20:38;0.35 km délre;észak felé halad;3.6 csomó;;;None;243070519;;None;None
08.11 - 20:40;0.3 km északra;észak felé halad;3.7 csomó; ;;;243070519;;;
08.11 - 20:40;0.3 km északra;észak felé halad;3.7 csomó;;;None;243070519;;None;None
08.11 - 20:41;0.33 km északra;észak felé halad;3.6 csomó;;;None;243070519;;None;None
08.11 - 20:41;0.33 km északra;észak felé halad;3.6 csomó; ;;;243070519;;;
08.11 - 21:59;1.18 km északra;észak felé halad;4.5 csomó; ;;;243070519;;;
08.11 - 21:59;1.18 km északra;észak felé halad;4.5 csomó;;;None;243070519;;None;None
08.11 - 22:00;1.11 km északra;dél felé halad;5.6 csomó; ;;;243070519;;;
08.11 - 22:00;1.11 km északra;dél felé halad;5.6 csomó;;;None;243070519;;None;None
08.11 - 22:01;0.79 km északra;dél felé halad;6.4 csomó; ;;;243070519;;;
08.11 - 22:01;0.79 km északra;dél felé halad;6.4 csomó;;;None;243070519;;None;None
08.11 - 22:03;0.48 km északra;dél felé halad;6.1 csomó; ;;;243070519;;;
08.11 - 22:03;0.48 km északra;dél felé halad;6.1 csomó;;;None;243070519;;None;None
08.14 - 07:34;0.85 km északra;Áll északra;; ;;;243070519;;;
08.14 - 07:34;0.85 km északra;Áll északra;;;;None;243070519;;None;None
