Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;1.53 km északra;Áll északra;;;;None;243042568;;None;None
08.09 - 08:56;1.53 km északra;Áll északra;; ;;;243042568;;;
08.09 - 09:22;1.53 km északra;Áll északra;; ;;;243042568;;;
08.09 - 09:22;1.53 km északra;Áll északra;;;;None;243042568;;None;None
08.11 - 17:53;1.16 km északra;észak felé halad;5.9 csomó;;;None;243042568;;None;None
08.11 - 17:53;1.16 km északra;észak felé halad;5.9 csomó; ;;;243042568;;;
08.11 - 17:53;1.22 km északra;észak felé halad;6.0 csomó; ;;;243042568;;;
08.11 - 17:53;1.22 km északra;észak felé halad;6.0 csomó;;;None;243042568;;None;None
08.11 - 17:54;1.26 km északra;észak felé halad;6.1 csomó;;;None;243042568;;None;None
08.11 - 17:54;1.26 km északra;észak felé halad;6.1 csomó; ;;;243042568;;;
08.11 - 17:54;1.35 km északra;észak felé halad;5.9 csomó; ;;;243042568;;;
08.11 - 17:54;1.35 km északra;észak felé halad;5.9 csomó;;;None;243042568;;None;None
08.11 - 17:54;1.41 km északra;észak felé halad;5.7 csomó; ;;;243042568;;;
08.11 - 17:54;1.41 km északra;észak felé halad;5.7 csomó;;;None;243042568;;None;None
08.11 - 17:55;1.46 km északra;észak felé halad;4.0 csomó; ;;;243042568;;;
08.11 - 17:55;1.46 km északra;észak felé halad;4.0 csomó;;;None;243042568;;None;None
08.11 - 17:55;1.49 km északra;észak felé halad;2.8 csomó; ;;;243042568;;;
08.11 - 17:55;1.49 km északra;észak felé halad;2.8 csomó;;;None;243042568;;None;None
08.11 - 17:55;1.5 km északra;észak felé halad;2.4 csomó; ;;;243042568;;;
08.11 - 17:55;1.5 km északra;észak felé halad;2.4 csomó;;;None;243042568;;None;None
08.11 - 17:55;1.51 km északra;észak felé halad;2.0 csomó;;;None;243042568;;None;None
08.11 - 17:55;1.51 km északra;észak felé halad;2.0 csomó; ;;;243042568;;;
08.11 - 17:56;1.52 km északra;észak felé halad;0.6 csomó;;;None;243042568;;None;None
08.11 - 17:56;1.52 km északra;észak felé halad;0.6 csomó; ;;;243042568;;;
08.11 - 17:56;1.53 km északra;Áll északra;;;;None;243042568;;None;None
08.11 - 17:56;1.53 km északra;Áll északra;; ;;;243042568;;;
08.11 - 18:00;1.53 km északra;Áll északra;;;;None;243042568;;None;None
08.11 - 18:00;1.53 km északra;Áll északra;; ;;;243042568;;;
08.11 - 18:02;1.53 km északra;Áll északra;; ;;;243042568;;;
08.11 - 18:02;1.53 km északra;Áll északra;;;;None;243042568;;None;None
08.11 - 18:05;1.53 km északra;Áll északra;; ;;;243042568;;;
08.11 - 18:05;1.53 km északra;Áll északra;;;;None;243042568;;None;None
08.11 - 18:28;0.45 km északra;dél felé halad;9.2 csomó; ;;;243042568;;;
08.11 - 18:28;0.45 km északra;dél felé halad;9.2 csomó;;;None;243042568;;None;None
08.11 - 18:33;0.85 km délre;dél felé halad;9.4 csomó;;;None;243042568;;None;None
08.11 - 18:33;0.85 km délre;dél felé halad;9.4 csomó; ;;;243042568;;;
08.11 - 18:52;0.53 km délre;észak felé halad;4.5 csomó;;;None;243042568;;None;None
08.11 - 18:52;0.53 km délre;észak felé halad;4.5 csomó; ;;;243042568;;;
08.11 - 18:53;0.4 km délre;észak felé halad;4.6 csomó;;;None;243042568;;None;None
08.11 - 18:53;0.4 km délre;észak felé halad;4.6 csomó; ;;;243042568;;;
08.11 - 18:55;0.3 km délre;észak felé halad;4.6 csomó;;;None;243042568;;None;None
08.11 - 18:55;0.3 km délre;észak felé halad;4.6 csomó; ;;;243042568;;;
08.11 - 18:55;0.3 km északra;észak felé halad;4.7 csomó; ;;;243042568;;;
