Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 19:05;1.69 km északra;észak felé halad;5.5 csomó;00.00 24:60;HGD2670;None;243042670;60;40;9
08.11 - 19:05;1.69 km északra;észak felé halad;5.5 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
08.11 - 19:06;1.72 km északra;észak felé halad;5.6 csomó;00.00 24:60;HGD2670;None;243042670;60;40;9
08.11 - 19:06;1.72 km északra;észak felé halad;5.6 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
08.11 - 19:06;1.75 km északra;észak felé halad;5.5 csomó;00.00 24:60;HGD2670;None;243042670;60;40;9
08.11 - 19:06;1.75 km északra;észak felé halad;5.5 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
08.11 - 19:07;1.97 km északra;észak felé halad;6.3 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
08.11 - 19:07;1.97 km északra;észak felé halad;6.3 csomó;00.00 24:60;HGD2670;None;243042670;60;40;9
08.11 - 19:07;2.07 km északra;észak felé halad;6.3 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
08.11 - 19:07;2.07 km északra;észak felé halad;6.3 csomó;00.00 24:60;HGD2670;None;243042670;60;40;9
08.11 - 19:08;2.09 km északra;észak felé halad;6.2 csomó;00.00 24:60;HGD2670;None;243042670;60;40;9
08.11 - 19:08;2.09 km északra;észak felé halad;6.2 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
08.11 - 19:08;2.12 km északra;észak felé halad;6.3 csomó;00.00 24:60;HGD2670;None;243042670;60;40;9
08.11 - 19:08;2.12 km északra;észak felé halad;6.3 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
08.11 - 19:08;2.16 km északra;észak felé halad;6.2 csomó;00.00 24:60;HGD2670;None;243042670;60;40;9
08.11 - 19:08;2.16 km északra;észak felé halad;6.2 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
08.11 - 19:08;2.26 km északra;észak felé halad;5.9 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
08.11 - 19:08;2.26 km északra;észak felé halad;5.9 csomó;00.00 24:60;HGD2670;None;243042670;60;40;9
08.11 - 19:09;2.28 km északra;észak felé halad;5.7 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
08.11 - 19:09;2.28 km északra;észak felé halad;5.7 csomó;00.00 24:60;HGD2670;None;243042670;60;40;9
08.11 - 19:09;2.31 km északra;észak felé halad;5.5 csomó;00.00 24:60;HGD2670;None;243042670;60;40;9
08.11 - 19:09;2.31 km északra;észak felé halad;5.5 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
08.11 - 19:09;2.34 km északra;észak felé halad;5.5 csomó;00.00 24:60;HGD2670;None;243042670;60;40;9
08.11 - 19:09;2.34 km északra;észak felé halad;5.5 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
08.11 - 19:09;2.37 km északra;észak felé halad;5.5 csomó; 00.00 24:60;HGD2670;;243042670;60;40;9
