Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 09:22;0.38 km délre;Áll délre;;;;None;243071723;;None;None
08.09 - 09:22;0.38 km délre;Áll délre;; ;;;243071723;;;
08.11 - 17:30;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 17:30;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 17:32;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 17:32;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 17:39;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 17:39;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 17:53;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 17:53;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 17:59;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 17:59;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 18:01;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 18:01;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 18:02;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 18:02;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 18:04;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 18:04;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 18:32;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 18:32;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 18:44;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 18:44;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 18:45;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 18:45;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 18:47;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 18:47;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 18:50;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 18:50;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 18:52;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 18:52;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 19:02;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 19:02;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 19:04;0.37 km délre;Áll délre;;;;None;243071723;;None;None
08.11 - 19:04;0.37 km délre;Áll délre;; ;;;243071723;;;
08.11 - 19:05;0.36 km délre;észak felé halad;1.1 csomó;;;None;243071723;;None;None
08.11 - 19:05;0.36 km délre;észak felé halad;1.1 csomó; ;;;243071723;;;
08.11 - 19:06;0.33 km északra;észak felé halad;2.3 csomó;;;None;243071723;;None;None
08.11 - 19:06;0.33 km északra;észak felé halad;2.3 csomó; ;;;243071723;;;
08.11 - 19:08;0.33 km északra;észak felé halad;1.4 csomó; ;;;243071723;;;
08.11 - 19:08;0.33 km északra;észak felé halad;1.4 csomó;;;None;243071723;;None;None
08.11 - 19:08;0.34 km északra;észak felé halad;1.2 csomó;;;None;243071723;;None;None
08.11 - 19:08;0.34 km északra;észak felé halad;1.2 csomó; ;;;243071723;;;
08.11 - 19:10;0.41 km északra;észak felé halad;3.1 csomó;;;None;243071723;;None;None
08.11 - 19:10;0.41 km északra;észak felé halad;3.1 csomó; ;;;243071723;;;
08.11 - 19:10;0.43 km északra;észak felé halad;3.1 csomó;;;None;243071723;;None;None
08.11 - 19:10;0.43 km északra;észak felé halad;3.1 csomó; ;;;243071723;;;
08.11 - 19:15;0.68 km északra;észak felé halad;2.9 csomó; ;;;243071723;;;
08.11 - 19:15;0.68 km északra;észak felé halad;2.9 csomó;;;None;243071723;;None;None
08.11 - 19:15;0.75 km északra;észak felé halad;3.1 csomó; ;;;243071723;;;
08.11 - 19:15;0.75 km északra;észak felé halad;3.1 csomó;;;None;243071723;;None;None
08.11 - 19:16;0.77 km északra;észak felé halad;3.1 csomó; ;;;243071723;;;
08.11 - 19:17;0.94 km északra;észak felé halad;3.2 csomó;;;None;243071723;;None;None
08.11 - 19:17;0.94 km északra;észak felé halad;3.2 csomó; ;;;243071723;;;
08.11 - 19:18;1.0 km északra;észak felé halad;3.2 csomó; ;;;243071723;;;
08.11 - 19:18;1.0 km északra;észak felé halad;3.2 csomó;;;None;243071723;;None;None
08.11 - 19:18;1.01 km északra;észak felé halad;3.2 csomó; ;;;243071723;;;
08.11 - 19:18;1.01 km északra;észak felé halad;3.2 csomó;;;None;243071723;;None;None
08.11 - 19:18;1.03 km északra;észak felé halad;3.2 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:18;1.03 km északra;észak felé halad;3.2 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:19;1.06 km északra;észak felé halad;3.2 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:19;1.06 km északra;észak felé halad;3.2 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:19;1.07 km északra;észak felé halad;3.2 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:19;1.07 km északra;észak felé halad;3.2 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:19;1.11 km északra;észak felé halad;3.6 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:19;1.11 km északra;észak felé halad;3.6 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:20;1.14 km északra;észak felé halad;3.2 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:20;1.14 km északra;észak felé halad;3.2 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:20;1.15 km északra;észak felé halad;3.4 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:20;1.15 km északra;észak felé halad;3.4 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:21;1.11 km északra;dél felé halad;4.2 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:21;1.11 km északra;dél felé halad;4.2 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:21;1.09 km északra;dél felé halad;4.4 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:21;1.09 km északra;dél felé halad;4.4 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:21;1.07 km északra;dél felé halad;4.7 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:21;1.07 km északra;dél felé halad;4.7 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
08.11 - 19:21;1.05 km északra;dél felé halad;5.1 csomó;BUDAPEST HELYI 05.24 23:00;HGQW;1.6;243071723;60;78;17
