Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 21:14;0.69 km északra;észak felé halad;5.6 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:14;0.69 km északra;észak felé halad;5.6 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:14;0.75 km északra;észak felé halad;5.5 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:14;0.75 km északra;észak felé halad;5.5 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:15;0.83 km északra;észak felé halad;5.2 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:15;0.83 km északra;észak felé halad;5.2 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:15;0.86 km északra;észak felé halad;5.3 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:15;0.86 km északra;észak felé halad;5.3 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:15;0.91 km északra;észak felé halad;5.3 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:15;0.91 km északra;észak felé halad;5.3 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:16;0.94 km északra;észak felé halad;5.2 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:16;0.94 km északra;észak felé halad;5.2 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:16;0.96 km északra;észak felé halad;5.0 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:16;0.96 km északra;észak felé halad;5.0 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:16;1.01 km északra;észak felé halad;4.9 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:16;1.01 km északra;észak felé halad;4.9 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:17;1.16 km északra;észak felé halad;4.8 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:17;1.16 km északra;észak felé halad;4.8 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:17;1.21 km északra;észak felé halad;4.9 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:17;1.21 km északra;észak felé halad;4.9 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:18;1.29 km északra;észak felé halad;3.9 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:18;1.29 km északra;észak felé halad;3.9 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:18;1.29 km északra;észak felé halad;4.0 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:18;1.29 km északra;észak felé halad;4.0 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:18;1.29 km északra;dél felé halad;4.1 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:18;1.29 km északra;dél felé halad;4.1 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:19;1.27 km északra;dél felé halad;4.3 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:19;1.27 km északra;dél felé halad;4.3 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:19;1.26 km északra;dél felé halad;4.7 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:19;1.26 km északra;dél felé halad;4.7 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:19;1.2 km északra;dél felé halad;6.1 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:19;1.2 km északra;dél felé halad;6.1 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:19;1.17 km északra;dél felé halad;6.6 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:19;1.17 km északra;dél felé halad;6.6 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:19;1.13 km északra;dél felé halad;6.9 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:19;1.13 km északra;dél felé halad;6.9 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:20;1.1 km északra;dél felé halad;7.2 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:20;1.1 km északra;dél felé halad;7.2 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:20;0.9 km északra;dél felé halad;7.7 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:20;0.9 km északra;dél felé halad;7.7 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:21;0.83 km északra;dél felé halad;7.8 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:21;0.83 km északra;dél felé halad;7.8 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:21;0.74 km északra;dél felé halad;7.8 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:21;0.74 km északra;dél felé halad;7.8 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:21;0.7 km északra;dél felé halad;7.8 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:21;0.7 km északra;dél felé halad;7.8 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:22;0.63 km északra;dél felé halad;7.8 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:22;0.63 km északra;dél felé halad;7.8 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:22;0.59 km északra;dél felé halad;7.9 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:22;0.59 km északra;dél felé halad;7.9 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:23;0.39 km északra;dél felé halad;8.6 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:23;0.39 km északra;dél felé halad;8.6 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:23;0.35 km északra;dél felé halad;8.6 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:23;0.35 km északra;dél felé halad;8.6 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:23;0.31 km északra;dél felé halad;8.6 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:23;0.31 km északra;dél felé halad;8.6 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:24;0.19 km északra;dél felé halad;8.4 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:24;0.19 km északra;dél felé halad;8.4 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:24;0.2 km délre;dél felé halad;8.5 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:24;0.2 km délre;dél felé halad;8.5 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:26;0.73 km délre;dél felé halad;8.8 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.11 - 21:26;0.73 km délre;dél felé halad;8.8 csomó;BUDAPEST 06.12 17:58;HGGR;1.1;243070718;60;39;7
08.19 - 19:01;0.52 km északra;Áll északra;; ;;;243070718;;;
08.19 - 19:01;0.52 km északra;Áll északra;;;;None;243070718;;None;None
08.19 - 19:22;0.69 km északra;észak felé halad;3.8 csomó; ;;;243070718;;;
08.19 - 19:22;0.69 km északra;észak felé halad;3.8 csomó;;;None;243070718;;None;None
08.19 - 19:24;0.87 km északra;észak felé halad;4.8 csomó; ;;;243070718;;;
08.19 - 19:24;0.87 km északra;észak felé halad;4.8 csomó;;;None;243070718;;None;None
08.19 - 19:24;0.97 km északra;észak felé halad;5.0 csomó; ;;;243070718;;;
08.19 - 19:24;0.97 km északra;észak felé halad;5.0 csomó;;;None;243070718;;None;None
08.19 - 19:25;1.12 km északra;észak felé halad;4.5 csomó; ;;;243070718;;;
08.19 - 19:25;1.12 km északra;észak felé halad;4.5 csomó;;;None;243070718;;None;None
08.19 - 19:26;1.15 km északra;észak felé halad;4.3 csomó; ;;;243070718;;;
08.19 - 19:26;1.15 km északra;észak felé halad;4.3 csomó;;;None;243070718;;None;None
08.19 - 19:26;1.13 km északra;dél felé halad;4.2 csomó; ;;;243070718;;;
08.19 - 19:26;1.13 km északra;dél felé halad;4.2 csomó;;;None;243070718;;None;None
08.19 - 19:27;1.07 km északra;dél felé halad;5.8 csomó; ;;;243070718;;;
08.19 - 19:27;1.07 km északra;dél felé halad;5.8 csomó;;;None;243070718;;None;None
08.19 - 19:27;1.04 km északra;dél felé halad;6.4 csomó; ;;;243070718;;;
08.19 - 19:27;1.04 km északra;dél felé halad;6.4 csomó;;;None;243070718;;None;None
08.19 - 19:27;1.01 km északra;dél felé halad;6.9 csomó; ;;;243070718;;;
08.19 - 19:27;1.01 km északra;dél felé halad;6.9 csomó;;;None;243070718;;None;None
08.19 - 19:27;0.97 km északra;dél felé halad;7.3 csomó; ;;;243070718;;;
08.19 - 19:27;0.97 km északra;dél felé halad;7.3 csomó;;;None;243070718;;None;None
08.19 - 19:28;0.78 km északra;dél felé halad;7.7 csomó; ;;;243070718;;;
08.19 - 19:28;0.78 km északra;dél felé halad;7.7 csomó;;;None;243070718;;None;None
08.19 - 19:28;0.74 km északra;dél felé halad;7.6 csomó; ;;;243070718;;;
08.19 - 19:28;0.74 km északra;dél felé halad;7.6 csomó;;;None;243070718;;None;None
08.19 - 19:29;0.62 km északra;dél felé halad;7.3 csomó; ;;;243070718;;;
08.19 - 19:29;0.62 km északra;dél felé halad;7.3 csomó;;;None;243070718;;None;None
08.19 - 19:29;0.59 km északra;dél felé halad;7.3 csomó; ;;;243070718;;;
08.19 - 19:29;0.59 km északra;dél felé halad;7.3 csomó;;;None;243070718;;None;None
08.19 - 19:38;1.54 km délre;dél felé halad;7.4 csomó;;;None;243070718;;None;None
08.19 - 19:38;1.54 km délre;dél felé halad;7.4 csomó; ;;;243070718;;;
08.19 - 20:00;0.9 km délre;észak felé halad;5.3 csomó; ;;;243070718;;;
08.19 - 20:00;0.9 km délre;észak felé halad;5.3 csomó;;;None;243070718;;None;None
08.19 - 20:00;0.8 km délre;észak felé halad;5.1 csomó; ;;;243070718;;;
08.19 - 20:00;0.8 km délre;észak felé halad;5.1 csomó;;;None;243070718;;None;None
08.19 - 20:01;0.74 km délre;észak felé halad;5.1 csomó; ;;;243070718;;;
08.19 - 20:01;0.74 km délre;észak felé halad;5.1 csomó;;;None;243070718;;None;None
08.19 - 20:01;0.69 km délre;észak felé halad;5.2 csomó; ;;;243070718;;;
08.19 - 20:01;0.69 km délre;észak felé halad;5.2 csomó;;;None;243070718;;None;None
08.19 - 20:05;0.18 km északra;észak felé halad;6.4 csomó; ;;;243070718;;;
08.19 - 20:05;0.18 km északra;észak felé halad;6.4 csomó;;;None;243070718;;None;None
08.19 - 20:06;0.25 km északra;észak felé halad;6.1 csomó; ;;;243070718;;;
08.19 - 20:06;0.25 km északra;észak felé halad;6.1 csomó;;;None;243070718;;None;None
08.19 - 20:06;0.31 km északra;észak felé halad;6.0 csomó; ;;;243070718;;;
08.19 - 20:06;0.31 km északra;észak felé halad;6.0 csomó;;;None;243070718;;None;None
08.19 - 20:06;0.36 km északra;észak felé halad;5.5 csomó; ;;;243070718;;;
