Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;1.58 km északra;Áll északra;; ;;;243070517;;;
08.09 - 08:56;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.09 - 09:21;1.58 km északra;Áll északra;; ;;;243070517;;;
08.09 - 09:21;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.09 - 09:22;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.09 - 09:22;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 17:32;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 17:32;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 17:33;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 17:33;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 17:53;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 17:53;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 18:36;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 18:36;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 18:45;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 18:45;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 18:53;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 18:53;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 19:18;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 19:18;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 19:43;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 19:43;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 19:47;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 19:47;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 19:48;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 19:48;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 20:09;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 20:09;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 20:40;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 20:40;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 21:05;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 21:05;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.11 - 21:41;1.58 km északra;Áll északra;; ;;;243070517;;;
08.11 - 21:41;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.14 - 07:33;1.58 km északra;Áll északra;; ;;;243070517;;;
08.14 - 07:33;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.14 - 07:53;1.58 km északra;Áll északra;; ;;;243070517;;;
08.14 - 07:53;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.14 - 08:04;1.58 km északra;Áll északra;; ;;;243070517;;;
08.14 - 08:04;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.18 - 20:51;1.58 km északra;Áll északra;; 00.00 24:60;HGEQ;;243070517;0;24;6
08.18 - 20:51;1.58 km északra;Áll északra;;00.00 24:60;HGEQ;None;243070517;0;24;6
08.18 - 20:56;1.58 km északra;Áll északra;; ;;;243070517;;;
08.18 - 20:56;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.18 - 21:32;1.58 km északra;Áll északra;; ;;;243070517;;;
08.18 - 21:32;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.18 - 22:13;1.58 km északra;Áll északra;; ;;;243070517;;;
08.18 - 22:13;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.19 - 19:02;1.58 km északra;Áll északra;; ;;;243070517;;;
08.19 - 19:02;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.19 - 19:22;1.58 km északra;Áll északra;; ;;;243070517;;;
08.19 - 19:22;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.19 - 19:35;1.58 km északra;Áll északra;; ;;;243070517;;;
08.19 - 19:35;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.19 - 19:54;1.58 km északra;Áll északra;; ;;;243070517;;;
08.19 - 19:54;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.20 - 04:39;1.58 km északra;Áll északra;; ;;;243070517;;;
08.20 - 04:39;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.20 - 04:54;1.58 km északra;Áll északra;; ;;;243070517;;;
08.20 - 04:54;1.58 km északra;Áll északra;;;;None;243070517;;None;None
08.20 - 05:03;1.58 km északra;Áll északra;; ;;;243070517;;;
08.20 - 05:03;1.58 km északra;Áll északra;;;;None;243070517;;None;None
