Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;0.96 km északra;Áll északra;; ;;;243070821;;;
08.09 - 08:56;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.09 - 09:22;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.09 - 09:22;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 17:30;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 17:30;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 17:32;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 17:32;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 17:39;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 17:39;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 17:53;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 17:53;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 17:59;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 17:59;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 18:00;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 18:00;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 18:02;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 18:02;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 18:04;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 18:04;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 18:28;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 18:28;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 18:29;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 18:29;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 18:32;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 18:32;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 18:44;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 18:44;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 18:45;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 18:45;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 18:46;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 18:46;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 18:50;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 18:50;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 18:52;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 18:52;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:02;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:02;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:04;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:04;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:15;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:15;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:15;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:15;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:18;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:18;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:31;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:31;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:32;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:32;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:36;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:36;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:38;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:38;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:39;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:39;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:41;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:41;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:42;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:42;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:44;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:44;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:45;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:45;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:46;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:46;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:47;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 19:47;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:49;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 19:49;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 20:01;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 20:01;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 20:03;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 20:03;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 20:06;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 20:06;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 20:09;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 20:09;0.96 km északra;Áll északra;;;;None;243070821;;None;None
08.11 - 20:28;0.96 km északra;Áll északra;; ;;;243070821;;;
08.11 - 20:28;0.96 km északra;Áll északra;;;;None;243070821;;None;None
