Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 17:53;0.71 km északra;észak felé halad;3.1 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:53;0.74 km északra;észak felé halad;3.1 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:53;0.74 km északra;észak felé halad;3.1 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:54;0.77 km északra;észak felé halad;2.9 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:54;0.77 km északra;észak felé halad;2.9 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:54;0.84 km északra;észak felé halad;2.9 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:54;0.84 km északra;észak felé halad;2.9 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:55;0.86 km északra;észak felé halad;2.9 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:55;0.86 km északra;észak felé halad;2.9 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:55;0.87 km északra;észak felé halad;2.9 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:55;0.87 km északra;észak felé halad;2.9 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:55;0.89 km északra;észak felé halad;3.0 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:55;0.89 km északra;észak felé halad;3.0 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:56;0.97 km északra;észak felé halad;3.1 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:56;0.97 km északra;észak felé halad;3.1 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:56;0.98 km északra;észak felé halad;3.1 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:56;0.98 km északra;észak felé halad;3.1 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:56;1.01 km északra;észak felé halad;2.9 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:56;1.01 km északra;észak felé halad;2.9 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:57;1.07 km északra;észak felé halad;2.5 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
08.11 - 17:57;1.07 km északra;észak felé halad;2.5 csomó;BUDAPEST 04.17 22:00;HGD2570;0.2;243042570;69;37;6
