Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 19:44;6.04 km északra;Áll északra;; ;;;243070510;;;
08.11 - 19:46;6.04 km északra;Áll északra;; ;;;243070510;;;
08.11 - 19:46;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 19:47;6.04 km északra;Áll északra;; ;;;243070510;;;
08.11 - 19:47;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 19:48;6.04 km északra;Áll északra;; ;;;243070510;;;
08.11 - 19:48;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 19:49;6.04 km északra;Áll északra;; ;;;243070510;;;
08.11 - 19:49;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 20:01;6.04 km északra;Áll északra;; ;;;243070510;;;
08.11 - 20:01;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 20:03;6.04 km északra;Áll északra;; ;;;243070510;;;
08.11 - 20:03;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 20:06;6.04 km északra;Áll északra;; ;;;243070510;;;
08.11 - 20:06;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 20:09;6.03 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 20:09;6.03 km északra;Áll északra;; ;;;243070510;;;
08.11 - 20:28;6.03 km északra;Áll északra;; ;;;243070510;;;
08.11 - 20:28;6.03 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 20:29;6.03 km északra;Áll északra;; ;;;243070510;;;
08.11 - 20:29;6.03 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 20:32;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 20:32;6.04 km északra;Áll északra;; ;;;243070510;;;
08.11 - 20:41;6.04 km északra;Áll északra;; ;;;243070510;;;
08.11 - 20:41;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 20:46;6.03 km északra;Áll északra;; ;;;243070510;;;
08.11 - 20:46;6.03 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 21:05;6.03 km északra;Áll északra;; ;;;243070510;;;
08.11 - 21:05;6.03 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 21:36;6.03 km északra;Áll északra;; ;;;243070510;;;
08.11 - 21:36;6.03 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 21:58;6.03 km északra;Áll északra;; ;;;243070510;;;
08.11 - 21:58;6.03 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 22:17;6.03 km északra;Áll északra;; ;;;243070510;;;
08.11 - 22:17;6.03 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 22:24;6.03 km északra;Áll északra;; ;;;243070510;;;
08.11 - 22:24;6.03 km északra;Áll északra;;;;None;243070510;;None;None
08.11 - 22:31;6.03 km északra;Áll északra;; ;;;243070510;;;
08.11 - 22:31;6.03 km északra;Áll északra;;;;None;243070510;;None;None
08.14 - 07:53;6.04 km északra;Áll északra;; ;;;243070510;;;
08.14 - 07:53;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.18 - 21:41;6.04 km északra;Áll északra;; ;;;243070510;;;
08.18 - 21:41;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.19 - 19:04;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.19 - 19:04;6.04 km északra;Áll északra;; ;;;243070510;;;
08.19 - 19:22;6.04 km északra;Áll északra;; ;;;243070510;;;
08.19 - 19:22;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.19 - 19:34;6.04 km északra;Áll északra;; ;;;243070510;;;
08.19 - 19:34;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.19 - 19:35;6.04 km északra;Áll északra;; ;;;243070510;;;
08.19 - 19:35;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.19 - 19:54;6.04 km északra;Áll északra;; ;;;243070510;;;
08.19 - 19:54;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.20 - 04:39;6.04 km északra;Áll északra;; ;;;243070510;;;
08.20 - 04:39;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.20 - 04:54;6.04 km északra;Áll északra;; ;;;243070510;;;
08.20 - 04:54;6.04 km északra;Áll északra;;;;None;243070510;;None;None
08.20 - 05:02;6.04 km északra;Áll északra;; ;;;243070510;;;
08.20 - 05:02;6.04 km északra;Áll északra;;;;None;243070510;;None;None
