Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.09 - 08:56;1.48 km északra;Áll északra;; ;;;243070522;;;
08.09 - 09:22;1.48 km északra;Áll északra;; ;;;243070522;;;
08.09 - 09:22;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 17:31;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 17:31;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 17:32;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 17:32;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 17:54;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 17:54;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 18:01;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 18:01;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 18:04;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 18:04;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 18:28;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 18:28;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 18:33;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 18:33;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 18:52;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 18:52;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 19:04;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 19:04;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 19:15;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 19:15;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 19:19;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 19:19;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 19:36;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 19:36;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 19:39;1.48 km északra;Áll északra;; ;;;243070522;;;
08.11 - 19:39;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 19:47;1.48 km északra;Áll északra;;;;None;243070522;;None;None
08.11 - 19:47;1.48 km északra;Áll északra;; ;;;243070522;;;
