Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:31;0.45 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 08:31;0.45 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 08:32;0.44 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 08:32;0.44 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 08:41;0.45 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 08:41;0.45 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 08:56;0.45 km északra;Áll északra;; ;;;243042502;;;
08.09 - 08:56;0.45 km északra;Áll északra;;;;None;243042502;;None;None
08.09 - 09:03;0.44 km északra;Áll északra;; ;;;243042502;;;
08.09 - 09:03;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.09 - 09:03;0.45 km északra;Áll északra;; ;;;243042502;;;
08.09 - 09:03;0.45 km északra;Áll északra;;;;None;243042502;;None;None
08.09 - 09:06;0.44 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:06;0.44 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 09:22;0.45 km északra;Áll északra;; ;;;243042502;;;
08.09 - 09:22;0.45 km északra;Áll északra;;;;None;243042502;;None;None
08.09 - 09:30;0.44 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 09:30;0.44 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:36;0.45 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 09:36;0.45 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:36;0.44 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 09:36;0.44 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:38;0.45 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:38;0.45 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 09:48;0.44 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:48;0.44 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 09:51;0.45 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:51;0.45 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 09:51;0.44 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 09:51;0.44 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:52;0.45 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:52;0.45 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 09:53;0.44 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:53;0.44 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 09:54;0.45 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:54;0.45 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 09:57;0.44 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:57;0.44 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 09:59;0.45 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 09:59;0.45 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.09 - 10:00;0.44 km északra;Áll északra;; 00.00 00:00;HGD2502;;243042502;69;25;8
08.09 - 10:00;0.44 km északra;Áll északra;;00.00 00:00;HGD2502;None;243042502;69;25;8
08.11 - 17:32;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 17:32;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 17:32;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 17:32;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 17:53;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 17:53;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 17:59;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 17:59;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 18:02;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 18:02;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 18:06;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 18:06;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 18:32;0.46 km északra;észak felé halad;3.0 csomó;;;None;243042502;;None;None
08.11 - 18:32;0.46 km északra;észak felé halad;3.0 csomó; ;;;243042502;;;
08.11 - 18:32;0.48 km északra;észak felé halad;3.4 csomó; ;;;243042502;;;
08.11 - 18:32;0.48 km északra;észak felé halad;3.4 csomó;;;None;243042502;;None;None
08.11 - 18:32;0.49 km északra;észak felé halad;3.6 csomó; ;;;243042502;;;
08.11 - 18:32;0.49 km északra;észak felé halad;3.6 csomó;;;None;243042502;;None;None
08.11 - 18:32;0.51 km északra;észak felé halad;3.4 csomó;;;None;243042502;;None;None
08.11 - 18:32;0.51 km északra;észak felé halad;3.4 csomó; ;;;243042502;;;
08.11 - 18:33;0.53 km északra;észak felé halad;3.4 csomó;;;None;243042502;;None;None
08.11 - 18:33;0.53 km északra;észak felé halad;3.4 csomó; ;;;243042502;;;
08.11 - 18:33;0.54 km északra;észak felé halad;3.3 csomó; ;;;243042502;;;
08.11 - 18:33;0.54 km északra;észak felé halad;3.3 csomó;;;None;243042502;;None;None
08.11 - 18:33;0.62 km északra;észak felé halad;3.6 csomó; ;;;243042502;;;
08.11 - 18:33;0.62 km északra;észak felé halad;3.6 csomó;;;None;243042502;;None;None
08.11 - 18:34;0.65 km északra;észak felé halad;3.5 csomó;;;None;243042502;;None;None
08.11 - 18:34;0.65 km északra;észak felé halad;3.5 csomó; ;;;243042502;;;
08.11 - 18:34;0.67 km északra;észak felé halad;3.4 csomó;;;None;243042502;;None;None
08.11 - 18:34;0.67 km északra;észak felé halad;3.4 csomó; ;;;243042502;;;
08.11 - 18:34;0.69 km északra;észak felé halad;3.5 csomó;;;None;243042502;;None;None
08.11 - 18:34;0.69 km északra;észak felé halad;3.5 csomó; ;;;243042502;;;
08.11 - 18:34;0.7 km északra;észak felé halad;3.3 csomó;;;None;243042502;;None;None
08.11 - 18:34;0.7 km északra;észak felé halad;3.3 csomó; ;;;243042502;;;
08.11 - 18:34;0.72 km északra;észak felé halad;2.2 csomó;;;None;243042502;;None;None
08.11 - 18:34;0.72 km északra;észak felé halad;2.2 csomó; ;;;243042502;;;
08.11 - 18:35;0.72 km északra;dél felé halad;3.4 csomó;;;None;243042502;;None;None
08.11 - 18:35;0.72 km északra;dél felé halad;3.4 csomó; ;;;243042502;;;
08.11 - 18:35;0.7 km északra;dél felé halad;4.7 csomó;;;None;243042502;;None;None
08.11 - 18:35;0.7 km északra;dél felé halad;4.7 csomó; ;;;243042502;;;
08.11 - 18:35;0.67 km északra;dél felé halad;5.6 csomó;;;None;243042502;;None;None
08.11 - 18:35;0.67 km északra;dél felé halad;5.6 csomó; ;;;243042502;;;
08.11 - 18:36;0.6 km északra;dél felé halad;6.6 csomó;;;None;243042502;;None;None
08.11 - 18:36;0.6 km északra;dél felé halad;6.6 csomó; ;;;243042502;;;
08.11 - 18:36;0.43 km északra;dél felé halad;7.2 csomó;;;None;243042502;;None;None
08.11 - 18:36;0.43 km északra;dél felé halad;7.2 csomó; ;;;243042502;;;
08.11 - 18:38;0.19 km északra;dél felé halad;7.0 csomó; ;;;243042502;;;
08.11 - 18:38;0.19 km északra;dél felé halad;7.0 csomó;;;None;243042502;;None;None
08.11 - 18:39;0.19 km délre;dél felé halad;6.9 csomó;;;None;243042502;;None;None
08.11 - 18:39;0.19 km délre;dél felé halad;6.9 csomó; ;;;243042502;;;
08.11 - 18:39;0.31 km délre;dél felé halad;6.9 csomó;;;None;243042502;;None;None
08.11 - 18:39;0.31 km délre;dél felé halad;6.9 csomó; ;;;243042502;;;
08.11 - 18:40;0.41 km délre;dél felé halad;6.8 csomó;;;None;243042502;;None;None
08.11 - 18:40;0.41 km délre;dél felé halad;6.8 csomó; ;;;243042502;;;
08.11 - 18:41;0.7 km délre;dél felé halad;7.3 csomó;;;None;243042502;;None;None
08.11 - 18:41;0.7 km délre;dél felé halad;7.3 csomó; ;;;243042502;;;
08.11 - 19:20;0.74 km délre;észak felé halad;4.4 csomó;;;None;243042502;;None;None
08.11 - 19:20;0.74 km délre;észak felé halad;4.4 csomó; ;;;243042502;;;
08.11 - 19:20;0.72 km délre;észak felé halad;4.4 csomó;;;None;243042502;;None;None
08.11 - 19:20;0.72 km délre;észak felé halad;4.4 csomó; ;;;243042502;;;
08.11 - 19:21;0.63 km délre;észak felé halad;4.3 csomó;;;None;243042502;;None;None
08.11 - 19:21;0.63 km délre;észak felé halad;4.3 csomó; ;;;243042502;;;
08.11 - 19:24;0.19 km délre;észak felé halad;4.8 csomó;;;None;243042502;;None;None
08.11 - 19:24;0.19 km délre;észak felé halad;4.8 csomó; ;;;243042502;;;
08.11 - 19:25;0.14 km északra;észak felé halad;4.6 csomó; ;;;243042502;;;
08.11 - 19:25;0.14 km északra;észak felé halad;4.6 csomó;;;None;243042502;;None;None
08.11 - 19:27;0.27 km északra;észak felé halad;4.6 csomó; ;;;243042502;;;
08.11 - 19:27;0.27 km északra;észak felé halad;4.6 csomó;;;None;243042502;;None;None
08.11 - 19:27;0.33 km északra;észak felé halad;4.8 csomó; ;;;243042502;;;
08.11 - 19:27;0.33 km északra;észak felé halad;4.8 csomó;;;None;243042502;;None;None
08.11 - 19:27;0.38 km északra;észak felé halad;4.3 csomó; ;;;243042502;;;
08.11 - 19:27;0.38 km északra;észak felé halad;4.3 csomó;;;None;243042502;;None;None
08.11 - 19:28;0.41 km északra;észak felé halad;2.7 csomó; ;;;243042502;;;
08.11 - 19:28;0.41 km északra;észak felé halad;2.7 csomó;;;None;243042502;;None;None
08.11 - 19:28;0.42 km északra;észak felé halad;1.9 csomó;;;None;243042502;;None;None
08.11 - 19:28;0.42 km északra;észak felé halad;1.9 csomó; ;;;243042502;;;
08.11 - 19:28;0.43 km északra;észak felé halad;1.3 csomó; ;;;243042502;;;
08.11 - 19:28;0.43 km északra;észak felé halad;1.3 csomó;;;None;243042502;;None;None
08.11 - 19:28;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 19:28;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 19:38;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 19:38;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 19:41;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 19:41;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 19:43;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 19:43;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 19:45;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 19:45;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 19:47;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 19:47;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 20:01;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 20:01;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 20:03;0.52 km északra;észak felé halad;3.5 csomó;;;None;243042502;;None;None
08.11 - 20:03;0.52 km északra;észak felé halad;3.5 csomó; ;;;243042502;;;
08.11 - 20:06;0.73 km északra;dél felé halad;4.6 csomó; ;;;243042502;;;
08.11 - 20:06;0.73 km északra;dél felé halad;4.6 csomó;;;None;243042502;;None;None
08.11 - 20:09;0.2 km északra;dél felé halad;6.8 csomó; ;;;243042502;;;
08.11 - 20:09;0.2 km északra;dél felé halad;6.8 csomó;;;None;243042502;;None;None
08.11 - 20:09;0.18 km északra;dél felé halad;6.8 csomó;;;None;243042502;;None;None
08.11 - 20:09;0.18 km északra;dél felé halad;6.8 csomó; ;;;243042502;;;
08.11 - 20:10;0.18 km délre;dél felé halad;6.4 csomó;;;None;243042502;;None;None
08.11 - 20:10;0.18 km délre;dél felé halad;6.4 csomó; ;;;243042502;;;
08.11 - 20:10;0.24 km délre;dél felé halad;6.8 csomó;;;None;243042502;;None;None
08.11 - 20:10;0.24 km délre;dél felé halad;6.8 csomó; ;;;243042502;;;
08.11 - 20:11;0.46 km délre;dél felé halad;7.2 csomó;;;None;243042502;;None;None
08.11 - 20:11;0.46 km délre;dél felé halad;7.2 csomó; ;;;243042502;;;
08.11 - 20:12;0.67 km délre;dél felé halad;7.2 csomó; ;;;243042502;;;
08.11 - 20:12;0.67 km délre;dél felé halad;7.2 csomó;;;None;243042502;;None;None
08.11 - 20:13;0.71 km délre;dél felé halad;7.1 csomó;;;None;243042502;;None;None
08.11 - 20:13;0.71 km délre;dél felé halad;7.1 csomó; ;;;243042502;;;
08.11 - 20:16;1.42 km délre;dél felé halad;7.5 csomó; ;;;243042502;;;
08.11 - 20:16;1.42 km délre;dél felé halad;7.5 csomó;;;None;243042502;;None;None
08.11 - 21:05;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 21:05;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.11 - 21:36;0.39 km északra;dél felé halad;7.1 csomó; ;;;243042502;;;
08.11 - 21:36;0.39 km északra;dél felé halad;7.1 csomó;;;None;243042502;;None;None
08.11 - 21:37;0.26 km északra;dél felé halad;7.0 csomó; ;;;243042502;;;
08.11 - 21:37;0.26 km északra;dél felé halad;7.0 csomó;;;None;243042502;;None;None
08.11 - 21:37;0.17 km északra;dél felé halad;6.9 csomó; ;;;243042502;;;
08.11 - 21:37;0.17 km északra;dél felé halad;6.9 csomó;;;None;243042502;;None;None
08.11 - 21:38;0.16 km északra;dél felé halad;7.0 csomó; ;;;243042502;;;
08.11 - 21:38;0.16 km északra;dél felé halad;7.0 csomó;;;None;243042502;;None;None
08.11 - 21:38;0.22 km délre;dél felé halad;6.8 csomó; ;;;243042502;;;
08.11 - 21:38;0.22 km délre;dél felé halad;6.8 csomó;;;None;243042502;;None;None
08.11 - 21:39;0.41 km délre;dél felé halad;7.1 csomó; ;;;243042502;;;
08.11 - 21:39;0.41 km délre;dél felé halad;7.1 csomó;;;None;243042502;;None;None
08.11 - 21:40;0.44 km délre;dél felé halad;7.0 csomó; ;;;243042502;;;
08.11 - 21:40;0.44 km délre;dél felé halad;7.0 csomó;;;None;243042502;;None;None
08.11 - 21:41;0.73 km délre;dél felé halad;7.2 csomó; ;;;243042502;;;
08.11 - 21:41;0.73 km délre;dél felé halad;7.2 csomó;;;None;243042502;;None;None
08.11 - 21:41;0.81 km délre;dél felé halad;7.3 csomó; ;;;243042502;;;
08.11 - 21:41;0.81 km délre;dél felé halad;7.3 csomó;;;None;243042502;;None;None
08.11 - 22:20;0.55 km délre;észak felé halad;3.6 csomó; ;;;243042502;;;
08.11 - 22:20;0.55 km délre;észak felé halad;3.6 csomó;;;None;243042502;;None;None
08.11 - 22:34;0.44 km északra;Áll északra;; ;;;243042502;;;
08.11 - 22:34;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.12 - 18:08;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.12 - 18:08;0.44 km északra;Áll északra;; ;;;243042502;;;
08.12 - 18:15;0.44 km északra;Áll északra;; ;;;243042502;;;
08.12 - 18:15;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.12 - 18:32;0.45 km északra;dél felé halad;0.5 csomó; ;;;243042502;;;
08.12 - 18:32;0.45 km északra;dél felé halad;0.5 csomó;;;None;243042502;;None;None
08.12 - 18:32;0.45 km északra;észak felé halad;0.7 csomó; ;;;243042502;;;
08.12 - 18:32;0.45 km északra;észak felé halad;0.7 csomó;;;None;243042502;;None;None
08.12 - 18:32;0.46 km északra;észak felé halad;1.8 csomó; ;;;243042502;;;
08.12 - 18:32;0.46 km északra;észak felé halad;1.8 csomó;;;None;243042502;;None;None
08.12 - 18:32;0.47 km északra;észak felé halad;2.3 csomó; ;;;243042502;;;
08.12 - 18:32;0.47 km északra;észak felé halad;2.3 csomó;;;None;243042502;;None;None
08.12 - 18:32;0.48 km északra;észak felé halad;2.9 csomó; ;;;243042502;;;
08.12 - 18:32;0.48 km északra;észak felé halad;2.9 csomó;;;None;243042502;;None;None
08.12 - 18:33;0.51 km északra;észak felé halad;3.3 csomó; ;;;243042502;;;
08.12 - 18:33;0.51 km északra;észak felé halad;3.3 csomó;;;None;243042502;;None;None
08.12 - 18:33;0.53 km északra;észak felé halad;3.3 csomó;;;None;243042502;;None;None
08.12 - 18:33;0.53 km északra;észak felé halad;3.3 csomó; ;;;243042502;;;
08.12 - 18:33;0.58 km északra;észak felé halad;3.5 csomó; ;;;243042502;;;
08.12 - 18:33;0.58 km északra;észak felé halad;3.5 csomó;;;None;243042502;;None;None
08.12 - 18:34;0.64 km északra;észak felé halad;3.8 csomó; ;;;243042502;;;
08.12 - 18:34;0.64 km északra;észak felé halad;3.8 csomó;;;None;243042502;;None;None
08.12 - 18:34;0.66 km északra;észak felé halad;3.7 csomó; ;;;243042502;;;
08.12 - 18:34;0.66 km északra;észak felé halad;3.7 csomó;;;None;243042502;;None;None
08.12 - 18:35;0.74 km északra;észak felé halad;2.8 csomó; ;;;243042502;;;
08.12 - 18:35;0.74 km északra;észak felé halad;2.8 csomó;;;None;243042502;;None;None
08.12 - 18:35;0.73 km északra;dél felé halad;4.3 csomó; ;;;243042502;;;
08.12 - 18:35;0.73 km északra;dél felé halad;4.3 csomó;;;None;243042502;;None;None
08.12 - 18:36;0.65 km északra;dél felé halad;6.1 csomó; ;;;243042502;;;
08.12 - 18:36;0.65 km északra;dél felé halad;6.1 csomó;;;None;243042502;;None;None
08.12 - 18:36;0.61 km északra;dél felé halad;6.5 csomó; ;;;243042502;;;
08.12 - 18:36;0.61 km északra;dél felé halad;6.5 csomó;;;None;243042502;;None;None
08.12 - 18:36;0.58 km északra;dél felé halad;6.7 csomó; ;;;243042502;;;
08.12 - 18:36;0.58 km északra;dél felé halad;6.7 csomó;;;None;243042502;;None;None
08.12 - 18:38;0.29 km északra;dél felé halad;6.8 csomó; ;;;243042502;;;
08.12 - 18:38;0.29 km északra;dél felé halad;6.8 csomó;;;None;243042502;;None;None
08.14 - 07:32;0.44 km északra;Áll északra;; ;;;243042502;;;
08.14 - 07:32;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.14 - 07:32;0.44 km északra;Áll északra;; ;;;243042502;;;
08.14 - 07:32;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.14 - 07:46;0.44 km északra;Áll északra;; ;;;243042502;;;
08.14 - 07:46;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.14 - 07:54;0.44 km északra;Áll északra;; ;;;243042502;;;
08.14 - 07:54;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.14 - 08:04;0.44 km északra;Áll északra;; ;;;243042502;;;
08.14 - 08:04;0.44 km északra;Áll északra;;;;None;243042502;;None;None
08.18 - 20:45;0.66 km délre;észak felé halad;3.9 csomó; ;;;243042502;;;
08.18 - 20:45;0.66 km délre;észak felé halad;3.9 csomó;;;None;243042502;;None;None
08.18 - 20:45;0.64 km délre;észak felé halad;4.0 csomó; ;;;243042502;;;
08.18 - 20:45;0.64 km délre;észak felé halad;4.0 csomó;;;None;243042502;;None;None
08.18 - 20:48;0.39 km délre;észak felé halad;4.1 csomó; ;;;243042502;;;
08.18 - 20:48;0.39 km délre;észak felé halad;4.1 csomó;;;None;243042502;;None;None
08.18 - 20:53;0.28 km északra;észak felé halad;2.9 csomó; ;;;243042502;;;
08.18 - 20:53;0.28 km északra;észak felé halad;2.9 csomó;;;None;243042502;;None;None
08.18 - 20:53;0.29 km északra;észak felé halad;2.9 csomó; ;;;243042502;;;
08.18 - 20:53;0.29 km északra;észak felé halad;2.9 csomó;;;None;243042502;;None;None
08.18 - 20:54;0.33 km északra;észak felé halad;3.0 csomó; ;;;243042502;;;
08.18 - 20:54;0.33 km északra;észak felé halad;3.0 csomó;;;None;243042502;;None;None
08.18 - 20:54;0.38 km északra;észak felé halad;2.1 csomó; ;;;243042502;;;
08.18 - 20:54;0.38 km északra;észak felé halad;2.1 csomó;;;None;243042502;;None;None
08.18 - 20:54;0.39 km északra;észak felé halad;1.8 csomó; ;;;243042502;;;
08.18 - 20:54;0.39 km északra;észak felé halad;1.8 csomó;;;None;243042502;;None;None
08.18 - 20:55;0.42 km északra;észak felé halad;1.3 csomó; 00.00 00:00;HGD2502;;243042502;69;25;8
08.18 - 20:55;0.42 km északra;észak felé halad;1.3 csomó;00.00 00:00;HGD2502;None;243042502;69;25;8
