Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.18 - 21:40;1.82 km északra;észak felé halad;3.7 csomó;BUDAPEST 02.26 23:00;HGD2629;0.2;243042629;69;25;6
08.18 - 21:40;1.82 km északra;észak felé halad;3.7 csomó;BUDAPEST 02.26 23:00;HGD2629;0.2;243042629;69;25;6
08.18 - 21:40;1.88 km északra;észak felé halad;3.7 csomó;BUDAPEST 02.26 23:00;HGD2629;0.2;243042629;69;25;6
08.18 - 21:40;1.88 km északra;észak felé halad;3.7 csomó;BUDAPEST 02.26 23:00;HGD2629;0.2;243042629;69;25;6
08.18 - 21:41;1.97 km északra;észak felé halad;2.9 csomó;BUDAPEST 02.26 23:00;HGD2629;0.2;243042629;69;25;6
08.18 - 21:41;1.97 km északra;észak felé halad;2.9 csomó;BUDAPEST 02.26 23:00;HGD2629;0.2;243042629;69;25;6
08.18 - 21:41;2.01 km északra;észak felé halad;2.5 csomó;BUDAPEST 02.26 23:00;HGD2629;0.2;243042629;69;25;6
08.18 - 21:41;2.01 km északra;észak felé halad;2.5 csomó;BUDAPEST 02.26 23:00;HGD2629;0.2;243042629;69;25;6
08.18 - 21:43;2.09 km északra;észak felé halad;0.7 csomó;BUDAPEST 02.26 23:00;HGD2629;0.2;243042629;69;25;6
08.18 - 21:43;2.09 km északra;észak felé halad;0.7 csomó;BUDAPEST 02.26 23:00;HGD2629;0.2;243042629;69;25;6
08.19 - 19:37;0.33 km északra;észak felé halad;3.8 csomó; ;;;243042629;;;
08.19 - 19:37;0.33 km északra;észak felé halad;3.8 csomó;;;None;243042629;;None;None
08.19 - 19:38;0.35 km északra;észak felé halad;2.3 csomó; ;;;243042629;;;
08.19 - 19:38;0.35 km északra;észak felé halad;2.3 csomó;;;None;243042629;;None;None
08.19 - 19:54;0.39 km északra;Áll északra;; ;;;243042629;;;
08.19 - 19:54;0.39 km északra;Áll északra;;;;None;243042629;;None;None
08.19 - 20:04;0.76 km északra;észak felé halad;5.3 csomó; ;;;243042629;;;
08.19 - 20:04;0.76 km északra;észak felé halad;5.3 csomó;;;None;243042629;;None;None
08.19 - 20:05;0.81 km északra;észak felé halad;5.1 csomó; ;;;243042629;;;
08.19 - 20:05;0.81 km északra;észak felé halad;5.1 csomó;;;None;243042629;;None;None
08.19 - 20:05;0.86 km északra;észak felé halad;4.9 csomó; ;;;243042629;;;
08.19 - 20:05;0.86 km északra;észak felé halad;4.9 csomó;;;None;243042629;;None;None
08.19 - 20:08;1.38 km északra;észak felé halad;4.8 csomó; ;;;243042629;;;
08.19 - 20:08;1.38 km északra;észak felé halad;4.8 csomó;;;None;243042629;;None;None
08.19 - 20:08;1.4 km északra;észak felé halad;4.8 csomó; ;;;243042629;;;
08.19 - 20:08;1.4 km északra;észak felé halad;4.8 csomó;;;None;243042629;;None;None
08.19 - 20:09;1.47 km északra;észak felé halad;4.9 csomó; ;;;243042629;;;
08.19 - 20:09;1.47 km északra;észak felé halad;4.9 csomó;;;None;243042629;;None;None
08.19 - 20:09;1.53 km északra;észak felé halad;5.0 csomó; ;;;243042629;;;
08.19 - 20:09;1.53 km északra;észak felé halad;5.0 csomó;;;None;243042629;;None;None
08.19 - 20:10;1.58 km északra;észak felé halad;5.1 csomó; ;;;243042629;;;
08.19 - 20:10;1.58 km északra;észak felé halad;5.1 csomó;;;None;243042629;;None;None
08.19 - 20:10;1.61 km északra;észak felé halad;5.2 csomó; ;;;243042629;;;
08.19 - 20:10;1.61 km északra;észak felé halad;5.2 csomó;;;None;243042629;;None;None
08.19 - 20:10;1.71 km északra;észak felé halad;5.2 csomó; ;;;243042629;;;
08.19 - 20:10;1.71 km északra;észak felé halad;5.2 csomó;;;None;243042629;;None;None
08.19 - 20:11;1.87 km északra;észak felé halad;4.9 csomó; ;;;243042629;;;
08.19 - 20:11;1.87 km északra;észak felé halad;4.9 csomó;;;None;243042629;;None;None
08.19 - 20:12;1.92 km északra;észak felé halad;4.4 csomó; ;;;243042629;;;
08.19 - 20:12;1.92 km északra;észak felé halad;4.4 csomó;;;None;243042629;;None;None
08.19 - 20:12;1.94 km északra;észak felé halad;4.2 csomó; ;;;243042629;;;
08.19 - 20:12;1.94 km északra;észak felé halad;4.2 csomó;;;None;243042629;;None;None
08.19 - 20:12;1.96 km északra;észak felé halad;4.0 csomó; ;;;243042629;;;
08.19 - 20:12;1.96 km északra;észak felé halad;4.0 csomó;;;None;243042629;;None;None
08.20 - 04:39;2.09 km északra;Áll északra;; ;;;243042629;;;
08.20 - 04:39;2.09 km északra;Áll északra;;;;None;243042629;;None;None
08.20 - 04:54;2.09 km északra;Áll északra;; ;;;243042629;;;
08.20 - 04:54;2.09 km északra;Áll északra;;;;None;243042629;;None;None
08.20 - 05:02;2.09 km északra;Áll északra;; ;;;243042629;;;
08.20 - 05:02;2.09 km északra;Áll északra;;;;None;243042629;;None;None
