Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 19:18;8.77 km északra;dél felé halad;9.2 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:19;8.63 km északra;dél felé halad;9.1 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:19;8.63 km északra;dél felé halad;9.1 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:20;8.27 km északra;dél felé halad;9.0 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:20;8.27 km északra;dél felé halad;9.0 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:20;8.22 km északra;dél felé halad;9.0 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:20;8.22 km északra;dél felé halad;9.0 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:21;8.12 km északra;dél felé halad;9.0 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:21;8.12 km északra;dél felé halad;9.0 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:21;8.08 km északra;dél felé halad;9.0 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:21;8.08 km északra;dél felé halad;9.0 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:21;7.99 km északra;dél felé halad;9.0 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:21;7.99 km északra;dél felé halad;9.0 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:21;7.94 km északra;dél felé halad;9.0 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:21;7.94 km északra;dél felé halad;9.0 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:22;7.76 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:22;7.76 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:22;7.71 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:22;7.71 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:22;7.67 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:22;7.67 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:23;7.63 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:23;7.63 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:23;7.54 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:23;7.54 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:24;7.23 km északra;dél felé halad;8.8 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:24;7.23 km északra;dél felé halad;8.8 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:24;7.14 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:24;7.14 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:25;7.09 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:25;7.09 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:25;7.0 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:25;7.0 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:25;6.95 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:25;6.95 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:25;6.86 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:25;6.86 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:26;6.82 km északra;dél felé halad;8.8 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:26;6.82 km északra;dél felé halad;8.8 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:26;6.73 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:26;6.73 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:26;6.68 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:26;6.68 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:26;6.63 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:26;6.63 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:27;6.5 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:27;6.5 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:27;6.46 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:27;6.46 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:27;6.41 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:27;6.41 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:27;6.36 km északra;dél felé halad;8.6 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:27;6.36 km északra;dél felé halad;8.6 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:27;6.32 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:27;6.32 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:28;6.28 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:28;6.28 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:28;6.23 km északra;dél felé halad;8.6 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:28;6.23 km északra;dél felé halad;8.6 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:28;6.19 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:28;6.19 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:28;6.15 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:28;6.15 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:28;6.1 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:28;6.1 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:28;6.05 km északra;dél felé halad;8.8 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:28;6.05 km északra;dél felé halad;8.8 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:29;6.01 km északra;dél felé halad;8.8 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:29;6.01 km északra;dél felé halad;8.8 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:29;5.92 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:29;5.92 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:29;5.87 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:29;5.87 km északra;dél felé halad;8.9 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:29;5.82 km északra;dél felé halad;8.8 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:29;5.82 km északra;dél felé halad;8.8 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
08.11 - 19:29;5.78 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;None;None
08.11 - 19:29;5.78 km északra;dél felé halad;8.7 csomó;BUDAPEST 07.22 12:00;;1.1;243042769;33;0;0
