Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.19 - 19:27;0.72 km délre;észak felé halad;5.9 csomó; ;;;243071714;;;
08.19 - 19:27;0.72 km délre;észak felé halad;5.9 csomó;;;None;243071714;;None;None
08.19 - 19:27;0.69 km délre;észak felé halad;5.9 csomó; ;;;243071714;;;
08.19 - 19:27;0.69 km délre;észak felé halad;5.9 csomó;;;None;243071714;;None;None
08.19 - 19:28;0.54 km délre;észak felé halad;5.9 csomó; ;;;243071714;;;
08.19 - 19:28;0.54 km délre;észak felé halad;5.9 csomó;;;None;243071714;;None;None
08.19 - 19:35;0.84 km északra;észak felé halad;5.8 csomó; ;;;243071714;;;
08.19 - 19:35;0.84 km északra;észak felé halad;5.8 csomó;;;None;243071714;;None;None
08.19 - 19:36;1.08 km északra;észak felé halad;5.1 csomó; ;;;243071714;;;
08.19 - 19:36;1.08 km északra;észak felé halad;5.1 csomó;;;None;243071714;;None;None
08.19 - 19:37;1.16 km északra;észak felé halad;5.0 csomó; ;;;243071714;;;
08.19 - 19:37;1.16 km északra;észak felé halad;5.0 csomó;;;None;243071714;;None;None
08.19 - 19:39;0.88 km északra;dél felé halad;6.9 csomó; ;;;243071714;;;
08.19 - 19:39;0.88 km északra;dél felé halad;6.9 csomó;;;None;243071714;;None;None
