Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.14 - 07:53;2.18 km északra;Áll északra;;BUDAPEST 07.06 00:00;DC8820;1.4;211694350;99;38;7
08.14 - 07:53;2.18 km északra;Áll északra;;BUDAPEST 07.06 00:00;DC8820;1.4;211694350;99;38;7
08.14 - 08:03;2.18 km északra;Áll északra;; ;;;211694350;;;
08.14 - 08:03;2.18 km északra;Áll északra;;;;None;211694350;;None;None
08.18 - 20:53;1.73 km északra;dél felé halad;6.5 csomó; ;;;211694350;;;
08.18 - 20:53;1.73 km északra;dél felé halad;6.5 csomó;;;None;211694350;;None;None
08.19 - 19:02;1.34 km északra;észak felé halad;5.1 csomó; ;;;211694350;;;
08.19 - 19:02;1.34 km északra;észak felé halad;5.1 csomó;;;None;211694350;;None;None
08.19 - 19:08;2.19 km északra;Áll északra;; ;;;211694350;;;
08.19 - 19:08;2.19 km északra;Áll északra;;;;None;211694350;;None;None
08.19 - 19:23;2.18 km északra;Áll északra;; ;;;211694350;;;
08.19 - 19:23;2.18 km északra;Áll északra;;;;None;211694350;;None;None
08.19 - 19:36;1.96 km északra;dél felé halad;6.5 csomó; ;;;211694350;;;
08.19 - 19:36;1.96 km északra;dél felé halad;6.5 csomó;;;None;211694350;;None;None
08.20 - 04:40;2.18 km északra;Áll északra;; ;;;211694350;;;
08.20 - 04:40;2.18 km északra;Áll északra;;;;None;211694350;;None;None
08.20 - 04:55;2.18 km északra;Áll északra;; ;;;211694350;;;
08.20 - 04:55;2.18 km északra;Áll északra;;;;None;211694350;;None;None
08.20 - 05:04;2.18 km északra;Áll északra;; ;;;211694350;;;
08.20 - 05:04;2.18 km északra;Áll északra;;;;None;211694350;;None;None
