Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;1.91 km északra;Áll északra;; ;;;243071601;;;
08.09 - 08:56;1.91 km északra;Áll északra;;;;None;243071601;;None;None
08.09 - 09:21;1.91 km északra;Áll északra;; ;;;243071601;;;
08.09 - 09:21;1.91 km északra;Áll északra;;;;None;243071601;;None;None
08.09 - 09:22;1.91 km északra;Áll északra;; ;;;243071601;;;
08.09 - 09:22;1.91 km északra;Áll északra;;;;None;243071601;;None;None
08.11 - 17:31;1.91 km északra;Áll északra;;;;None;243071601;;None;None
08.11 - 17:31;1.91 km északra;Áll északra;; ;;;243071601;;;
08.11 - 17:32;1.91 km északra;Áll északra;;;;None;243071601;;None;None
08.11 - 17:32;1.91 km északra;Áll északra;; ;;;243071601;;;
08.11 - 17:39;1.91 km északra;Áll északra;; ;;;243071601;;;
08.11 - 17:39;1.91 km északra;Áll északra;;;;None;243071601;;None;None
08.11 - 17:53;1.91 km északra;Áll északra;; ;;;243071601;;;
08.11 - 17:53;1.91 km északra;Áll északra;;;;None;243071601;;None;None
08.11 - 17:59;1.91 km északra;Áll északra;; ;;;243071601;;;
08.11 - 17:59;1.91 km északra;Áll északra;;;;None;243071601;;None;None
08.11 - 18:00;1.91 km északra;Áll északra;;;;None;243071601;;None;None
08.11 - 18:00;1.91 km északra;Áll északra;; ;;;243071601;;;
08.11 - 18:02;1.91 km északra;Áll északra;;;;None;243071601;;None;None
08.11 - 18:02;1.91 km északra;Áll északra;; ;;;243071601;;;
08.11 - 18:04;1.91 km északra;Áll északra;;;;None;243071601;;None;None
08.11 - 18:04;1.91 km északra;Áll északra;; ;;;243071601;;;
08.11 - 18:06;1.91 km északra;észak felé halad;0.8 csomó;;;None;243071601;;None;None
08.11 - 18:06;1.91 km északra;észak felé halad;0.8 csomó; ;;;243071601;;;
08.11 - 18:06;1.92 km északra;észak felé halad;1.9 csomó; ;;;243071601;;;
08.11 - 18:06;1.92 km északra;észak felé halad;1.9 csomó;;;None;243071601;;None;None
08.11 - 18:06;1.98 km északra;észak felé halad;2.4 csomó;;;None;243071601;;None;None
08.11 - 18:06;1.98 km északra;észak felé halad;2.4 csomó; ;;;243071601;;;
08.11 - 18:09;1.95 km északra;dél felé halad;1.2 csomó; ;;;243071601;;;
08.11 - 18:09;1.95 km északra;dél felé halad;1.2 csomó;;;None;243071601;;None;None
08.11 - 18:11;1.91 km északra;Áll északra;;BUDAPEST 08.11 23:00;HGPA;1.2;243071601;60;39;7
08.11 - 18:11;1.91 km északra;Áll északra;;BUDAPEST 08.11 23:00;HGPA;1.2;243071601;60;39;7
08.11 - 18:32;1.91 km északra;Áll északra;; ;;;243071601;;;
08.11 - 18:32;1.91 km északra;Áll északra;;;;None;243071601;;None;None
08.11 - 18:41;2.0 km északra;dél felé halad;5.8 csomó; ;;;243071601;;;
08.11 - 18:41;2.0 km északra;dél felé halad;5.8 csomó;;;None;243071601;;None;None
08.11 - 18:41;1.98 km északra;dél felé halad;7.1 csomó;;;None;243071601;;None;None
08.11 - 18:41;1.98 km északra;dél felé halad;7.1 csomó; ;;;243071601;;;
08.11 - 18:41;1.95 km északra;dél felé halad;7.9 csomó;;;None;243071601;;None;None
08.11 - 18:41;1.95 km északra;dél felé halad;7.9 csomó; ;;;243071601;;;
08.11 - 18:41;1.9 km északra;dél felé halad;8.9 csomó; ;;;243071601;;;
08.11 - 18:41;1.9 km északra;dél felé halad;8.9 csomó;;;None;243071601;;None;None
08.11 - 18:42;1.86 km északra;dél felé halad;9.9 csomó; ;;;243071601;;;
08.11 - 18:42;1.86 km északra;dél felé halad;9.9 csomó;;;None;243071601;;None;None
08.11 - 18:42;1.8 km északra;dél felé halad;10.3 csomó;;;None;243071601;;None;None
08.11 - 18:42;1.8 km északra;dél felé halad;10.3 csomó; ;;;243071601;;;
08.11 - 19:22;1.02 km északra;észak felé halad;5.0 csomó;;;None;243071601;;None;None
08.11 - 19:22;1.02 km északra;észak felé halad;5.0 csomó; ;;;243071601;;;
08.11 - 19:25;1.37 km északra;észak felé halad;4.8 csomó;;;None;243071601;;None;None
08.11 - 19:25;1.37 km északra;észak felé halad;4.8 csomó; ;;;243071601;;;
08.11 - 19:25;1.39 km északra;észak felé halad;4.7 csomó; ;;;243071601;;;
08.11 - 19:25;1.39 km északra;észak felé halad;4.7 csomó;;;None;243071601;;None;None
08.11 - 19:25;1.42 km északra;észak felé halad;3.7 csomó;;;None;243071601;;None;None
08.11 - 19:25;1.42 km északra;észak felé halad;3.7 csomó; ;;;243071601;;;
08.11 - 19:25;1.44 km északra;észak felé halad;4.9 csomó; ;;;243071601;;;
08.11 - 19:25;1.44 km északra;észak felé halad;4.9 csomó;;;None;243071601;;None;None
08.11 - 19:25;1.49 km északra;észak felé halad;4.9 csomó; ;;;243071601;;;
08.11 - 19:25;1.49 km északra;észak felé halad;4.9 csomó;;;None;243071601;;None;None
08.11 - 19:26;1.52 km északra;észak felé halad;4.9 csomó; ;;;243071601;;;
08.11 - 19:26;1.52 km északra;észak felé halad;4.9 csomó;;;None;243071601;;None;None
08.11 - 19:26;1.57 km északra;észak felé halad;4.6 csomó; ;;;243071601;;;
08.11 - 19:26;1.57 km északra;észak felé halad;4.6 csomó;;;None;243071601;;None;None
08.11 - 19:27;1.65 km északra;észak felé halad;3.7 csomó; ;;;243071601;;;
08.11 - 19:27;1.65 km északra;észak felé halad;3.7 csomó;;;None;243071601;;None;None
08.11 - 19:27;1.67 km északra;észak felé halad;3.6 csomó; ;;;243071601;;;
08.11 - 19:27;1.67 km északra;észak felé halad;3.6 csomó;;;None;243071601;;None;None
08.11 - 19:27;1.69 km északra;észak felé halad;3.5 csomó;;;None;243071601;;None;None
08.11 - 19:27;1.69 km északra;észak felé halad;3.5 csomó; ;;;243071601;;;
08.11 - 19:27;1.71 km északra;észak felé halad;3.5 csomó;;;None;243071601;;None;None
08.11 - 19:27;1.71 km északra;észak felé halad;3.5 csomó; ;;;243071601;;;
08.11 - 19:27;1.72 km északra;észak felé halad;3.3 csomó; ;;;243071601;;;
08.11 - 19:27;1.72 km északra;észak felé halad;3.3 csomó;;;None;243071601;;None;None
08.11 - 19:28;1.75 km északra;észak felé halad;2.8 csomó; ;;;243071601;;;
08.11 - 19:28;1.75 km északra;észak felé halad;2.8 csomó;;;None;243071601;;None;None
08.11 - 19:28;1.77 km északra;észak felé halad;2.5 csomó;;;None;243071601;;None;None
08.11 - 19:28;1.77 km északra;észak felé halad;2.5 csomó; ;;;243071601;;;
08.11 - 19:28;1.78 km északra;észak felé halad;2.2 csomó; ;;;243071601;;;
08.11 - 19:28;1.78 km északra;észak felé halad;2.2 csomó;;;None;243071601;;None;None
08.11 - 19:28;1.79 km északra;észak felé halad;1.9 csomó; ;;;243071601;;;
08.11 - 19:28;1.79 km északra;észak felé halad;1.9 csomó;;;None;243071601;;None;None
08.11 - 19:28;1.8 km északra;észak felé halad;1.5 csomó; ;;;243071601;;;
08.11 - 19:28;1.8 km északra;észak felé halad;1.5 csomó;;;None;243071601;;None;None
08.11 - 19:29;1.81 km északra;észak felé halad;1.1 csomó;;;None;243071601;;None;None
08.11 - 19:29;1.81 km északra;észak felé halad;1.1 csomó; ;;;243071601;;;
08.11 - 19:29;1.82 km északra;észak felé halad;0.5 csomó; ;;;243071601;;;
08.11 - 19:29;1.82 km északra;észak felé halad;0.5 csomó;;;None;243071601;;None;None
08.11 - 19:38;1.83 km északra;észak felé halad;1.9 csomó; ;;;243071601;;;
08.11 - 19:38;1.83 km északra;észak felé halad;1.9 csomó;;;None;243071601;;None;None
