Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.18 - 21:21;1.4 km északra;észak felé halad;5.0 csomó; ;;;243070123;;;
08.18 - 21:21;1.4 km északra;észak felé halad;5.0 csomó;;;None;243070123;;None;None
08.18 - 21:22;1.65 km északra;észak felé halad;5.6 csomó; ;;;243070123;;;
08.18 - 21:22;1.65 km északra;észak felé halad;5.6 csomó;;;None;243070123;;None;None
08.18 - 21:23;1.73 km északra;észak felé halad;5.7 csomó; ;;;243070123;;;
08.18 - 21:23;1.73 km északra;észak felé halad;5.7 csomó;;;None;243070123;;None;None
08.18 - 21:23;1.82 km északra;észak felé halad;5.4 csomó; ;;;243070123;;;
08.18 - 21:23;1.82 km északra;észak felé halad;5.4 csomó;;;None;243070123;;None;None
08.18 - 21:24;1.91 km északra;Áll északra;; ;;;243070123;;;
08.18 - 21:24;1.91 km északra;Áll északra;;;;None;243070123;;None;None
08.18 - 21:34;1.99 km északra;észak felé halad;3.4 csomó; ;;;243070123;;;
08.18 - 21:34;1.99 km északra;észak felé halad;3.4 csomó;;;None;243070123;;None;None
08.18 - 21:35;1.89 km északra;dél felé halad;8.1 csomó; ;;;243070123;;;
08.18 - 21:35;1.89 km északra;dél felé halad;8.1 csomó;;;None;243070123;;None;None
08.18 - 21:35;1.85 km északra;dél felé halad;8.3 csomó; ;;;243070123;;;
08.18 - 21:35;1.85 km északra;dél felé halad;8.3 csomó;;;None;243070123;;None;None
08.18 - 21:36;1.63 km északra;dél felé halad;8.5 csomó; ;;;243070123;;;
08.18 - 21:36;1.63 km északra;dél felé halad;8.5 csomó;;;None;243070123;;None;None
08.18 - 21:36;1.59 km északra;dél felé halad;8.4 csomó; ;;;243070123;;;
08.18 - 21:36;1.59 km északra;dél felé halad;8.4 csomó;;;None;243070123;;None;None
08.18 - 21:36;1.54 km északra;dél felé halad;8.3 csomó; ;;;243070123;;;
08.18 - 21:36;1.54 km északra;dél felé halad;8.3 csomó;;;None;243070123;;None;None
08.18 - 21:36;1.5 km északra;dél felé halad;8.4 csomó; ;;;243070123;;;
08.18 - 21:36;1.5 km északra;dél felé halad;8.4 csomó;;;None;243070123;;None;None
08.18 - 21:37;1.41 km északra;dél felé halad;9.1 csomó; ;;;243070123;;;
08.18 - 21:37;1.41 km északra;dél felé halad;9.1 csomó;;;None;243070123;;None;None
08.18 - 22:13;0.59 km délre;észak felé halad;6.1 csomó; ;;;243070123;;;
08.18 - 22:13;0.59 km délre;észak felé halad;6.1 csomó;;;None;243070123;;None;None
08.18 - 22:15;0.3 km délre;észak felé halad;5.4 csomó; ;;;243070123;;;
08.18 - 22:15;0.3 km délre;észak felé halad;5.4 csomó;;;None;243070123;;None;None
08.19 - 19:16;1.93 km északra;dél felé halad;8.0 csomó; ;;;243070123;;;
