Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 20:09;1.09 km északra;dél felé halad;6.8 csomó; ;;;243071419;;;
08.11 - 20:09;1.06 km északra;dél felé halad;7.2 csomó;;;None;243071419;;None;None
08.11 - 20:09;1.06 km északra;dél felé halad;7.2 csomó; ;;;243071419;;;
08.11 - 20:10;0.93 km északra;dél felé halad;8.1 csomó;;;None;243071419;;None;None
08.11 - 20:10;0.93 km északra;dél felé halad;8.1 csomó; ;;;243071419;;;
08.11 - 20:11;0.68 km északra;dél felé halad;8.5 csomó;;;None;243071419;;None;None
08.11 - 20:11;0.68 km északra;dél felé halad;8.5 csomó; ;;;243071419;;;
08.11 - 20:11;0.6 km északra;dél felé halad;8.5 csomó; ;;;243071419;;;
08.11 - 20:11;0.6 km északra;dél felé halad;8.5 csomó;;;None;243071419;;None;None
08.11 - 20:12;0.39 km északra;dél felé halad;8.4 csomó;;;None;243071419;;None;None
08.11 - 20:12;0.39 km északra;dél felé halad;8.4 csomó; ;;;243071419;;;
08.11 - 20:14;0.19 km délre;dél felé halad;8.1 csomó;;;None;243071419;;None;None
08.11 - 20:14;0.19 km délre;dél felé halad;8.1 csomó; ;;;243071419;;;
08.11 - 21:09;0.94 km délre;Áll délre;; ;;;243071419;;;
08.11 - 21:09;0.94 km délre;Áll délre;;;;None;243071419;;None;None
08.11 - 21:12;0.88 km délre;észak felé halad;5.4 csomó; ;;;243071419;;;
08.11 - 21:12;0.88 km délre;észak felé halad;5.4 csomó;;;None;243071419;;None;None
08.11 - 21:13;0.76 km délre;észak felé halad;5.8 csomó; ;;;243071419;;;
08.11 - 21:13;0.76 km délre;észak felé halad;5.8 csomó;;;None;243071419;;None;None
08.11 - 21:17;0.24 km északra;észak felé halad;5.7 csomó; ;;;243071419;;;
08.11 - 21:17;0.24 km északra;észak felé halad;5.7 csomó;;;None;243071419;;None;None
08.11 - 21:18;0.31 km északra;észak felé halad;5.8 csomó; ;;;243071419;;;
08.11 - 21:18;0.31 km északra;észak felé halad;5.8 csomó;;;None;243071419;;None;None
08.11 - 21:20;0.57 km északra;észak felé halad;6.1 csomó; ;;;243071419;;;
08.11 - 21:20;0.57 km északra;észak felé halad;6.1 csomó;;;None;243071419;;None;None
08.11 - 21:21;0.74 km északra;észak felé halad;6.5 csomó; ;;;243071419;;;
08.11 - 21:21;0.74 km északra;észak felé halad;6.5 csomó;;;None;243071419;;None;None
08.11 - 21:21;0.84 km északra;észak felé halad;7.0 csomó; ;;;243071419;;;
08.11 - 21:21;0.84 km északra;észak felé halad;7.0 csomó;;;None;243071419;;None;None
08.11 - 21:23;1.22 km északra;észak felé halad;4.9 csomó; ;;;243071419;;;
08.11 - 21:23;1.22 km északra;észak felé halad;4.9 csomó;;;None;243071419;;None;None
08.11 - 21:24;1.22 km északra;dél felé halad;5.7 csomó; ;;;243071419;;;
08.11 - 21:24;1.22 km északra;dél felé halad;5.7 csomó;;;None;243071419;;None;None
08.11 - 21:24;1.14 km északra;dél felé halad;6.8 csomó; ;;;243071419;;;
08.11 - 21:24;1.14 km északra;dél felé halad;6.8 csomó;;;None;243071419;;None;None
08.11 - 21:24;1.1 km északra;dél felé halad;7.6 csomó; ;;;243071419;;;
08.11 - 21:24;1.1 km északra;dél felé halad;7.6 csomó;;;None;243071419;;None;None
08.11 - 21:25;1.02 km északra;dél felé halad;8.3 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:25;1.02 km északra;dél felé halad;8.3 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:25;0.88 km északra;dél felé halad;8.7 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:25;0.88 km északra;dél felé halad;8.7 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:25;0.84 km északra;dél felé halad;8.8 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:25;0.84 km északra;dél felé halad;8.8 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:26;0.79 km északra;dél felé halad;8.8 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:26;0.79 km északra;dél felé halad;8.8 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:26;0.7 km északra;dél felé halad;8.9 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:26;0.7 km északra;dél felé halad;8.9 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:26;0.61 km északra;dél felé halad;8.9 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:26;0.61 km északra;dél felé halad;8.9 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:26;0.57 km északra;dél felé halad;8.9 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 21:26;0.57 km északra;dél felé halad;8.9 csomó;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.11 - 22:18;0.43 km északra;észak felé halad;7.0 csomó; ;;;243071419;;;
08.11 - 22:18;0.43 km északra;észak felé halad;7.0 csomó;;;None;243071419;;None;None
08.11 - 22:19;0.58 km északra;észak felé halad;6.7 csomó; ;;;243071419;;;
08.11 - 22:19;0.58 km északra;észak felé halad;6.7 csomó;;;None;243071419;;None;None
08.14 - 07:54;0.85 km északra;Áll északra;;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.14 - 07:54;0.85 km északra;Áll északra;;BUDAPEST 05.21 13:30;HGNS;1.1;243071419;60;39;7
08.14 - 08:04;0.85 km északra;Áll északra;; ;;;243071419;;;
08.14 - 08:04;0.85 km északra;Áll északra;;;;None;243071419;;None;None
08.18 - 20:42;0.98 km délre;Áll délre;;;;None;243071419;;None;None
08.18 - 20:42;0.98 km délre;Áll délre;; ;;;243071419;;;
08.18 - 21:07;0.49 km északra;észak felé halad;5.9 csomó; ;;;243071419;;;
08.18 - 21:07;0.49 km északra;észak felé halad;5.9 csomó;;;None;243071419;;None;None
08.18 - 21:08;0.61 km északra;észak felé halad;7.0 csomó; ;;;243071419;;;
08.18 - 21:08;0.61 km északra;észak felé halad;7.0 csomó;;;None;243071419;;None;None
08.18 - 21:08;0.65 km északra;észak felé halad;7.1 csomó; ;;;243071419;;;
08.18 - 21:08;0.65 km északra;észak felé halad;7.1 csomó;;;None;243071419;;None;None
08.18 - 21:10;0.8 km északra;Áll északra;; ;;;243071419;;;
08.18 - 21:10;0.8 km északra;Áll északra;;;;None;243071419;;None;None
08.19 - 20:11;0.8 km északra;Áll északra;; ;;;243071419;;;
08.19 - 20:11;0.8 km északra;Áll északra;;;;None;243071419;;None;None
08.19 - 20:11;0.86 km északra;észak felé halad;5.5 csomó; ;;;243071419;;;
08.19 - 20:11;0.86 km északra;észak felé halad;5.5 csomó;;;None;243071419;;None;None
08.19 - 20:12;0.77 km északra;dél felé halad;8.5 csomó; ;;;243071419;;;
08.19 - 20:12;0.77 km északra;dél felé halad;8.5 csomó;;;None;243071419;;None;None
08.19 - 20:13;0.49 km északra;dél felé halad;9.9 csomó; ;;;243071419;;;
08.19 - 20:13;0.49 km északra;dél felé halad;9.9 csomó;;;None;243071419;;None;None
08.20 - 04:39;0.92 km északra;Áll északra;; ;;;243071419;;;
08.20 - 04:39;0.92 km északra;Áll északra;;;;None;243071419;;None;None
08.20 - 04:54;0.92 km északra;Áll északra;; ;;;243071419;;;
08.20 - 04:54;0.92 km északra;Áll északra;;;;None;243071419;;None;None
08.20 - 05:02;0.92 km északra;Áll északra;; ;;;243071419;;;
08.20 - 05:02;0.92 km északra;Áll északra;;;;None;243071419;;None;None
