Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 18:01;0.37 km északra;észak felé halad;2.7 csomó;BUDAPEST 04.14 21:00;HGLU;1.0;243071221;69;25;7
08.11 - 18:01;0.37 km északra;észak felé halad;2.7 csomó;BUDAPEST 04.14 21:00;HGLU;1.0;243071221;69;25;7
08.11 - 18:02;0.38 km északra;észak felé halad;3.8 csomó;BUDAPEST 04.14 21:00;HGLU;1.0;243071221;69;25;7
08.11 - 18:02;0.38 km északra;észak felé halad;3.8 csomó;BUDAPEST 04.14 21:00;HGLU;1.0;243071221;69;25;7
08.11 - 18:03;0.41 km északra;észak felé halad;3.8 csomó;BUDAPEST 04.14 21:00;HGLU;1.0;243071221;69;25;7
08.11 - 18:03;0.41 km északra;észak felé halad;3.8 csomó;BUDAPEST 04.14 21:00;HGLU;1.0;243071221;69;25;7
08.11 - 18:05;0.67 km északra;észak felé halad;4.1 csomó; ;;;243071221;;;
08.11 - 18:05;0.67 km északra;észak felé halad;4.1 csomó;;;None;243071221;;None;None
08.11 - 18:07;0.84 km északra;észak felé halad;4.3 csomó; ;;;243071221;;;
08.11 - 18:07;0.84 km északra;észak felé halad;4.3 csomó;;;None;243071221;;None;None
08.11 - 18:07;0.94 km északra;észak felé halad;4.7 csomó; ;;;243071221;;;
08.11 - 18:07;0.94 km északra;észak felé halad;4.7 csomó;;;None;243071221;;None;None
08.11 - 18:08;1.06 km északra;észak felé halad;5.5 csomó;;;None;243071221;;None;None
08.11 - 18:08;1.06 km északra;észak felé halad;5.5 csomó; ;;;243071221;;;
08.11 - 18:08;1.12 km északra;észak felé halad;6.0 csomó; ;;;243071221;;;
08.11 - 18:08;1.12 km északra;észak felé halad;6.0 csomó;;;None;243071221;;None;None
08.11 - 18:09;1.14 km északra;észak felé halad;5.8 csomó; ;;;243071221;;;
08.11 - 18:09;1.14 km északra;észak felé halad;5.8 csomó;;;None;243071221;;None;None
08.11 - 18:10;1.17 km északra;dél felé halad;5.2 csomó; ;;;243071221;;;
08.11 - 18:10;1.17 km északra;dél felé halad;5.2 csomó;;;None;243071221;;None;None
08.11 - 18:10;1.14 km északra;dél felé halad;5.6 csomó; ;;;243071221;;;
08.11 - 18:10;1.14 km északra;dél felé halad;5.6 csomó;;;None;243071221;;None;None
08.11 - 18:10;1.09 km északra;dél felé halad;6.3 csomó; ;;;243071221;;;
08.11 - 18:10;1.09 km északra;dél felé halad;6.3 csomó;;;None;243071221;;None;None
08.11 - 18:10;1.05 km északra;dél felé halad;6.6 csomó; ;;;243071221;;;
08.11 - 18:10;1.05 km északra;dél felé halad;6.6 csomó;;;None;243071221;;None;None
08.11 - 18:11;0.91 km északra;dél felé halad;7.0 csomó; ;;;243071221;;;
08.11 - 18:11;0.91 km északra;dél felé halad;7.0 csomó;;;None;243071221;;None;None
08.11 - 18:11;0.8 km északra;dél felé halad;7.2 csomó; ;;;243071221;;;
08.11 - 18:11;0.8 km északra;dél felé halad;7.2 csomó;;;None;243071221;;None;None
08.11 - 18:12;0.73 km északra;dél felé halad;7.3 csomó;;;None;243071221;;None;None
08.11 - 18:12;0.73 km északra;dél felé halad;7.3 csomó; ;;;243071221;;;
08.11 - 18:12;0.69 km északra;dél felé halad;7.3 csomó; ;;;243071221;;;
08.11 - 18:12;0.69 km északra;dél felé halad;7.3 csomó;;;None;243071221;;None;None
08.11 - 18:12;0.65 km északra;dél felé halad;7.3 csomó; ;;;243071221;;;
08.11 - 18:12;0.65 km északra;dél felé halad;7.3 csomó;;;None;243071221;;None;None
08.11 - 18:12;0.58 km északra;dél felé halad;7.4 csomó;;;None;243071221;;None;None
08.11 - 18:12;0.58 km északra;dél felé halad;7.4 csomó; ;;;243071221;;;
08.11 - 18:13;0.54 km északra;dél felé halad;7.4 csomó; ;;;243071221;;;
08.11 - 18:13;0.54 km északra;dél felé halad;7.4 csomó;;;None;243071221;;None;None
08.11 - 18:13;0.5 km északra;dél felé halad;7.4 csomó;;;None;243071221;;None;None
08.11 - 18:13;0.5 km északra;dél felé halad;7.4 csomó; ;;;243071221;;;
08.11 - 18:13;0.47 km északra;dél felé halad;7.2 csomó;;;None;243071221;;None;None
08.11 - 18:13;0.47 km északra;dél felé halad;7.2 csomó; ;;;243071221;;;
08.11 - 18:13;0.43 km északra;dél felé halad;7.4 csomó;;;None;243071221;;None;None
08.11 - 18:13;0.43 km északra;dél felé halad;7.4 csomó; ;;;243071221;;;
08.11 - 18:14;0.33 km északra;dél felé halad;7.7 csomó;;;None;243071221;;None;None
08.11 - 18:14;0.33 km északra;dél felé halad;7.7 csomó; ;;;243071221;;;
