Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 09:20;1.87 km északra;Áll északra;; ;;;243070623;;;
08.09 - 09:20;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.09 - 09:22;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.09 - 09:22;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 18:09;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 18:09;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.11 - 19:21;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.11 - 19:21;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 19:41;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.11 - 19:41;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 19:42;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.11 - 19:42;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 19:46;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.11 - 19:46;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 20:03;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.11 - 20:03;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 20:11;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 20:11;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.11 - 20:28;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.11 - 20:28;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 20:34;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 20:34;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.11 - 20:46;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 20:46;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.11 - 21:05;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 21:05;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.11 - 21:36;1.87 km északra;Áll északra;; ;;;243070623;;;
08.11 - 21:36;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.14 - 07:53;1.87 km északra;Áll északra;; ;;;243070623;;;
08.14 - 07:53;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.14 - 08:04;1.87 km északra;Áll északra;; ;;;243070623;;;
08.14 - 08:04;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.18 - 16:11;1.87 km északra;Áll északra;; ;;;243070623;;;
08.18 - 16:11;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.18 - 21:01;1.87 km északra;Áll északra;; ;;;243070623;;;
08.18 - 21:01;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.18 - 21:32;1.87 km északra;Áll északra;; ;;;243070623;;;
08.18 - 21:32;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.18 - 22:18;1.87 km északra;Áll északra;; ;;;243070623;;;
08.18 - 22:18;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.19 - 19:01;1.87 km északra;Áll északra;; ;;;243070623;;;
08.19 - 19:01;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.19 - 19:23;1.87 km északra;Áll északra;; ;;;243070623;;;
08.19 - 19:23;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.19 - 19:36;1.87 km északra;Áll északra;; ;;;243070623;;;
08.19 - 19:36;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.19 - 19:54;1.87 km északra;Áll északra;; ;;;243070623;;;
08.19 - 19:54;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.20 - 04:39;1.87 km északra;Áll északra;; ;;;243070623;;;
08.20 - 04:39;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.20 - 04:54;1.87 km északra;Áll északra;; ;;;243070623;;;
08.20 - 04:54;1.87 km északra;Áll északra;;;;None;243070623;;None;None
08.20 - 05:02;1.87 km északra;Áll északra;; ;;;243070623;;;
08.20 - 05:02;1.87 km északra;Áll északra;;;;None;243070623;;None;None
