Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:34;1.49 km északra;Áll északra;; ;;;243070513;;;
08.09 - 08:34;1.49 km északra;Áll északra;;;;None;243070513;;None;None
08.11 - 17:31;1.48 km északra;Áll északra;; ;;;243070513;;;
08.11 - 17:31;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.11 - 18:13;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.11 - 18:13;1.48 km északra;Áll északra;; ;;;243070513;;;
08.11 - 18:37;1.48 km északra;Áll északra;;BUDAPEST HELYI SZOLG 00.00 00:00;HGEM;;243070513;69;31;6
08.11 - 18:37;1.48 km északra;Áll északra;;BUDAPEST HELYI SZOLG 00.00 00:00;HGEM;None;243070513;69;31;6
08.11 - 18:55;1.48 km északra;Áll északra;; ;;;243070513;;;
08.11 - 18:55;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.11 - 19:07;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.11 - 19:07;1.48 km északra;Áll északra;; ;;;243070513;;;
08.11 - 19:25;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.11 - 19:25;1.48 km északra;Áll északra;; ;;;243070513;;;
08.11 - 20:19;1.48 km északra;Áll északra;; ;;;243070513;;;
08.11 - 20:19;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.11 - 20:37;1.48 km északra;Áll északra;;BUDAPEST HELYI SZOLG 00.00 00:00;HGEM;None;243070513;69;31;6
08.11 - 20:37;1.48 km északra;Áll északra;;BUDAPEST HELYI SZOLG 00.00 00:00;HGEM;;243070513;69;31;6
08.11 - 21:07;1.48 km északra;Áll északra;; ;;;243070513;;;
08.11 - 21:07;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.11 - 21:37;1.48 km északra;Áll északra;; ;;;243070513;;;
08.11 - 21:37;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.11 - 22:01;1.49 km északra;Áll északra;; ;;;243070513;;;
08.11 - 22:01;1.49 km északra;Áll északra;;;;None;243070513;;None;None
08.11 - 22:31;1.49 km északra;Áll északra;; ;;;243070513;;;
08.11 - 22:31;1.49 km északra;Áll északra;;;;None;243070513;;None;None
08.12 - 18:13;1.48 km északra;Áll északra;; ;;;243070513;;;
08.12 - 18:13;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.14 - 07:55;1.48 km északra;Áll északra;; ;;;243070513;;;
08.14 - 07:55;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.18 - 20:46;1.48 km északra;Áll északra;; ;;;243070513;;;
08.18 - 20:46;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.18 - 20:52;1.48 km északra;Áll északra;; ;;;243070513;;;
08.18 - 20:52;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.18 - 21:40;1.48 km északra;Áll északra;; ;;;243070513;;;
08.18 - 21:40;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.18 - 22:16;1.48 km északra;Áll északra;; ;;;243070513;;;
08.18 - 22:16;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.19 - 19:07;1.48 km északra;Áll északra;; ;;;243070513;;;
08.19 - 19:07;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.19 - 19:25;1.48 km északra;Áll északra;; ;;;243070513;;;
08.19 - 19:25;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.19 - 19:37;1.48 km északra;Áll északra;; ;;;243070513;;;
08.19 - 19:37;1.48 km északra;Áll északra;;;;None;243070513;;None;None
08.19 - 19:55;1.48 km északra;Áll északra;;BUDAPEST HELYI SZOLG 00.00 00:00;HGEM;;243070513;69;31;6
08.19 - 19:55;1.48 km északra;Áll északra;;BUDAPEST HELYI SZOLG 00.00 00:00;HGEM;None;243070513;69;31;6
