Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:58;3.98 km északra;Áll északra;;BUDAPEST 07.12 20:00;HGD2845;1.1;243042845;69;36;6
08.09 - 08:58;3.98 km északra;Áll északra;;BUDAPEST 07.12 20:00;HGD2845;1.1;243042845;69;36;6
08.09 - 09:19;3.98 km északra;Áll északra;; ;;;243042845;;;
08.09 - 09:19;3.98 km északra;Áll északra;;;;None;243042845;;None;None
08.09 - 09:22;3.98 km északra;Áll északra;;;;None;243042845;;None;None
08.09 - 09:22;3.98 km északra;Áll északra;; ;;;243042845;;;
08.11 - 17:31;3.97 km északra;Áll északra;;;;None;243042845;;None;None
08.11 - 17:31;3.97 km északra;Áll északra;; ;;;243042845;;;
08.11 - 17:55;3.97 km északra;Áll északra;;;;None;243042845;;None;None
08.11 - 17:55;3.97 km északra;Áll északra;; ;;;243042845;;;
08.11 - 18:04;3.97 km északra;Áll északra;; ;;;243042845;;;
08.11 - 18:04;3.97 km északra;Áll északra;;;;None;243042845;;None;None
08.11 - 18:34;3.98 km északra;Áll északra;;BUDAPEST 07.12 20:00;HGD2845;1.1;243042845;69;36;6
08.11 - 18:34;3.98 km északra;Áll északra;;BUDAPEST 07.12 20:00;HGD2845;1.1;243042845;69;36;6
08.11 - 18:52;3.97 km északra;Áll északra;;BUDAPEST 07.12 20:00;HGD2845;1.1;243042845;69;36;6
08.11 - 18:52;3.97 km északra;Áll északra;;BUDAPEST 07.12 20:00;HGD2845;1.1;243042845;69;36;6
08.11 - 19:04;3.98 km északra;Áll északra;;;;None;243042845;;None;None
08.11 - 19:04;3.98 km északra;Áll északra;; ;;;243042845;;;
08.11 - 19:19;3.98 km északra;Áll északra;; ;;;243042845;;;
08.11 - 19:19;3.98 km északra;Áll északra;;;;None;243042845;;None;None
08.11 - 20:10;3.97 km északra;Áll északra;;BUDAPEST 07.12 20:00;HGD2845;1.1;243042845;69;36;6
08.11 - 20:10;3.97 km északra;Áll északra;;BUDAPEST 07.12 20:00;HGD2845;1.1;243042845;69;36;6
08.11 - 20:34;3.97 km északra;Áll északra;;BUDAPEST 07.12 20:00;HGD2845;1.1;243042845;69;36;6
08.11 - 20:34;3.97 km északra;Áll északra;;BUDAPEST 07.12 20:00;HGD2845;1.1;243042845;69;36;6
08.11 - 20:46;3.98 km északra;Áll északra;; ;;;243042845;;;
08.11 - 20:46;3.98 km északra;Áll északra;;;;None;243042845;;None;None
08.11 - 21:07;3.97 km északra;Áll északra;; ;;;243042845;;;
08.11 - 21:07;3.97 km északra;Áll északra;;;;None;243042845;;None;None
08.11 - 21:37;3.97 km északra;Áll északra;; ;;;243042845;;;
08.11 - 21:37;3.97 km északra;Áll északra;;;;None;243042845;;None;None
08.11 - 21:58;3.97 km északra;Áll északra;; ;;;243042845;;;
08.11 - 21:58;3.97 km északra;Áll északra;;;;None;243042845;;None;None
08.11 - 22:19;3.97 km északra;Áll északra;; ;;;243042845;;;
08.11 - 22:19;3.97 km északra;Áll északra;;;;None;243042845;;None;None
08.11 - 22:31;3.97 km északra;észak felé halad;0.5 csomó; ;;;243042845;;;
