Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 19:31;5.84 km északra;Áll északra;;;;None;272136200;;None;None
08.11 - 19:31;5.84 km északra;Áll északra;; ;;;272136200;;;
08.11 - 19:32;5.84 km északra;Áll északra;; ;;;272136200;;;
08.11 - 19:32;5.84 km északra;Áll északra;;;;None;272136200;;None;None
08.11 - 20:15;5.85 km északra;Áll északra;; ;;;272136200;;;
08.11 - 20:15;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.11 - 20:28;5.84 km északra;Áll északra;; ;;;272136200;;;
08.11 - 20:28;5.84 km északra;Áll északra;;;;None;272136200;;None;None
08.11 - 20:29;5.84 km északra;Áll északra;; ;;;272136200;;;
08.11 - 20:29;5.84 km északra;Áll északra;;;;None;272136200;;None;None
08.11 - 20:33;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.11 - 20:33;5.85 km északra;Áll északra;; ;;;272136200;;;
08.11 - 20:41;5.85 km északra;Áll északra;; ;;;272136200;;;
08.11 - 20:41;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.11 - 20:46;5.85 km északra;Áll északra;; ;;;272136200;;;
08.11 - 20:46;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.11 - 21:05;5.85 km északra;Áll északra;;KOMAROM 06.27 08:00;UUED;1.9;272136200;52;37;11
08.11 - 21:05;5.85 km északra;Áll északra;;KOMAROM 06.27 08:00;UUED;1.9;272136200;52;37;11
08.11 - 21:36;5.85 km északra;Áll északra;; ;;;272136200;;;
08.11 - 21:36;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.11 - 21:59;5.85 km északra;Áll északra;; ;;;272136200;;;
08.11 - 21:59;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.11 - 22:18;5.85 km északra;Áll északra;; ;;;272136200;;;
08.11 - 22:18;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.11 - 22:32;5.85 km északra;Áll északra;; ;;;272136200;;;
08.11 - 22:32;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.12 - 18:12;5.84 km északra;Áll északra;; ;;;272136200;;;
08.12 - 18:12;5.84 km északra;Áll északra;;;;None;272136200;;None;None
08.12 - 18:34;5.84 km északra;Áll északra;; ;;;272136200;;;
08.12 - 18:34;5.84 km északra;Áll északra;;;;None;272136200;;None;None
08.12 - 18:48;5.84 km északra;Áll északra;; ;;;272136200;;;
08.12 - 18:48;5.84 km északra;Áll északra;;;;None;272136200;;None;None
08.14 - 07:32;5.85 km északra;Áll északra;; ;;;272136200;;;
08.14 - 07:32;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.14 - 07:32;5.85 km északra;Áll északra;; ;;;272136200;;;
08.14 - 07:32;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.14 - 07:46;5.85 km északra;Áll északra;; ;;;272136200;;;
08.14 - 07:46;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.14 - 07:53;5.85 km északra;Áll északra;; ;;;272136200;;;
08.14 - 07:53;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.14 - 08:03;5.85 km északra;Áll északra;; ;;;272136200;;;
08.14 - 08:03;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.18 - 16:11;5.85 km északra;Áll északra;; ;;;272136200;;;
08.18 - 16:11;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.18 - 20:46;5.84 km északra;Áll északra;; ;;;272136200;;;
08.18 - 20:46;5.84 km északra;Áll északra;;;;None;272136200;;None;None
08.18 - 20:55;5.85 km északra;Áll északra;; ;;;272136200;;;
08.18 - 20:55;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.18 - 21:32;5.84 km északra;Áll északra;; ;;;272136200;;;
08.18 - 21:32;5.84 km északra;Áll északra;;;;None;272136200;;None;None
08.18 - 22:18;5.85 km északra;Áll északra;; ;;;272136200;;;
08.18 - 22:18;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.19 - 19:01;5.84 km északra;Áll északra;; ;;;272136200;;;
08.19 - 19:01;5.84 km északra;Áll északra;;;;None;272136200;;None;None
08.19 - 19:22;5.84 km északra;Áll északra;; ;;;272136200;;;
08.19 - 19:22;5.84 km északra;Áll északra;;;;None;272136200;;None;None
08.19 - 19:34;5.85 km északra;Áll északra;; ;;;272136200;;;
08.19 - 19:34;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.19 - 19:34;5.85 km északra;Áll északra;; ;;;272136200;;;
08.19 - 19:34;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.19 - 19:54;5.85 km északra;Áll északra;; ;;;272136200;;;
08.19 - 19:54;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.20 - 04:39;5.85 km északra;Áll északra;; ;;;272136200;;;
08.20 - 04:39;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.20 - 04:54;5.85 km északra;Áll északra;; ;;;272136200;;;
08.20 - 04:54;5.85 km északra;Áll északra;;;;None;272136200;;None;None
08.20 - 05:02;5.85 km északra;Áll északra;; ;;;272136200;;;
08.20 - 05:02;5.85 km északra;Áll északra;;;;None;272136200;;None;None
