Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 17:53;2.04 km északra;észak felé halad;2.1 csomó;;;None;243070424;;None;None
08.11 - 17:53;2.04 km északra;észak felé halad;2.1 csomó; ;;;243070424;;;
08.11 - 17:54;2.08 km északra;Áll északra;;;;None;243070424;;None;None
08.11 - 17:54;2.08 km északra;Áll északra;; ;;;243070424;;;
08.11 - 17:57;2.07 km északra;Áll északra;;;;None;243070424;;None;None
08.11 - 17:57;2.07 km északra;Áll északra;; ;;;243070424;;;
08.11 - 17:58;2.07 km északra;észak felé halad;0.6 csomó; ;;;243070424;;;
08.11 - 17:58;2.07 km északra;észak felé halad;0.6 csomó;;;None;243070424;;None;None
08.11 - 17:58;2.07 km északra;dél felé halad;0.7 csomó;;;None;243070424;;None;None
08.11 - 17:58;2.07 km északra;dél felé halad;0.7 csomó; ;;;243070424;;;
08.11 - 17:59;2.05 km északra;Áll északra;;;;None;243070424;;None;None
08.11 - 17:59;2.05 km északra;Áll északra;; ;;;243070424;;;
08.11 - 18:00;2.05 km északra;dél felé halad;0.6 csomó;;;None;243070424;;None;None
08.11 - 18:00;2.05 km északra;dél felé halad;0.6 csomó; ;;;243070424;;;
08.11 - 18:33;2.08 km északra;Áll északra;;;;None;243070424;;None;None
08.11 - 18:33;2.08 km északra;Áll északra;; ;;;243070424;;;
08.11 - 18:44;2.08 km északra;Áll északra;; ;;;243070424;;;
08.11 - 18:44;2.08 km északra;Áll északra;;;;None;243070424;;None;None
08.11 - 18:50;2.08 km északra;Áll északra;;;;None;243070424;;None;None
08.11 - 18:50;2.08 km északra;Áll északra;; ;;;243070424;;;
08.11 - 19:04;2.08 km északra;Áll északra;; ;;;243070424;;;
08.11 - 19:04;2.08 km északra;Áll északra;;;;None;243070424;;None;None
08.11 - 19:15;2.08 km északra;Áll északra;;;;None;243070424;;None;None
08.11 - 19:15;2.08 km északra;Áll északra;; ;;;243070424;;;
08.11 - 19:17;2.13 km északra;észak felé halad;3.8 csomó;;;None;243070424;;None;None
08.11 - 19:17;2.13 km északra;észak felé halad;3.8 csomó; ;;;243070424;;;
