Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 21:20;0.75 km északra;dél felé halad;7.9 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:20;0.75 km északra;dél felé halad;7.9 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:20;0.67 km északra;dél felé halad;8.0 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:20;0.67 km északra;dél felé halad;8.0 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:21;0.63 km északra;dél felé halad;8.1 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:21;0.63 km északra;dél felé halad;8.1 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:21;0.43 km északra;dél felé halad;8.0 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:21;0.43 km északra;dél felé halad;8.0 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:22;0.36 km északra;dél felé halad;8.0 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:22;0.36 km északra;dél felé halad;8.0 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:22;0.29 km északra;dél felé halad;8.0 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:22;0.29 km északra;dél felé halad;8.0 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:25;0.53 km délre;dél felé halad;8.1 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:25;0.53 km délre;dél felé halad;8.1 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:25;0.57 km délre;dél felé halad;8.1 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:25;0.57 km délre;dél felé halad;8.1 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:25;0.65 km délre;dél felé halad;8.1 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
08.11 - 21:25;0.65 km délre;dél felé halad;8.1 csomó;BUDAPEST 02.21 22:00;HGD2991;0.8;243042991;69;50;11
