Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.09 - 08:56;2.83 km északra;Áll északra;; ;;;243071705;;;
08.09 - 09:22;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.09 - 09:22;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 17:30;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 17:30;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 17:32;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 17:32;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 17:39;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 17:39;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 17:53;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 17:53;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 17:59;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 17:59;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 18:00;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 18:00;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 18:02;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 18:02;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 18:04;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 18:04;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 18:28;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 18:28;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 18:29;2.83 km északra;Áll északra;;00.00 00:00;HGQE;None;243071705;99;27;6
08.11 - 18:29;2.83 km északra;Áll északra;; 00.00 00:00;HGQE;;243071705;99;27;6
08.11 - 18:32;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 18:32;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 18:44;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 18:44;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 18:45;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 18:45;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 18:46;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 18:46;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 18:50;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 18:50;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 18:52;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 18:52;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 19:02;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 19:02;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 19:04;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 19:04;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 19:15;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 19:15;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 19:15;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 19:15;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 19:17;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 19:17;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 19:31;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 19:31;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 19:32;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 19:32;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 19:36;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 19:36;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 19:38;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 19:38;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 19:39;2.83 km északra;Áll északra;;;;None;243071705;;None;None
08.11 - 19:39;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 19:41;2.83 km északra;Áll északra;; ;;;243071705;;;
08.11 - 19:41;2.83 km északra;Áll északra;;;;None;243071705;;None;None
