Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;0.37 km északra;Áll északra;; ;;;243071712;;;
08.09 - 08:56;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.09 - 09:20;0.37 km északra;Áll északra;; ;;;243071712;;;
08.09 - 09:20;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.09 - 09:22;0.37 km északra;Áll északra;; ;;;243071712;;;
08.09 - 09:22;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 17:31;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 17:31;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 17:32;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 17:32;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 17:39;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 17:39;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 17:53;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 17:53;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 17:59;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 17:59;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 18:00;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 18:00;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 18:02;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 18:02;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 18:05;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 18:05;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 18:32;0.33 km északra;Áll északra;; ;;;243071712;;;
08.11 - 18:32;0.33 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 18:34;0.34 km északra;dél felé halad;0.5 csomó; ;;;243071712;;;
08.11 - 18:34;0.34 km északra;dél felé halad;0.5 csomó;;;None;243071712;;None;None
08.11 - 18:35;0.36 km északra;Áll északra;; ;;;243071712;;;
08.11 - 18:35;0.36 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 18:44;0.36 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 18:44;0.36 km északra;Áll északra;; ;;;243071712;;;
08.11 - 18:45;0.36 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 18:45;0.36 km északra;Áll északra;; ;;;243071712;;;
08.11 - 18:46;0.36 km északra;Áll északra;; ;;;243071712;;;
08.11 - 18:46;0.36 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 18:50;0.36 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 18:50;0.36 km északra;Áll északra;; ;;;243071712;;;
08.11 - 18:52;0.36 km északra;Áll északra;; ;;;243071712;;;
08.11 - 18:52;0.36 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 19:05;0.36 km északra;Áll északra;; ;;;243071712;;;
08.11 - 19:05;0.36 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 19:09;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 19:09;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 19:21;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 19:21;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 19:31;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 19:31;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 19:38;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 19:38;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 19:43;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 19:43;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 19:44;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 19:44;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 19:48;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 19:48;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 19:50;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 19:50;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 20:01;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 20:01;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 20:03;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 20:03;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 20:06;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 20:06;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 20:09;0.37 km északra;Áll északra;; ;;;243071712;;;
08.11 - 20:09;0.37 km északra;Áll északra;;;;None;243071712;;None;None
08.11 - 20:15;0.37 km északra;észak felé halad;3.4 csomó; ;;;243071712;;;
08.11 - 20:15;0.37 km északra;észak felé halad;3.4 csomó;;;None;243071712;;None;None
08.11 - 20:15;0.37 km északra;észak felé halad;3.1 csomó;;;None;243071712;;None;None
08.11 - 20:15;0.37 km északra;észak felé halad;3.1 csomó; ;;;243071712;;;
08.11 - 20:16;0.4 km északra;észak felé halad;2.4 csomó;;;None;243071712;;None;None
08.11 - 20:16;0.4 km északra;észak felé halad;2.4 csomó; ;;;243071712;;;
08.11 - 20:17;0.4 km északra;észak felé halad;2.4 csomó; ;;;243071712;;;
08.11 - 20:17;0.4 km északra;észak felé halad;2.4 csomó;;;None;243071712;;None;None
08.11 - 20:18;0.46 km északra;észak felé halad;2.3 csomó;;;None;243071712;;None;None
08.11 - 20:18;0.46 km északra;észak felé halad;2.3 csomó; ;;;243071712;;;
08.11 - 20:18;0.48 km északra;észak felé halad;2.3 csomó;;;None;243071712;;None;None
08.11 - 20:18;0.48 km északra;észak felé halad;2.3 csomó; ;;;243071712;;;
08.11 - 20:18;0.48 km északra;észak felé halad;2.3 csomó;;;None;243071712;;None;None
08.11 - 20:18;0.48 km északra;észak felé halad;2.3 csomó; ;;;243071712;;;
08.11 - 20:19;0.54 km északra;észak felé halad;2.3 csomó;;;None;243071712;;None;None
08.11 - 20:19;0.54 km északra;észak felé halad;2.3 csomó; ;;;243071712;;;
08.11 - 20:20;0.56 km északra;észak felé halad;2.2 csomó;;;None;243071712;;None;None
08.11 - 20:20;0.56 km északra;észak felé halad;2.2 csomó; ;;;243071712;;;
08.11 - 20:20;0.59 km északra;észak felé halad;2.9 csomó;;;None;243071712;;None;None
08.11 - 20:20;0.59 km északra;észak felé halad;2.9 csomó; ;;;243071712;;;
08.11 - 20:20;0.6 km északra;észak felé halad;3.3 csomó;;;None;243071712;;None;None
08.11 - 20:20;0.6 km északra;észak felé halad;3.3 csomó; ;;;243071712;;;
08.11 - 20:20;0.63 km északra;észak felé halad;3.7 csomó;;;None;243071712;;None;None
08.11 - 20:20;0.63 km északra;észak felé halad;3.7 csomó; ;;;243071712;;;
08.11 - 20:21;0.65 km északra;észak felé halad;3.8 csomó;;;None;243071712;;None;None
08.11 - 20:21;0.65 km északra;észak felé halad;3.8 csomó; ;;;243071712;;;
08.11 - 20:21;0.69 km északra;észak felé halad;3.9 csomó; ;;;243071712;;;
08.11 - 20:21;0.69 km északra;észak felé halad;3.9 csomó;;;None;243071712;;None;None
08.11 - 20:21;0.71 km északra;észak felé halad;3.7 csomó;;;None;243071712;;None;None
08.11 - 20:21;0.71 km északra;észak felé halad;3.7 csomó; ;;;243071712;;;
08.11 - 20:22;0.76 km északra;észak felé halad;3.3 csomó;;;None;243071712;;None;None
08.11 - 20:22;0.76 km északra;észak felé halad;3.3 csomó; ;;;243071712;;;
08.11 - 20:22;0.78 km északra;észak felé halad;3.4 csomó; ;;;243071712;;;
08.11 - 20:22;0.78 km északra;észak felé halad;3.4 csomó;;;None;243071712;;None;None
08.11 - 20:22;0.85 km északra;észak felé halad;3.9 csomó; ;;;243071712;;;
08.11 - 20:22;0.85 km északra;észak felé halad;3.9 csomó;;;None;243071712;;None;None
08.11 - 20:23;0.87 km északra;észak felé halad;4.0 csomó;;;None;243071712;;None;None
08.11 - 20:23;0.87 km északra;észak felé halad;4.0 csomó; ;;;243071712;;;
08.11 - 20:23;0.89 km északra;észak felé halad;4.1 csomó;;;None;243071712;;None;None
08.11 - 20:23;0.89 km északra;észak felé halad;4.1 csomó; ;;;243071712;;;
08.11 - 20:23;0.97 km északra;észak felé halad;4.3 csomó;;;None;243071712;;None;None
08.11 - 20:23;0.97 km északra;észak felé halad;4.3 csomó; ;;;243071712;;;
08.11 - 20:28;1.06 km északra;dél felé halad;5.9 csomó; ;;;243071712;;;
08.11 - 20:28;1.06 km északra;dél felé halad;5.9 csomó;;;None;243071712;;None;None
08.11 - 20:29;0.82 km északra;dél felé halad;7.8 csomó;;;None;243071712;;None;None
08.11 - 20:29;0.82 km északra;dél felé halad;7.8 csomó; ;;;243071712;;;
08.11 - 20:33;0.44 km délre;dél felé halad;9.0 csomó;;;None;243071712;;None;None
08.11 - 20:33;0.44 km délre;dél felé halad;9.0 csomó; ;;;243071712;;;
08.11 - 20:34;0.66 km délre;dél felé halad;9.1 csomó;;;None;243071712;;None;None
08.11 - 20:34;0.66 km délre;dél felé halad;9.1 csomó; ;;;243071712;;;
08.11 - 20:34;0.71 km délre;dél felé halad;9.1 csomó;;;None;243071712;;None;None
08.11 - 20:34;0.71 km délre;dél felé halad;9.1 csomó; ;;;243071712;;;
08.11 - 20:35;0.8 km délre;dél felé halad;9.1 csomó;;;None;243071712;;None;None
