Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 17:34;2.31 km északra;észak felé halad;3.6 csomó;ASCHAH 08.18 12:00;OMPH;1.2;267131608;79;95;10
08.11 - 17:53;4.51 km északra;észak felé halad;3.5 csomó; ;;;267131608;;;
08.11 - 17:53;4.51 km északra;észak felé halad;3.5 csomó;;;None;267131608;;None;None
08.11 - 17:53;4.53 km északra;észak felé halad;3.4 csomó;;;None;267131608;;None;None
08.11 - 17:53;4.53 km északra;észak felé halad;3.4 csomó; ;;;267131608;;;
08.11 - 17:53;4.55 km északra;észak felé halad;3.5 csomó;;;None;267131608;;None;None
08.11 - 17:53;4.55 km északra;észak felé halad;3.5 csomó; ;;;267131608;;;
08.11 - 17:53;4.57 km északra;észak felé halad;3.4 csomó; ;;;267131608;;;
08.11 - 17:53;4.57 km északra;észak felé halad;3.4 csomó;;;None;267131608;;None;None
08.11 - 17:53;4.58 km északra;észak felé halad;3.4 csomó;;;None;267131608;;None;None
08.11 - 17:53;4.58 km északra;észak felé halad;3.4 csomó; ;;;267131608;;;
08.11 - 17:53;4.6 km északra;észak felé halad;3.4 csomó; ;;;267131608;;;
08.11 - 17:53;4.6 km északra;észak felé halad;3.4 csomó;;;None;267131608;;None;None
08.11 - 17:54;4.62 km északra;észak felé halad;3.4 csomó; ;;;267131608;;;
08.11 - 17:54;4.62 km északra;észak felé halad;3.4 csomó;;;None;267131608;;None;None
08.11 - 17:54;4.64 km északra;észak felé halad;3.5 csomó;;;None;267131608;;None;None
08.11 - 17:54;4.64 km északra;észak felé halad;3.5 csomó; ;;;267131608;;;
08.11 - 17:54;4.65 km északra;észak felé halad;3.5 csomó; ;;;267131608;;;
08.11 - 17:54;4.65 km északra;észak felé halad;3.5 csomó;;;None;267131608;;None;None
08.11 - 17:54;4.67 km északra;észak felé halad;3.4 csomó; ;;;267131608;;;
08.11 - 17:54;4.67 km északra;észak felé halad;3.4 csomó;;;None;267131608;;None;None
08.11 - 17:54;4.69 km északra;észak felé halad;3.4 csomó; ;;;267131608;;;
08.11 - 17:54;4.69 km északra;észak felé halad;3.4 csomó;;;None;267131608;;None;None
08.11 - 17:55;4.73 km északra;észak felé halad;3.5 csomó;;;None;267131608;;None;None
08.11 - 17:55;4.73 km északra;észak felé halad;3.5 csomó; ;;;267131608;;;
08.11 - 17:55;4.75 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 17:55;4.75 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 17:55;4.77 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 17:55;4.77 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 17:55;4.79 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 17:55;4.79 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 17:55;4.8 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 17:55;4.8 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 17:55;4.82 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 17:55;4.82 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 17:56;4.84 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 17:56;4.84 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 17:56;4.86 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:56;4.86 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:56;4.9 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:56;4.9 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:56;4.94 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:56;4.94 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:57;4.95 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:57;4.95 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:57;4.97 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:57;4.97 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:57;4.99 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:57;4.99 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:57;5.01 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:57;5.01 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:57;5.03 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:57;5.03 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:57;5.05 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:57;5.05 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:58;5.07 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:58;5.07 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:58;5.09 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:58;5.09 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:58;5.11 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:58;5.11 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:58;5.13 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:58;5.13 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:58;5.14 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:58;5.14 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:58;5.16 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:58;5.16 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:59;5.18 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:59;5.18 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:59;5.2 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 17:59;5.2 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 17:59;5.22 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:59;5.22 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:59;5.22 km északra;észak felé halad;3.7 csomó;;;None;267131608;;None;None
08.11 - 17:59;5.22 km északra;észak felé halad;3.7 csomó; ;;;267131608;;;
08.11 - 17:59;5.24 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 17:59;5.24 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 17:59;5.26 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 17:59;5.26 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 17:59;5.28 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 17:59;5.28 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 18:00;5.29 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 18:00;5.29 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 18:00;5.31 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 18:00;5.31 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 18:00;5.33 km északra;észak felé halad;3.6 csomó; ;;;267131608;;;
08.11 - 18:00;5.33 km északra;észak felé halad;3.6 csomó;;;None;267131608;;None;None
08.11 - 18:00;5.35 km északra;észak felé halad;3.5 csomó;;;None;267131608;;None;None
