Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 19:24;1.79 km északra;észak felé halad;3.1 csomó;BUDAPEST 08.14 22:30;HGDQ;1.3;243070417;60;39;7
08.11 - 19:24;1.79 km északra;észak felé halad;3.1 csomó;BUDAPEST 08.14 22:30;HGDQ;1.3;243070417;60;39;7
08.11 - 19:24;1.79 km északra;dél felé halad;3.3 csomó;BUDAPEST 08.14 22:30;HGDQ;1.3;243070417;60;39;7
08.11 - 19:24;1.79 km északra;dél felé halad;3.3 csomó;BUDAPEST 08.14 22:30;HGDQ;1.3;243070417;60;39;7
08.11 - 19:26;1.57 km északra;dél felé halad;5.8 csomó;BUDAPEST 08.14 22:30;HGDQ;1.3;243070417;60;39;7
08.11 - 19:26;1.57 km északra;dél felé halad;5.8 csomó;BUDAPEST 08.14 22:30;HGDQ;1.3;243070417;60;39;7
08.11 - 19:26;1.51 km északra;dél felé halad;5.9 csomó;BUDAPEST 08.14 22:30;HGDQ;1.3;243070417;60;39;7
08.11 - 19:26;1.51 km északra;dél felé halad;5.9 csomó;BUDAPEST 08.14 22:30;HGDQ;1.3;243070417;60;39;7
08.11 - 19:27;1.41 km északra;dél felé halad;4.5 csomó;BUDAPEST 08.14 22:30;HGDQ;1.3;243070417;60;39;7
08.11 - 19:27;1.41 km északra;dél felé halad;4.5 csomó;BUDAPEST 08.14 22:30;HGDQ;1.3;243070417;60;39;7
08.11 - 20:39;0.99 km északra;észak felé halad;4.8 csomó;;;None;243070417;;None;None
08.11 - 20:39;0.99 km északra;észak felé halad;4.8 csomó; ;;;243070417;;;
08.11 - 20:46;1.68 km északra;Áll északra;; ;;;243070417;;;
08.11 - 20:46;1.68 km északra;Áll északra;;;;None;243070417;;None;None
08.11 - 21:45;0.94 km északra;észak felé halad;5.2 csomó; ;;;243070417;;;
08.11 - 21:45;0.94 km északra;észak felé halad;5.2 csomó;;;None;243070417;;None;None
08.11 - 21:47;1.34 km északra;észak felé halad;5.0 csomó; ;;;243070417;;;
08.11 - 21:47;1.34 km északra;észak felé halad;5.0 csomó;;;None;243070417;;None;None
08.11 - 21:49;1.51 km északra;észak felé halad;4.3 csomó; ;;;243070417;;;
08.11 - 21:49;1.51 km északra;észak felé halad;4.3 csomó;;;None;243070417;;None;None
08.11 - 21:49;1.53 km északra;észak felé halad;4.2 csomó; ;;;243070417;;;
08.11 - 21:49;1.53 km északra;észak felé halad;4.2 csomó;;;None;243070417;;None;None
08.19 - 19:02;1.72 km északra;észak felé halad;3.0 csomó; ;;;243070417;;;
08.19 - 19:02;1.72 km északra;észak felé halad;3.0 csomó;;;None;243070417;;None;None
08.19 - 19:04;1.51 km északra;dél felé halad;7.3 csomó; ;;;243070417;;;
08.19 - 19:04;1.51 km északra;dél felé halad;7.3 csomó;;;None;243070417;;None;None
08.19 - 19:55;0.72 km északra;észak felé halad;4.7 csomó; ;;;243070417;;;
08.19 - 19:55;0.72 km északra;észak felé halad;4.7 csomó;;;None;243070417;;None;None
08.19 - 19:56;0.88 km északra;észak felé halad;3.3 csomó; ;;;243070417;;;
08.19 - 19:56;0.88 km északra;észak felé halad;3.3 csomó;;;None;243070417;;None;None
08.19 - 19:57;0.89 km északra;észak felé halad;3.3 csomó; ;;;243070417;;;
08.19 - 19:57;0.89 km északra;észak felé halad;3.3 csomó;;;None;243070417;;None;None
