Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 18:44;1.53 km északra;Áll északra;;;;None;243042376;;None;None
08.11 - 18:44;1.53 km északra;Áll északra;; ;;;243042376;;;
08.11 - 18:45;1.53 km északra;Áll északra;; ;;;243042376;;;
08.11 - 18:45;1.53 km északra;Áll északra;;;;None;243042376;;None;None
08.11 - 18:46;1.53 km északra;Áll északra;; ;;;243042376;;;
08.11 - 18:46;1.53 km északra;Áll északra;;;;None;243042376;;None;None
08.11 - 18:50;1.52 km északra;Áll északra;;;;None;243042376;;None;None
08.11 - 18:50;1.52 km északra;Áll északra;; ;;;243042376;;;
08.11 - 18:50;1.53 km északra;észak felé halad;0.5 csomó;;;None;243042376;;None;None
08.11 - 18:50;1.53 km északra;észak felé halad;0.5 csomó; ;;;243042376;;;
08.11 - 18:52;1.53 km északra;Áll északra;; ;;;243042376;;;
08.11 - 18:52;1.53 km északra;Áll északra;;;;None;243042376;;None;None
08.11 - 19:04;1.55 km északra;dél felé halad;6.8 csomó; ;;;243042376;;;
08.11 - 19:04;1.55 km északra;dél felé halad;6.8 csomó;;;None;243042376;;None;None
08.11 - 19:04;1.51 km északra;dél felé halad;7.2 csomó; ;;;243042376;;;
08.11 - 19:04;1.51 km északra;dél felé halad;7.2 csomó;;;None;243042376;;None;None
08.11 - 19:04;1.48 km északra;dél felé halad;7.4 csomó;;;None;243042376;;None;None
08.11 - 19:04;1.48 km északra;dél felé halad;7.4 csomó; ;;;243042376;;;
08.11 - 19:05;1.44 km északra;dél felé halad;7.2 csomó;;;None;243042376;;None;None
08.11 - 19:05;1.44 km északra;dél felé halad;7.2 csomó; ;;;243042376;;;
08.11 - 19:05;1.4 km északra;dél felé halad;8.0 csomó;;;None;243042376;;None;None
08.11 - 19:05;1.4 km északra;dél felé halad;8.0 csomó; ;;;243042376;;;
08.11 - 19:05;1.35 km északra;dél felé halad;8.0 csomó; ;;;243042376;;;
08.11 - 19:05;1.35 km északra;dél felé halad;8.0 csomó;;;None;243042376;;None;None
08.11 - 19:05;1.32 km északra;dél felé halad;8.1 csomó;;;None;243042376;;None;None
08.11 - 19:05;1.32 km északra;dél felé halad;8.1 csomó; ;;;243042376;;;
08.11 - 19:05;1.27 km északra;dél felé halad;8.0 csomó;;;None;243042376;;None;None
08.11 - 19:05;1.27 km északra;dél felé halad;8.0 csomó; ;;;243042376;;;
08.11 - 19:05;1.24 km északra;dél felé halad;8.0 csomó; ;;;243042376;;;
08.11 - 19:05;1.24 km északra;dél felé halad;8.0 csomó;;;None;243042376;;None;None
08.11 - 19:06;1.11 km északra;dél felé halad;8.0 csomó; ;;;243042376;;;
