Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;2.18 km északra;Áll északra;; ;;;244730043;;;
08.09 - 08:56;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.09 - 09:19;2.19 km északra;Áll északra;; ;;;244730043;;;
08.09 - 09:19;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.09 - 09:20;2.19 km északra;Áll északra;; ;;;244730043;;;
08.09 - 09:20;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.09 - 09:22;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.09 - 09:22;2.19 km északra;Áll északra;; ;;;244730043;;;
08.11 - 17:31;2.18 km északra;Áll északra;; ;;;244730043;;;
08.11 - 17:31;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 17:32;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 17:32;2.18 km északra;Áll északra;; ;;;244730043;;;
08.11 - 17:39;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 17:39;2.18 km északra;Áll északra;; ;;;244730043;;;
08.11 - 17:57;2.18 km északra;Áll északra;; ;;;244730043;;;
08.11 - 17:57;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 17:59;2.18 km északra;Áll északra;; ;;;244730043;;;
08.11 - 17:59;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 18:01;2.18 km északra;Áll északra;; ;;;244730043;;;
08.11 - 18:01;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 18:01;2.17 km északra;Áll északra;;BUDAPEST 01.12 10:00;PI3903;1.3;244730043;69;40;7
08.11 - 18:01;2.17 km északra;Áll északra;;BUDAPEST 01.12 10:00;PI3903;1.3;244730043;69;40;7
08.11 - 18:02;2.18 km északra;Áll északra;;BUDAPEST 01.12 10:00;PI3903;1.3;244730043;69;40;7
08.11 - 18:02;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 18:02;2.18 km északra;Áll északra;; ;;;244730043;;;
08.11 - 18:02;2.18 km északra;Áll északra;;BUDAPEST 01.12 10:00;PI3903;1.3;244730043;69;40;7
08.11 - 18:05;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 18:05;2.18 km északra;Áll északra;; ;;;244730043;;;
08.11 - 18:32;2.18 km északra;Áll északra;; ;;;244730043;;;
08.11 - 18:32;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 18:54;2.18 km északra;Áll északra;; ;;;244730043;;;
08.11 - 18:54;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 19:08;2.19 km északra;Áll északra;; ;;;244730043;;;
08.11 - 19:08;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 19:19;2.19 km északra;Áll északra;;BUDAPEST 01.12 10:00;PI3903;1.3;244730043;69;40;7
08.11 - 19:19;2.19 km északra;Áll északra;;BUDAPEST 01.12 10:00;PI3903;1.3;244730043;69;40;7
08.11 - 20:01;2.19 km északra;Áll északra;; ;;;244730043;;;
08.11 - 20:01;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 20:03;2.19 km északra;Áll északra;; ;;;244730043;;;
08.11 - 20:03;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 20:06;2.19 km északra;Áll északra;; ;;;244730043;;;
08.11 - 20:06;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 20:09;2.19 km északra;Áll északra;; ;;;244730043;;;
08.11 - 20:09;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 20:35;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.11 - 20:35;2.18 km északra;Áll északra;; ;;;244730043;;;
08.12 - 18:09;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.12 - 18:09;2.18 km északra;Áll északra;; ;;;244730043;;;
08.12 - 19:12;2.18 km északra;Áll északra;; ;;;244730043;;;
08.12 - 19:12;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.14 - 07:33;2.19 km északra;Áll északra;; ;;;244730043;;;
08.14 - 07:33;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.14 - 07:53;2.18 km északra;Áll északra;; ;;;244730043;;;
08.14 - 07:53;2.18 km északra;Áll északra;;;;None;244730043;;None;None
08.14 - 08:03;2.19 km északra;Áll északra;; ;;;244730043;;;
08.14 - 08:03;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.18 - 20:45;2.19 km északra;Áll északra;; ;;;244730043;;;
08.18 - 20:45;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.18 - 21:03;2.19 km északra;Áll északra;; ;;;244730043;;;
08.18 - 21:03;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.18 - 21:44;2.19 km északra;Áll északra;; ;;;244730043;;;
08.18 - 21:44;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.20 - 04:39;2.19 km északra;Áll északra;; ;;;244730043;;;
08.20 - 04:39;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.20 - 04:54;2.19 km északra;Áll északra;; ;;;244730043;;;
08.20 - 04:54;2.19 km északra;Áll északra;;;;None;244730043;;None;None
08.20 - 05:03;2.19 km északra;Áll északra;; ;;;244730043;;;
08.20 - 05:03;2.19 km északra;Áll északra;;;;None;244730043;;None;None
