Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:44;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;None;243042378;51;14;4
08.09 - 08:44;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;;243042378;51;14;4
08.09 - 08:56;4.05 km északra;Áll északra;; ;;;243042378;;;
08.09 - 08:56;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.09 - 09:23;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.09 - 09:23;4.05 km északra;Áll északra;; ;;;243042378;;;
08.11 - 17:31;4.05 km északra;Áll északra;; ;;;243042378;;;
08.11 - 17:31;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.11 - 17:33;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.11 - 17:33;4.05 km északra;Áll északra;; ;;;243042378;;;
08.11 - 17:54;4.04 km északra;Áll északra;;;;None;243042378;;None;None
08.11 - 17:54;4.04 km északra;Áll északra;; ;;;243042378;;;
08.11 - 18:06;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;None;243042378;51;14;4
08.11 - 18:06;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;;243042378;51;14;4
08.11 - 18:33;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.11 - 18:33;4.05 km északra;Áll északra;; ;;;243042378;;;
08.11 - 18:45;4.05 km északra;Áll északra;; ;;;243042378;;;
08.11 - 18:45;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.11 - 18:54;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;None;243042378;51;14;4
08.11 - 18:54;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;;243042378;51;14;4
08.11 - 19:08;4.05 km északra;Áll északra;; ;;;243042378;;;
08.11 - 19:08;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.11 - 19:17;4.05 km északra;Áll északra;; ;;;243042378;;;
08.11 - 19:17;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.11 - 20:11;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;;243042378;51;14;4
08.11 - 20:11;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;None;243042378;51;14;4
08.11 - 20:37;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;None;243042378;51;14;4
08.11 - 20:37;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;;243042378;51;14;4
08.11 - 21:07;4.05 km északra;Áll északra;; ;;;243042378;;;
08.11 - 21:07;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.11 - 21:43;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;;243042378;51;14;4
08.11 - 21:43;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;None;243042378;51;14;4
08.11 - 22:01;4.05 km északra;Áll északra;; ;;;243042378;;;
08.11 - 22:01;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.11 - 22:18;4.05 km északra;Áll északra;; ;;;243042378;;;
08.11 - 22:18;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.11 - 22:24;4.05 km északra;Áll északra;; ;;;243042378;;;
08.11 - 22:24;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.11 - 22:33;4.06 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;;243042378;51;14;4
08.11 - 22:33;4.06 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;None;243042378;51;14;4
08.12 - 18:08;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.12 - 18:08;4.05 km északra;Áll északra;; ;;;243042378;;;
08.12 - 18:32;4.04 km északra;Áll északra;; ;;;243042378;;;
08.12 - 18:32;4.04 km északra;Áll északra;;;;None;243042378;;None;None
08.14 - 07:34;4.05 km északra;Áll északra;; ;;;243042378;;;
08.14 - 07:34;4.05 km északra;Áll északra;;;;None;243042378;;None;None
08.14 - 07:55;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;;243042378;51;14;4
08.14 - 07:55;4.05 km északra;Áll északra;;BEREIT STEHEN 00.00 00:00;HGD2378;None;243042378;51;14;4
08.14 - 08:04;4.05 km északra;Áll északra;; ;;;243042378;;;
08.14 - 08:04;4.05 km északra;Áll északra;;;;None;243042378;;None;None
