Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;1.48 km északra;Áll északra;; ;;;243070326;;;
08.09 - 08:56;1.48 km északra;Áll északra;;;;None;243070326;;None;None
08.09 - 09:20;1.48 km északra;Áll északra;; ;;;243070326;;;
08.09 - 09:20;1.48 km északra;Áll északra;;;;None;243070326;;None;None
08.09 - 09:22;1.48 km északra;Áll északra;; ;;;243070326;;;
08.09 - 09:22;1.48 km északra;Áll északra;;;;None;243070326;;None;None
08.11 - 17:31;0.92 km északra;dél felé halad;7.5 csomó; ;;;243070326;;;
08.11 - 17:31;0.92 km északra;dél felé halad;7.5 csomó;;;None;243070326;;None;None
08.11 - 17:31;0.84 km északra;dél felé halad;7.5 csomó;;;None;243070326;;None;None
08.11 - 17:31;0.84 km északra;dél felé halad;7.5 csomó; ;;;243070326;;;
08.11 - 17:33;0.49 km északra;dél felé halad;7.5 csomó;;;None;243070326;;None;None
08.11 - 17:33;0.49 km északra;dél felé halad;7.5 csomó; ;;;243070326;;;
08.11 - 17:34;0.33 km északra;dél felé halad;3.8 csomó; ;;;243070326;;;
08.11 - 17:34;0.33 km északra;dél felé halad;3.8 csomó;;;None;243070326;;None;None
08.11 - 17:39;0.27 km északra;dél felé halad;6.8 csomó;;;None;243070326;;None;None
08.11 - 17:39;0.27 km északra;dél felé halad;6.8 csomó; ;;;243070326;;;
08.11 - 17:56;0.86 km délre;észak felé halad;4.0 csomó;;;None;243070326;;None;None
08.11 - 17:56;0.86 km délre;észak felé halad;4.0 csomó; ;;;243070326;;;
08.11 - 17:57;0.74 km délre;észak felé halad;4.9 csomó;;;None;243070326;;None;None
08.11 - 17:57;0.74 km délre;észak felé halad;4.9 csomó; ;;;243070326;;;
08.11 - 18:00;0.31 km délre;észak felé halad;5.7 csomó;;;None;243070326;;None;None
08.11 - 18:00;0.31 km délre;észak felé halad;5.7 csomó; ;;;243070326;;;
08.11 - 18:01;0.33 km északra;észak felé halad;5.6 csomó;;;None;243070326;;None;None
08.11 - 18:01;0.33 km északra;észak felé halad;5.6 csomó; ;;;243070326;;;
08.11 - 18:04;0.54 km északra;Áll északra;;;;None;243070326;;None;None
08.11 - 18:04;0.54 km északra;Áll északra;; ;;;243070326;;;
08.11 - 18:09;0.35 km északra;dél felé halad;9.1 csomó;;;None;243070326;;None;None
08.11 - 18:09;0.35 km északra;dél felé halad;9.1 csomó; ;;;243070326;;;
08.11 - 18:11;0.61 km délre;dél felé halad;9.4 csomó;;;None;243070326;;None;None
08.11 - 18:11;0.61 km délre;dél felé halad;9.4 csomó; ;;;243070326;;;
08.11 - 20:12;0.31 km délre;észak felé halad;3.6 csomó;;;None;243070326;;None;None
08.11 - 20:12;0.31 km délre;észak felé halad;3.6 csomó; ;;;243070326;;;
08.11 - 20:13;0.31 km északra;észak felé halad;3.4 csomó; ;;;243070326;;;
08.11 - 20:13;0.31 km északra;észak felé halad;3.4 csomó;;;None;243070326;;None;None
08.11 - 20:13;0.31 km északra;észak felé halad;3.4 csomó; ;;;243070326;;;
08.11 - 20:13;0.31 km északra;észak felé halad;3.4 csomó;;;None;243070326;;None;None
08.11 - 20:14;0.32 km északra;észak felé halad;3.4 csomó;;;None;243070326;;None;None
08.11 - 20:14;0.32 km északra;észak felé halad;3.4 csomó; ;;;243070326;;;
08.11 - 20:14;0.32 km északra;észak felé halad;3.5 csomó; ;;;243070326;;;
08.11 - 20:14;0.32 km északra;észak felé halad;3.5 csomó;;;None;243070326;;None;None
08.11 - 20:17;0.52 km északra;észak felé halad;3.5 csomó;;;None;243070326;;None;None
08.11 - 20:17;0.52 km északra;észak felé halad;3.5 csomó; ;;;243070326;;;
08.11 - 20:17;0.55 km északra;észak felé halad;3.6 csomó; ;;;243070326;;;
08.11 - 20:17;0.55 km északra;észak felé halad;3.6 csomó;;;None;243070326;;None;None
08.11 - 20:17;0.57 km északra;észak felé halad;3.5 csomó; ;;;243070326;;;
08.11 - 20:17;0.57 km északra;észak felé halad;3.5 csomó;;;None;243070326;;None;None
08.11 - 20:18;0.6 km északra;észak felé halad;3.5 csomó;;;None;243070326;;None;None
08.11 - 20:18;0.6 km északra;észak felé halad;3.5 csomó; ;;;243070326;;;
08.11 - 20:18;0.63 km északra;észak felé halad;3.5 csomó;;;None;243070326;;None;None
08.11 - 20:18;0.63 km északra;észak felé halad;3.5 csomó; ;;;243070326;;;
08.11 - 20:19;0.74 km északra;észak felé halad;3.5 csomó;;;None;243070326;;None;None
08.11 - 20:19;0.74 km északra;észak felé halad;3.5 csomó; ;;;243070326;;;
08.11 - 20:19;0.77 km északra;észak felé halad;3.5 csomó; ;;;243070326;;;
08.11 - 20:19;0.77 km északra;észak felé halad;3.5 csomó;;;None;243070326;;None;None
08.11 - 20:19;0.78 km északra;észak felé halad;3.4 csomó; ;;;243070326;;;
08.11 - 20:19;0.78 km északra;észak felé halad;3.4 csomó;;;None;243070326;;None;None
08.11 - 20:20;0.85 km északra;észak felé halad;3.1 csomó;;;None;243070326;;None;None
08.11 - 20:20;0.85 km északra;észak felé halad;3.1 csomó; ;;;243070326;;;
08.11 - 20:21;0.92 km északra;észak felé halad;3.5 csomó;;;None;243070326;;None;None
08.11 - 20:21;0.92 km északra;észak felé halad;3.5 csomó; ;;;243070326;;;
08.11 - 20:21;0.97 km északra;észak felé halad;3.5 csomó; ;;;243070326;;;
08.11 - 20:21;0.97 km északra;észak felé halad;3.5 csomó;;;None;243070326;;None;None
08.11 - 20:22;1.0 km északra;észak felé halad;3.5 csomó;;;None;243070326;;None;None
08.11 - 20:22;1.0 km északra;észak felé halad;3.5 csomó; ;;;243070326;;;
08.11 - 20:23;1.11 km északra;észak felé halad;3.6 csomó;;;None;243070326;;None;None
08.11 - 20:23;1.11 km északra;észak felé halad;3.6 csomó; ;;;243070326;;;
08.11 - 20:23;1.12 km északra;észak felé halad;3.7 csomó; ;;;243070326;;;
08.11 - 20:23;1.12 km északra;észak felé halad;3.7 csomó;;;None;243070326;;None;None
08.11 - 20:23;1.14 km északra;észak felé halad;3.7 csomó;;;None;243070326;;None;None
08.11 - 20:23;1.14 km északra;észak felé halad;3.7 csomó; ;;;243070326;;;
08.11 - 20:23;1.18 km északra;észak felé halad;3.8 csomó; ;;;243070326;;;
08.11 - 20:23;1.18 km északra;észak felé halad;3.8 csomó;;;None;243070326;;None;None
08.11 - 20:23;1.2 km északra;észak felé halad;3.7 csomó;;;None;243070326;;None;None
08.11 - 20:23;1.2 km északra;észak felé halad;3.7 csomó; ;;;243070326;;;
08.11 - 20:34;0.79 km délre;dél felé halad;7.8 csomó; ;;;243070326;;;
08.11 - 20:34;0.79 km délre;dél felé halad;7.8 csomó;;;None;243070326;;None;None
08.11 - 20:35;0.86 km délre;dél felé halad;7.8 csomó;;;None;243070326;;None;None
08.11 - 20:35;0.86 km délre;dél felé halad;7.8 csomó; ;;;243070326;;;
08.11 - 20:36;1.31 km délre;dél felé halad;7.9 csomó;;;None;243070326;;None;None
08.11 - 20:36;1.31 km délre;dél felé halad;7.9 csomó; ;;;243070326;;;
08.11 - 20:38;1.6 km délre;dél felé halad;7.9 csomó; ;;;243070326;;;
08.11 - 20:38;1.6 km délre;dél felé halad;7.9 csomó;;;None;243070326;;None;None
08.11 - 20:38;1.64 km délre;dél felé halad;7.7 csomó;;;None;243070326;;None;None
08.11 - 20:38;1.64 km délre;dél felé halad;7.7 csomó; ;;;243070326;;;
08.11 - 21:12;0.54 km délre;észak felé halad;4.0 csomó; ;;;243070326;;;
08.11 - 21:12;0.54 km délre;észak felé halad;4.0 csomó;;;None;243070326;;None;None
08.11 - 21:13;0.42 km délre;észak felé halad;4.1 csomó; ;;;243070326;;;
08.11 - 21:13;0.42 km délre;észak felé halad;4.1 csomó;;;None;243070326;;None;None
08.11 - 21:16;0.3 km északra;észak felé halad;4.3 csomó; ;;;243070326;;;
08.11 - 21:16;0.3 km északra;észak felé halad;4.3 csomó;;;None;243070326;;None;None
08.11 - 21:16;0.32 km északra;észak felé halad;4.3 csomó; ;;;243070326;;;
08.11 - 21:16;0.32 km északra;észak felé halad;4.3 csomó;;;None;243070326;;None;None
08.11 - 21:21;0.75 km északra;észak felé halad;4.1 csomó; ;;;243070326;;;
08.11 - 21:21;0.75 km északra;észak felé halad;4.1 csomó;;;None;243070326;;None;None
08.11 - 21:21;0.77 km északra;észak felé halad;4.0 csomó; ;;;243070326;;;
08.11 - 21:21;0.77 km északra;észak felé halad;4.0 csomó;;;None;243070326;;None;None
08.11 - 21:21;0.79 km északra;észak felé halad;4.0 csomó; ;;;243070326;;;
08.11 - 21:21;0.79 km északra;észak felé halad;4.0 csomó;;;None;243070326;;None;None
08.11 - 21:22;0.83 km északra;észak felé halad;3.8 csomó; ;;;243070326;;;
08.11 - 21:22;0.83 km északra;észak felé halad;3.8 csomó;;;None;243070326;;None;None
08.11 - 21:22;0.85 km északra;észak felé halad;3.7 csomó; ;;;243070326;;;
08.11 - 21:22;0.85 km északra;észak felé halad;3.7 csomó;;;None;243070326;;None;None
08.11 - 21:23;0.98 km északra;észak felé halad;4.0 csomó; ;;;243070326;;;
08.11 - 21:23;0.98 km északra;észak felé halad;4.0 csomó;;;None;243070326;;None;None
08.11 - 21:23;1.02 km északra;észak felé halad;4.0 csomó;HELYI SZOLGALAT 01.04 23:17;HGZC;1.2;243070326;60;25;7
08.11 - 21:23;1.02 km északra;észak felé halad;4.0 csomó;HELYI SZOLGALAT 01.04 23:17;HGZC;1.2;243070326;60;25;7
08.11 - 21:24;1.08 km északra;észak felé halad;4.1 csomó;HELYI SZOLGALAT 01.04 23:17;HGZC;1.2;243070326;60;25;7
08.11 - 21:24;1.08 km északra;észak felé halad;4.1 csomó;HELYI SZOLGALAT 01.04 23:17;HGZC;1.2;243070326;60;25;7
08.11 - 21:24;1.1 km északra;észak felé halad;4.1 csomó;HELYI SZOLGALAT 01.04 23:17;HGZC;1.2;243070326;60;25;7
08.11 - 21:24;1.1 km északra;észak felé halad;4.1 csomó;HELYI SZOLGALAT 01.04 23:17;HGZC;1.2;243070326;60;25;7
08.11 - 21:24;1.12 km északra;észak felé halad;4.2 csomó;HELYI SZOLGALAT 01.04 23:17;HGZC;1.2;243070326;60;25;7
08.11 - 21:24;1.12 km északra;észak felé halad;4.2 csomó;HELYI SZOLGALAT 01.04 23:17;HGZC;1.2;243070326;60;25;7
08.11 - 21:25;1.23 km északra;észak felé halad;4.3 csomó;HELYI SZOLGALAT 01.04 23:17;HGZC;1.2;243070326;60;25;7
08.11 - 21:25;1.23 km északra;észak felé halad;4.3 csomó;HELYI SZOLGALAT 01.04 23:17;HGZC;1.2;243070326;60;25;7
08.11 - 21:25;1.25 km északra;észak felé halad;4.1 csomó;HELYI SZOLGALAT 01.04 23:17;HGZC;1.2;243070326;60;25;7
08.11 - 21:25;1.25 km északra;észak felé halad;4.1 csomó;HELYI SZOLGALAT 01.04 23:17;HGZC;1.2;243070326;60;25;7
