Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.11 - 18:00;2.13 km északra;dél felé halad;3.8 csomó;;;None;243071912;;None;None
08.11 - 18:00;2.13 km északra;dél felé halad;3.8 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:00;2.13 km északra;dél felé halad;3.8 csomó; ;;;243071912;;;
08.11 - 18:00;2.13 km északra;dél felé halad;3.8 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:01;2.12 km északra;dél felé halad;4.7 csomó; ;;;243071912;;;
08.11 - 18:01;2.12 km északra;dél felé halad;4.7 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:01;2.12 km északra;dél felé halad;4.7 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:01;2.12 km északra;dél felé halad;4.7 csomó;;;None;243071912;;None;None
08.11 - 18:01;2.09 km északra;dél felé halad;5.7 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:01;2.09 km északra;dél felé halad;5.7 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:01;2.06 km északra;dél felé halad;6.6 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:01;2.06 km északra;dél felé halad;6.6 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:01;2.03 km északra;dél felé halad;7.0 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:01;2.03 km északra;dél felé halad;7.0 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:01;1.96 km északra;dél felé halad;7.4 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:01;1.96 km északra;dél felé halad;7.4 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:02;1.93 km északra;dél felé halad;7.4 csomó; ;;;243071912;;;
08.11 - 18:02;1.93 km északra;dél felé halad;7.4 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:02;1.93 km északra;dél felé halad;7.4 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:02;1.93 km északra;dél felé halad;7.4 csomó;;;None;243071912;;None;None
08.11 - 18:02;1.89 km északra;dél felé halad;7.4 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:02;1.89 km északra;dél felé halad;7.4 csomó;;;None;243071912;;None;None
08.11 - 18:02;1.89 km északra;dél felé halad;7.4 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:02;1.89 km északra;dél felé halad;7.4 csomó; ;;;243071912;;;
08.11 - 18:02;1.85 km északra;dél felé halad;7.5 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:02;1.85 km északra;dél felé halad;7.5 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:02;1.81 km északra;dél felé halad;7.6 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:02;1.81 km északra;dél felé halad;7.6 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:02;1.77 km északra;dél felé halad;7.7 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:02;1.77 km északra;dél felé halad;7.7 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:02;1.73 km északra;dél felé halad;7.7 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:02;1.73 km északra;dél felé halad;7.7 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:03;1.69 km északra;dél felé halad;7.8 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:03;1.69 km északra;dél felé halad;7.8 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:03;1.61 km északra;dél felé halad;7.8 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:03;1.61 km északra;dél felé halad;7.8 csomó;BUDAPEST 04.11 22:00;HGSL;1.3;243071912;69;39;7
08.11 - 18:04;1.36 km északra;dél felé halad;8.2 csomó; ;;;243071912;;;
08.11 - 18:04;1.36 km északra;dél felé halad;8.2 csomó;;;None;243071912;;None;None
08.11 - 18:04;1.28 km északra;dél felé halad;8.2 csomó; ;;;243071912;;;
08.11 - 18:04;1.28 km északra;dél felé halad;8.2 csomó;;;None;243071912;;None;None
08.11 - 18:04;1.24 km északra;dél felé halad;8.1 csomó;;;None;243071912;;None;None
08.11 - 18:04;1.24 km északra;dél felé halad;8.1 csomó; ;;;243071912;;;
