Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.18 - 20:52;1.92 km északra;Áll északra;; ;;;243070619;;;
08.18 - 20:52;1.92 km északra;Áll északra;;;;None;243070619;;None;None
08.18 - 20:53;1.91 km északra;Áll északra;;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:53;1.91 km északra;Áll északra;;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:54;1.97 km északra;észak felé halad;4.6 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:54;1.97 km északra;észak felé halad;4.6 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:55;1.97 km északra;dél felé halad;6.1 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:55;1.97 km északra;dél felé halad;6.1 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:55;1.95 km északra;dél felé halad;6.7 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:55;1.95 km északra;dél felé halad;6.7 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:55;1.93 km északra;dél felé halad;7.1 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:55;1.93 km északra;dél felé halad;7.1 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:55;1.89 km északra;dél felé halad;7.5 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:55;1.89 km északra;dél felé halad;7.5 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:55;1.86 km északra;dél felé halad;7.7 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:55;1.86 km északra;dél felé halad;7.7 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:56;1.61 km északra;dél felé halad;8.1 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:56;1.61 km északra;dél felé halad;8.1 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:57;1.48 km északra;dél felé halad;8.1 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:57;1.48 km északra;dél felé halad;8.1 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:57;1.44 km északra;dél felé halad;9.8 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:57;1.44 km északra;dél felé halad;9.8 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:57;1.39 km északra;dél felé halad;8.6 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 20:57;1.39 km északra;dél felé halad;8.6 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 21:00;0.65 km északra;dél felé halad;8.6 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 21:00;0.65 km északra;dél felé halad;8.6 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 21:42;1.35 km északra;észak felé halad;5.1 csomó; ;;;243070619;;;
08.18 - 21:42;1.35 km északra;észak felé halad;5.1 csomó;;;None;243070619;;None;None
08.18 - 21:44;1.65 km északra;észak felé halad;5.6 csomó; ;;;243070619;;;
08.18 - 21:44;1.65 km északra;észak felé halad;5.6 csomó;;;None;243070619;;None;None
08.18 - 21:44;1.68 km északra;észak felé halad;5.5 csomó; ;;;243070619;;;
08.18 - 21:44;1.68 km északra;észak felé halad;5.5 csomó;;;None;243070619;;None;None
08.18 - 21:45;1.76 km északra;észak felé halad;5.6 csomó; ;;;243070619;;;
08.18 - 21:45;1.76 km északra;észak felé halad;5.6 csomó;;;None;243070619;;None;None
08.18 - 21:45;1.82 km északra;észak felé halad;5.0 csomó; ;;;243070619;;;
08.18 - 21:45;1.82 km északra;észak felé halad;5.0 csomó;;;None;243070619;;None;None
08.18 - 21:46;1.92 km északra;észak felé halad;0.6 csomó; ;;;243070619;;;
08.18 - 21:46;1.92 km északra;észak felé halad;0.6 csomó;;;None;243070619;;None;None
08.18 - 21:51;1.94 km északra;észak felé halad;1.7 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 21:51;1.94 km északra;észak felé halad;1.7 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 21:52;1.88 km északra;dél felé halad;1.9 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
08.18 - 21:52;1.88 km északra;dél felé halad;1.9 csomó;BUAPEST HELYI 07.25 23:00;HGFS;1.0;243070619;69;25;7
