Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 08:56;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.09 - 08:56;1.58 km északra;Áll északra;; ;;;243070514;;;
08.09 - 09:19;1.58 km északra;Áll északra;; ;;;243070514;;;
08.09 - 09:19;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.09 - 09:22;1.58 km északra;Áll északra;; ;;;243070514;;;
08.09 - 09:22;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.11 - 17:30;1.58 km északra;Áll északra;; ;;;243070514;;;
08.11 - 17:30;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.11 - 17:32;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.11 - 17:32;1.58 km északra;Áll északra;; ;;;243070514;;;
08.11 - 17:39;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.11 - 17:39;1.58 km északra;Áll északra;; ;;;243070514;;;
08.11 - 17:53;1.58 km északra;Áll északra;; 00.00 00:00;HGEN;;243070514;69;24;6
08.11 - 17:53;1.58 km északra;Áll északra;;00.00 00:00;HGEN;None;243070514;69;24;6
08.11 - 17:59;1.58 km északra;Áll északra;; ;;;243070514;;;
08.11 - 17:59;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.11 - 18:00;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.11 - 18:00;1.58 km északra;Áll északra;; ;;;243070514;;;
08.11 - 18:02;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.11 - 18:02;1.58 km északra;Áll északra;; ;;;243070514;;;
08.11 - 18:04;1.58 km északra;Áll északra;; ;;;243070514;;;
08.11 - 18:04;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.11 - 18:28;1.58 km északra;Áll északra;; ;;;243070514;;;
08.11 - 18:28;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.11 - 18:29;1.58 km északra;Áll északra;; ;;;243070514;;;
08.11 - 18:29;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.11 - 18:32;1.58 km északra;Áll északra;; ;;;243070514;;;
08.11 - 18:32;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.11 - 18:44;1.58 km északra;Áll északra;;;;None;243070514;;None;None
08.11 - 18:44;1.58 km északra;Áll északra;; ;;;243070514;;;
