Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.18 - 20:47;0.61 km északra;dél felé halad;6.9 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 20:47;0.61 km északra;dél felé halad;6.9 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 22:14;1.19 km északra;dél felé halad;2.6 csomó; ;;;243042410;;;
08.18 - 22:14;1.19 km északra;dél felé halad;2.6 csomó;;;None;243042410;;None;None
08.18 - 22:15;1.12 km északra;dél felé halad;3.7 csomó; ;;;243042410;;;
08.18 - 22:15;1.12 km északra;dél felé halad;3.7 csomó;;;None;243042410;;None;None
08.18 - 22:17;0.77 km északra;dél felé halad;6.7 csomó; ;;;243042410;;;
08.18 - 22:17;0.77 km északra;dél felé halad;6.7 csomó;;;None;243042410;;None;None
08.18 - 22:17;0.74 km északra;dél felé halad;6.8 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 22:17;0.74 km északra;dél felé halad;6.8 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 22:17;0.67 km északra;dél felé halad;6.9 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 22:17;0.67 km északra;dél felé halad;6.9 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 22:18;0.63 km északra;dél felé halad;7.0 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 22:18;0.63 km északra;dél felé halad;7.0 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 22:18;0.6 km északra;dél felé halad;7.0 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 22:18;0.6 km északra;dél felé halad;7.0 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 22:18;0.56 km északra;dél felé halad;7.0 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 22:18;0.56 km északra;dél felé halad;7.0 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 22:19;0.44 km északra;dél felé halad;5.8 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.18 - 22:19;0.44 km északra;dél felé halad;5.8 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.19 - 19:13;0.72 km északra;észak felé halad;4.1 csomó; ;;;243042410;;;
08.19 - 19:13;0.72 km északra;észak felé halad;4.1 csomó;;;None;243042410;;None;None
08.19 - 19:13;0.76 km északra;észak felé halad;3.9 csomó; ;;;243042410;;;
08.19 - 19:13;0.76 km északra;észak felé halad;3.9 csomó;;;None;243042410;;None;None
08.19 - 19:13;0.79 km északra;észak felé halad;3.8 csomó; ;;;243042410;;;
08.19 - 19:13;0.79 km északra;észak felé halad;3.8 csomó;;;None;243042410;;None;None
08.19 - 19:14;0.82 km északra;észak felé halad;3.8 csomó; ;;;243042410;;;
08.19 - 19:14;0.82 km északra;észak felé halad;3.8 csomó;;;None;243042410;;None;None
08.19 - 19:14;0.92 km északra;észak felé halad;4.0 csomó; ;;;243042410;;;
08.19 - 19:14;0.92 km északra;észak felé halad;4.0 csomó;;;None;243042410;;None;None
08.19 - 19:15;0.96 km északra;észak felé halad;4.0 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.19 - 19:15;0.96 km északra;észak felé halad;4.0 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.19 - 19:15;0.98 km északra;észak felé halad;4.1 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.19 - 19:15;0.98 km északra;észak felé halad;4.1 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
08.19 - 19:15;1.02 km északra;észak felé halad;4.1 csomó;KOMARNO 00.00 24:60;HGPE;1.3;243042410;60;68;7
