Időpont;Távolság;Haladási irány;Sebesség;Célállomás + ETA;Hívójel;Merülés;MMSI;Hajótípus;Hossz;Szélesség
08.09 - 09:22;0.84 km északra;észak felé halad;4.9 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:22;0.84 km északra;észak felé halad;4.9 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:22;0.86 km északra;észak felé halad;4.8 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:22;0.86 km északra;észak felé halad;4.8 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:22;0.89 km északra;észak felé halad;4.9 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:22;0.89 km északra;észak felé halad;4.9 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:23;0.91 km északra;észak felé halad;4.8 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:23;0.91 km északra;észak felé halad;4.8 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:23;0.96 km északra;észak felé halad;4.8 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:23;0.96 km északra;észak felé halad;4.8 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:24;1.09 km északra;észak felé halad;4.9 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:24;1.09 km északra;észak felé halad;4.9 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:24;1.16 km északra;észak felé halad;4.9 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:24;1.16 km északra;észak felé halad;4.9 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:25;1.29 km északra;észak felé halad;5.0 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:25;1.29 km északra;észak felé halad;5.0 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:25;1.34 km északra;észak felé halad;4.8 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:25;1.34 km északra;észak felé halad;4.8 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:26;1.39 km északra;észak felé halad;4.6 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
08.09 - 09:26;1.39 km északra;észak felé halad;4.6 csomó;ACS 08.10 10:00;HGRF;1.3;243071806;70;105;10
