94.12 km | dél felé halad | 12.5 csomó | 07.24 - 22:18
95.02 km | dél felé halad | 12.5 csomó | 07.24 - 22:21
95.85 km | dél felé halad | 12.5 csomó | 07.24 - 22:23
101.58 km | dél felé halad | 12.3 csomó | 07.24 - 22:38
102.9 km | dél felé halad | 12.4 csomó | 07.24 - 22:41
105.61 km | dél felé halad | 12.7 csomó | 07.24 - 22:48
106.19 km | dél felé halad | 12.8 csomó | 07.24 - 22:50
106.58 km | dél felé halad | 12.8 csomó | 07.24 - 22:51
107.96 km | dél felé halad | 12.8 csomó | 07.24 - 22:54
108.8 km | dél felé halad | 12.8 csomó | 07.24 - 22:56
109.67 km | dél felé halad | 12.8 csomó | 07.24 - 22:58
110.13 km | dél felé halad | 12.7 csomó | 07.24 - 23:00
110.58 km | dél felé halad | 12.7 csomó | 07.24 - 23:01
111.43 km | dél felé halad | 12.8 csomó | 07.24 - 23:03
112.29 km | dél felé halad | 12.9 csomó | 07.24 - 23:05
112.69 km | dél felé halad | 12.9 csomó | 07.24 - 23:06
113.16 km | dél felé halad | 12.8 csomó | 07.24 - 23:07
113.63 km | dél felé halad | 12.7 csomó | 07.24 - 23:08
117.63 km | dél felé halad | 12.9 csomó | 07.24 - 23:19
118.48 km | dél felé halad | 12.6 csomó | 07.24 - 23:21
125.45 km | dél felé halad | 13.0 csomó | 07.24 - 23:38
126.92 km | dél felé halad | 12.9 csomó | 07.24 - 23:42
