4725.59 km | Áll délre | 0.0 csomó | 07.24 - 14:50
89.36 km | Áll délre | 0.0 csomó | 07.24 - 22:16
89.37 km | Áll délre | 0.0 csomó | 07.24 - 22:21
89.37 km | Áll délre | 0.0 csomó | 07.24 - 22:38
89.37 km | Áll délre | 0.0 csomó | 07.24 - 22:41
89.37 km | Áll délre | 0.0 csomó | 07.24 - 22:48
89.37 km | Áll délre | 0.0 csomó | 07.24 - 22:48
89.36 km | Áll délre | 0.0 csomó | 07.24 - 22:54
89.36 km | Áll délre | 0.0 csomó | 07.24 - 22:58
89.36 km | Áll délre | 0.0 csomó | 07.24 - 23:00
89.36 km | Áll délre | 0.0 csomó | 07.24 - 23:02
89.36 km | Áll délre | 0.0 csomó | 07.24 - 23:03
89.36 km | Áll délre | 0.0 csomó | 07.24 - 23:04
89.36 km | Áll délre | 0.0 csomó | 07.24 - 23:38
89.36 km | Áll délre | 0.0 csomó | 07.24 - 23:39
89.37 km | Áll délre | 0.0 csomó | 07.24 - 23:44
89.37 km | Áll délre | 0.0 csomó | 07.24 - 23:49
