128.1 km | dél felé halad | 13.2 csomó | 07.24 - 22:15
127.98 km | dél felé halad | 13.2 csomó | 07.24 - 22:17
127.82 km | dél felé halad | 13.2 csomó | 07.24 - 22:20
127.74 km | dél felé halad | 13.2 csomó | 07.24 - 22:22
127.68 km | dél felé halad | 13.2 csomó | 07.24 - 22:23
127.16 km | dél felé halad | 12.9 csomó | 07.24 - 22:37
127.11 km | dél felé halad | 12.9 csomó | 07.24 - 22:39
126.88 km | dél felé halad | 13.0 csomó | 07.24 - 22:51
126.87 km | dél felé halad | 13.0 csomó | 07.24 - 22:52
126.86 km | dél felé halad | 13.0 csomó | 07.24 - 22:53
126.87 km | dél felé halad | 13.0 csomó | 07.24 - 22:54
126.94 km | dél felé halad | 13.0 csomó | 07.24 - 23:01
126.95 km | dél felé halad | 13.0 csomó | 07.24 - 23:02
126.99 km | dél felé halad | 13.1 csomó | 07.24 - 23:04
127.03 km | dél felé halad | 13.2 csomó | 07.24 - 23:06
127.04 km | dél felé halad | 13.2 csomó | 07.24 - 23:07
127.36 km | dél felé halad | 13.2 csomó | 07.24 - 23:19
128.42 km | dél felé halad | 13.2 csomó | 07.24 - 23:36
128.5 km | dél felé halad | 13.2 csomó | 07.24 - 23:37
129.04 km | dél felé halad | 13.2 csomó | 07.24 - 23:43
