4636.86 km | Áll délre | 0.0 csomó | 07.24 - 14:18
4636.86 km | Áll délre | 0.1 csomó | 07.24 - 14:19
1.21 km | Áll délre | 0.0 csomó | 07.24 - 22:17
1.21 km | Áll délre | 0.0 csomó | 07.24 - 22:19
1.21 km | Áll délre | 0.0 csomó | 07.24 - 22:41
1.21 km | Áll délre | 0.1 csomó | 07.24 - 22:42
1.21 km | Áll délre | 0.0 csomó | 07.24 - 22:51
1.21 km | Áll délre | 0.0 csomó | 07.24 - 22:55
1.21 km | Áll délre | 0.0 csomó | 07.24 - 22:56
1.21 km | Áll délre | 0.1 csomó | 07.24 - 22:57
1.21 km | Áll délre | 0.0 csomó | 07.24 - 22:59
1.21 km | Áll délre | 0.0 csomó | 07.24 - 23:01
1.21 km | Áll délre | 0.0 csomó | 07.24 - 23:05
1.21 km | Áll délre | 0.0 csomó | 07.24 - 23:07
1.21 km | Áll délre | 0.0 csomó | 07.24 - 23:21
1.21 km | Áll délre | 0.0 csomó | 07.24 - 23:38
1.21 km | Áll délre | 0.1 csomó | 07.24 - 23:39
1.21 km | Áll délre | 0.1 csomó | 07.24 - 23:40
1.21 km | Áll délre | 0.0 csomó | 07.24 - 23:41
1.21 km | Áll délre | 0.0 csomó | 07.24 - 23:42
1.21 km | Áll délre | 0.0 csomó | 07.24 - 23:44
1.21 km | Áll délre | 0.0 csomó | 07.24 - 23:49
