124.07 km | dél felé halad | 19.5 csomó | 07.24 - 22:17
114.79 km | észak felé halad | 18.0 csomó | 07.24 - 22:38
114.09 km | észak felé halad | 18.2 csomó | 07.24 - 22:39
113.35 km | észak felé halad | 18.4 csomó | 07.24 - 22:40
109.15 km | észak felé halad | 17.7 csomó | 07.24 - 22:48
107.75 km | észak felé halad | 17.8 csomó | 07.24 - 22:51
106.58 km | észak felé halad | 17.7 csomó | 07.24 - 22:53
103.37 km | észak felé halad | 17.5 csomó | 07.24 - 22:59
102.1 km | észak felé halad | 17.6 csomó | 07.24 - 23:01
100.19 km | észak felé halad | 18.1 csomó | 07.24 - 23:05
99.63 km | észak felé halad | 18.0 csomó | 07.24 - 23:06
97.64 km | észak felé halad | 17.8 csomó | 07.24 - 23:09
94.33 km | dél felé halad | 5.7 csomó | 07.24 - 23:19
93.56 km | dél felé halad | 4.9 csomó | 07.24 - 23:40
90.63 km | észak felé halad | 6.5 csomó | 07.24 - 23:50
