49.74 km | észak felé halad | 19.0 csomó | 07.24 - 22:16
48.24 km | észak felé halad | 19.0 csomó | 07.24 - 22:19
47.68 km | észak felé halad | 19.0 csomó | 07.24 - 22:20
47.57 km | észak felé halad | 19.1 csomó | 07.24 - 22:20
46.88 km | észak felé halad | 19.0 csomó | 07.24 - 22:21
46.14 km | észak felé halad | 19.0 csomó | 07.24 - 22:22
35.05 km | észak felé halad | 18.5 csomó | 07.24 - 22:42
33.9 km | észak felé halad | 18.4 csomó | 07.24 - 22:44
32.72 km | észak felé halad | 18.6 csomó | 07.24 - 22:47
31.6 km | észak felé halad | 18.5 csomó | 07.24 - 22:49
31.06 km | észak felé halad | 18.6 csomó | 07.24 - 22:50
28.31 km | észak felé halad | 18.5 csomó | 07.24 - 22:55
27.78 km | észak felé halad | 18.5 csomó | 07.24 - 22:56
27.26 km | észak felé halad | 18.5 csomó | 07.24 - 22:57
25.15 km | észak felé halad | 18.5 csomó | 07.24 - 23:01
21.38 km | észak felé halad | 17.0 csomó | 07.24 - 23:08
15.24 km | észak felé halad | 17.2 csomó | 07.24 - 23:20
14.82 km | észak felé halad | 17.3 csomó | 07.24 - 23:20
6.07 km | észak felé halad | 10.9 csomó | 07.24 - 23:38
5.98 km | észak felé halad | 10.3 csomó | 07.24 - 23:38
5.51 km | észak felé halad | 8.2 csomó | 07.24 - 23:40
5.04 km | észak felé halad | 7.3 csomó | 07.24 - 23:42
3.59 km | észak felé halad | 3.7 csomó | 07.24 - 23:51
