115.46 km | észak felé halad | 18.2 csomó | 07.24 - 22:14
117.32 km | észak felé halad | 18.2 csomó | 07.24 - 22:18
120.27 km | észak felé halad | 17.8 csomó | 07.24 - 22:24
127.25 km | észak felé halad | 17.7 csomó | 07.24 - 22:37
127.81 km | észak felé halad | 17.5 csomó | 07.24 - 22:39
128.98 km | észak felé halad | 17.7 csomó | 07.24 - 22:41
131.25 km | észak felé halad | 17.8 csomó | 07.24 - 22:45
133.08 km | észak felé halad | 17.7 csomó | 07.24 - 22:49
133.61 km | dél felé halad | 17.9 csomó | 07.24 - 22:50
134.57 km | dél felé halad | 18.1 csomó | 07.24 - 22:52
135.37 km | észak felé halad | 17.9 csomó | 07.24 - 22:53
135.9 km | dél felé halad | 18.0 csomó | 07.24 - 22:54
137.12 km | észak felé halad | 17.9 csomó | 07.24 - 22:56
149.14 km | dél felé halad | 18.5 csomó | 07.24 - 23:18
159.58 km | dél felé halad | 18.3 csomó | 07.24 - 23:37
160.2 km | dél felé halad | 18.2 csomó | 07.24 - 23:39
163.39 km | dél felé halad | 18.2 csomó | 07.24 - 23:44
166.59 km | dél felé halad | 17.9 csomó | 07.24 - 23:50
167.14 km | dél felé halad | 18.0 csomó | 07.24 - 23:51
