235.39 km | dél felé halad | 9.3 csomó | 07.24 - 22:14
234.82 km | dél felé halad | 9.2 csomó | 07.24 - 22:18
234.75 km | dél felé halad | 9.2 csomó | 07.24 - 22:18
234.51 km | dél felé halad | 9.3 csomó | 07.24 - 22:19
233.65 km | dél felé halad | 9.3 csomó | 07.24 - 22:24
231.05 km | dél felé halad | 9.6 csomó | 07.24 - 22:39
229.73 km | dél felé halad | 9.5 csomó | 07.24 - 22:46
229.02 km | dél felé halad | 9.5 csomó | 07.24 - 22:50
228.84 km | dél felé halad | 9.6 csomó | 07.24 - 22:51
228.42 km | dél felé halad | 9.7 csomó | 07.24 - 22:54
227.84 km | dél felé halad | 9.7 csomó | 07.24 - 22:57
227.21 km | dél felé halad | 9.7 csomó | 07.24 - 23:00
226.66 km | dél felé halad | 9.6 csomó | 07.24 - 23:03
226.41 km | dél felé halad | 9.6 csomó | 07.24 - 23:04
226.17 km | dél felé halad | 9.6 csomó | 07.24 - 23:06
225.76 km | dél felé halad | 9.6 csomó | 07.24 - 23:08
225.54 km | dél felé halad | 9.6 csomó | 07.24 - 23:09
219.46 km | dél felé halad | 9.7 csomó | 07.24 - 23:44
218.62 km | dél felé halad | 9.6 csomó | 07.24 - 23:49
