157.81 km | dél felé halad | 19.5 csomó | 07.24 - 22:15
158.71 km | dél felé halad | 19.3 csomó | 07.24 - 22:17
159.08 km | dél felé halad | 19.3 csomó | 07.24 - 22:18
159.89 km | dél felé halad | 19.4 csomó | 07.24 - 22:20
160.48 km | dél felé halad | 19.4 csomó | 07.24 - 22:22
161.29 km | dél felé halad | 19.4 csomó | 07.24 - 22:24
167.41 km | dél felé halad | 19.3 csomó | 07.24 - 22:41
167.78 km | dél felé halad | 19.3 csomó | 07.24 - 22:42
169.58 km | dél felé halad | 19.3 csomó | 07.24 - 22:47
170.65 km | dél felé halad | 19.3 csomó | 07.24 - 22:50
171.95 km | dél felé halad | 19.2 csomó | 07.24 - 22:53
172.37 km | dél felé halad | 19.1 csomó | 07.24 - 22:54
173.14 km | dél felé halad | 19.0 csomó | 07.24 - 22:56
