30.73 km | dél felé halad | 13.4 csomó | 07.24 - 22:16
31.26 km | dél felé halad | 13.5 csomó | 07.24 - 22:18
31.49 km | dél felé halad | 13.6 csomó | 07.24 - 22:19
31.97 km | dél felé halad | 13.7 csomó | 07.24 - 22:21
32.22 km | dél felé halad | 13.6 csomó | 07.24 - 22:22
32.6 km | dél felé halad | 13.7 csomó | 07.24 - 22:24
36.6 km | dél felé halad | 13.7 csomó | 07.24 - 22:38
38.46 km | dél felé halad | 13.8 csomó | 07.24 - 22:44
40.47 km | dél felé halad | 14.1 csomó | 07.24 - 22:51
41.54 km | dél felé halad | 14.1 csomó | 07.24 - 22:54
44.06 km | dél felé halad | 14.2 csomó | 07.24 - 23:01
44.41 km | dél felé halad | 14.2 csomó | 07.24 - 23:02
44.8 km | dél felé halad | 14.2 csomó | 07.24 - 23:03
45.16 km | dél felé halad | 14.2 csomó | 07.24 - 23:04
45.51 km | dél felé halad | 14.2 csomó | 07.24 - 23:05
46.66 km | dél felé halad | 14.0 csomó | 07.24 - 23:09
50.48 km | dél felé halad | 14.2 csomó | 07.24 - 23:19
57.63 km | dél felé halad | 14.4 csomó | 07.24 - 23:37
58.07 km | dél felé halad | 14.4 csomó | 07.24 - 23:38
58.91 km | dél felé halad | 14.3 csomó | 07.24 - 23:40
60.12 km | dél felé halad | 14.2 csomó | 07.24 - 23:43
