4695.48 km | észak felé halad | 10.6 csomó | 07.24 - 13:13
4700.55 km | észak felé halad | 10.4 csomó | 07.24 - 14:18
4700.61 km | észak felé halad | 10.4 csomó | 07.24 - 14:19
282.93 km | észak felé halad | 9.5 csomó | 07.24 - 22:41
281.24 km | észak felé halad | 9.2 csomó | 07.24 - 22:48
281.17 km | észak felé halad | 9.2 csomó | 07.24 - 22:48
280.58 km | észak felé halad | 9.3 csomó | 07.24 - 22:51
280.35 km | észak felé halad | 9.2 csomó | 07.24 - 22:52
279.84 km | észak felé halad | 9.4 csomó | 07.24 - 22:54
279.61 km | észak felé halad | 9.4 csomó | 07.24 - 22:55
279.02 km | észak felé halad | 9.4 csomó | 07.24 - 22:58
276.81 km | észak felé halad | 9.3 csomó | 07.24 - 23:07
276.58 km | észak felé halad | 9.3 csomó | 07.24 - 23:08
276.35 km | észak felé halad | 9.3 csomó | 07.24 - 23:09
