195.91 km | dél felé halad | 10.2 csomó | 07.24 - 22:15
193.82 km | dél felé halad | 10.0 csomó | 07.24 - 22:22
189.0 km | észak felé halad | 10.1 csomó | 07.24 - 22:38
187.92 km | észak felé halad | 10.1 csomó | 07.24 - 22:41
187.56 km | észak felé halad | 10.1 csomó | 07.24 - 22:42
186.11 km | észak felé halad | 10.0 csomó | 07.24 - 22:47
183.2 km | észak felé halad | 9.4 csomó | 07.24 - 22:57
180.56 km | észak felé halad | 7.7 csomó | 07.24 - 23:06
182.76 km | dél felé halad | 7.2 csomó | 07.24 - 23:21
186.39 km | dél felé halad | 6.8 csomó | 07.24 - 23:38
187.51 km | dél felé halad | 6.6 csomó | 07.24 - 23:44
